;Author;Title;Exist
1366;José João Morais;Acyclic Automata with Easy-to-Find Short Regular Expressions.;both
1367;Stoyan Mihov;Algorithms for Probabilistic and Stochastic Subsequential Failure Transducers.;both
1368;Stoyan Mihov;A Simple Method for Building Bimachines from Functional Finite-State Transducers.;both
1369;Stoyan Mihov;Direct Construction of Minimal Acyclic Subsequential Transducers.;both
1370;Bhaskar Chakraborty;A Finite Union of DFAs in Symbolic Model Checking of Infinite Systems.;both
1371;Thomas Paranthoën;Brute Force Determinization of NFAs by Means of State Covers.;both
1372;François Barthélemy;A Testing Framework for Finite-State Morphology.;both
1373;François Barthélemy;Multi-grain Relations.;both
1374;Andreas Krebs;Problems on Finite Automata and the Exponential Time Hypothesis.;both
1375;Mathieu Giraud;Path-Equivalent Removals of ;left_only
1376;Mathieu Giraud;Linear Encoding Scheme for Weighted Finite Automata.;both
1377;Julien David;: A Library to Randomly and Exhaustively Generate Automata.;both
1378;Yo-Sub Han;A General Architecture of Oritatami Systems for Simulating Arbitrary Finite Automata.;both
1379;Yo-Sub Han;Online Stochastic Pattern Matching.;both
1380;Yo-Sub Han;Alignment Distance of Regular Tree Languages.;both
1381;Yo-Sub Han;Left is Better than Right for Reducing Nondeterminism of NFAs.;both
1382;Yo-Sub Han;Approximate Matching between a Context-Free Grammar and a Finite-State Automaton.;both
1383;Yo-Sub Han;A Cellular Automaton Model for Car Traffic with a Form-One-Lane Rule.;both
1384;Yo-Sub Han;Implementation of State Elimination Using Heuristics.;both
1385;Yo-Sub Han;Shorter Regular Expressions from Finite-State Automata.;both
1386;Yo-Sub Han;The Generalization of Generalized Automata: Expression Automata.;both
1387;Olivier Blanc;A Finite-State Super-Chunker.;both
1388;Tamara Shcherbak;The Interval Rank of Monotonic Automata.;both
1389;Víctor J. Díaz;Tabulation of Bidirectional Push Down Automata.;both
1390;Renate Klempien-Hinrichs;Computing Raster Images from Grid Picture Grammars.;both
1391;Renate Klempien-Hinrichs;TREEBAG.;both
1392;Oliver Matz;The Automata Theory Package ;left_only
1393;Y. Gao;In Vitro Implementation of Finite-State Machines.;left_only
1394;Joachim Niehren;Early Nested Word Automata for XPath Query Answering on XML Streams.;both
1395;Joachim Niehren;Streamable Fragments of Forward XPath.;both
1396;Markus Seuring;A Structural Method for Output Compaction of Sequential Automata Implemented as Circuits.;left_only
1397;Michael Thomas;Enhancements of Partitioning Techniques for Image Compression Using Weighted Finite Automata.;left_only
1398;Md. Mahbubul Hasan;On Palindromic Sequence Automata and Applications.;both
1399;Shufen Lee;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.;both
1400;Olgierd Unold;Finite-State Molecular Computing.;both
1401;Laurent Chauvier;Pseudo-minimal Transducers: A Transducer with Proper Elements.;left_only
1402;Radu Grosu;The Cayley-Hamilton Theorem for Noncommutative Semirings.;both
1403;Luca Aceto;On the Complexity of Determinizing Monitors.;both
1404;Adam Clarridge;A Cellular Automaton Model for Car Traffic with a Slow-to-Stop Rule.;both
1405;Hillel Kugler;Synthesizing State-Based Object Systems from LSC Specifications.;both
1406;Abejide Ade-Ibijola;Introducing Code Adviser: A DFA-driven Electronic Programming Tutor.;both
1407;Didier Caucal;Efficient Computation of Throughput Values of Context-Free Languages.;both
1408;Mitja Mastnak;Partitioning a Symmetric Rational Relation into Two Asymmetric Rational Relations.;both
1409;Ahmed Amarni;Factor and Subsequence Kernels and Signatures of Rational Languages.;both
1410;Nir Piterman;Equivalence of Probabilistic \mu -Calculus and p-Automata.;left_only
1411;Liliana Cojocaru;Simulating the Process of Gene Assembly in Ciliates.;both
1412;Denis Lugiez;From Automata to Semilinear Sets: A Logical Solution for Sets L(C, P).;both
1413;Steyn van Litsenborgh;Memoized Regular Expressions.;both
1414;Yusei Masuda;A General Architecture of Oritatami Systems for Simulating Arbitrary Finite Automata.;both
1415;Yusei Masuda;Towards the Algorithmic Molecular Self-assembly of Fractals by Cotranscriptional Folding.;both
1416;Rudolf Freund;Implementation of Catalytic P Systems.;both
1417;Jürgen Albert;Extended Context-Free Grammars and Normal Form Algorithms.;left_only
1418;Mikhail V. Berlinkov;Synchronizing Random Almost-Group Automata.;both
1419;Mikhail V. Berlinkov;Synchronizing Automata on Quasi-Eulerian Digraph.;both
1420;Leandro Rodríguez Liñares;Robust Parsing Using Dynamic Programming.;both
1421;Volker Diekert;Complexity Results and the Growths of Hairpin Completions of Regular Languages (Extended Abstract).;both
1422;Anne Bergeron;Cascade Decompositions are Bit-Vector Algorithms.;both
1423;Anne Bergeron;Fast Implementations of Automata Computations.;both
1424;Anne Bergeron;Analysis of Reactive Systems with n Timers.;left_only
1425;Anne Bergeron;Automata and Computational Probabilities.;left_only
1426;Andrew Ryzhikov;Synchronization Problems in Automata Without Non-trivial Cycles.;both
1427;Philippe Le Parc;Proving Sequential Function Chart Programs Using Automata.;left_only
1428;Matús Palmovský;Kleene Closure on Regular and Prefix-Free Languages.;both
1429;Richard A. Kemmerer;Past Pushdown Timed Automata.;both
1430;Bruno Courcelle;Fly-Automata, Their Properties and Applications.;both
1431;Denis Kuperberg;Stamina: Stabilisation Monoids in Automata Theory.;both
1432;Victor Mitrana;Bounded Prefix-Suffix Duplication.;both
1433;André Kempe;Multi-tape Automata with Symbol Classes.;both
1434;André Kempe;A Class of Rational ;left_only
1435;André Kempe;WFSC - A New Weighted Finite State Compiler.;both
1436;André Kempe;Running Time Complexity of Printing an Acyclic Automaton.;both
1437;André Kempe;Extraction of epsilon-Cyclesfrom Finite-State Transducers.;both
1438;André Kempe;Factorization of Ambiguous Finite-State Transducers.;both
1439;André Kempe;Part-of-Speech Tagging with Two Sequential Transducers.;both
1440;Slawomir Bakalarski;Symbolic Dynamics, Flower Automata and Infinite Traces.;both
1441;Jim Morey;Crystal Lattice Automata.;both
1442;Yannick Parmentier;Enhancing Practical TAG Parsing Efficiency by Capturing Redundancy.;both
1443;Costas S. Iliopoulos;Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.;both
1444;Costas S. Iliopoulos;The Constrained Longest Common Subsequence Problem for Degenerate Strings.;both
1445;Costas S. Iliopoulos;Finding Common Motifs with Gaps Using Finite Automata.;both
1446;Frank Drewes;Z-Automata for Compact and Direct Representation of Unranked Tree Languages.;both
1447;Frank Drewes;A Comparison of Two N-Best Extraction Methods for Weighted Tree Automata.;both
1448;Frank Drewes;Computing Raster Images from Grid Picture Grammars.;both
1449;Frank Drewes;TREEBAG.;both
1450;Sergio Mover;From Sequential Extended Regular Expressions to NFA with Symbolic Labels.;both
1451;Derrick G. Kourie;Preliminary Experiments in Hardcoding Finite Automata.;both
1452;Ryan Dixon;Automata-Theoretic Analysis of Bit-Split Languages for Packet Scanning.;both
1453;Adam Yao;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.;both
1454;Lakshmanan Kuppusamy;Computational Completeness of Path-Structured Graph-Controlled Insertion-Deletion Systems.;both
1455;Miguel Ferreira;Deciding Synchronous Kleene Algebra with Derivatives.;both
1456;Tingwen Liu;SDFA: Series DFA for Memory-Efficient Regular Expression Matching.;both
1457;Karel Culík II;State Complexity of Basic Operations on Finite Languages.;left_only
1458;David Chiang;Algorithms and Training for Weighted Multiset Automata and Regular Expressions.;both
1459;Thierry Lecroq;A Fast Suffix Automata Based Algorithm for Exact Online String Matching.;both
1460;Martin Berglund;Memoized Regular Expressions.;both
1461;Martin Berglund;On the Semantics of Atomic Subgroups in Practical Regular Expressions.;both
1462;Martin Berglund;Analyzing Matching Time Behavior of Backtracking Regular Expression Matchers by Using Ambiguity of NFA.;both
1463;Martin Berglund;On the Semantics of Regular Expression Parsing in the Wild.;both
1464;Gaëlle Largeteau;Term Validation of Distributed Hard Real-Time Applications.;left_only
1465;Masami Hagiya;XML Schema Containment Checking Based on Semi-implicit Techniques.;both
1466;Anssi Yli-Jyrä;A New Method for Compiling Parallel Replacement Rules.;both
1467;Anssi Yli-Jyrä;Approximating Dependency Grammars Through Intersection of Regular Languages.;both
1468;Stavros Konstantinidis;Partitioning a Symmetric Rational Relation into Two Asymmetric Rational Relations.;both
1469;Stavros Konstantinidis;Partial Derivatives of Regular Expressions over Alphabet-Invariant and User-Defined Labels.;both
1470;Stavros Konstantinidis;Regular Expressions and Transducers over Alphabet-Invariant and User-Defined Labels.;both
1471;Stavros Konstantinidis;Implementation of Code Properties via Transducers.;both
1472;Stavros Konstantinidis;Substitutions, Trajectories and Noisy Channels.;both
1473;Yifu Yang;A Table Compression Method for Extended Aho-Corasick Automaton.;both
1474;Miklós Bartha;Strong Retiming Equivalence of Synchronous Schemes.;both
1475;Z. S. Peng;Time and Space Efficient Algorithms for Constrained Sequence Alignment.;left_only
1476;Eleni Mandrali;Weighted LTL with Discounting.;both
1477;Ming-Hsien Tsai;State of Büchi Complementation.;both
1478;Norbert Blum;On Parsing LL-Languages.;left_only
1479;Massimiliano Goldwurm;Average Value and Variance of Pattern Statistics in Rational Models.;both
1480;Thibault Godin;A New Hierarchy for Automaton Semigroups.;both
1481;Philippe Andary;SEA: A Symbolic Environment for Automata Theory.;left_only
1482;Peter Thiemann;Derivatives for Enhanced Regular Expressions.;both
1483;Daniel Goc;Automatic Theorem-Proving in Combinatorics on Words.;both
1484;Jan Zdárek;A Note on a Tree-Based 2D Indexing.;both
1485;Jan Zdárek;Pattern Matching in DCA Coded Text.;both
1486;Jan Zdárek;On Two-Dimensional Pattern Matching by Finite Automata.;both
1487;Tomás Flouri;Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.;both
1488;Szabolcs Iván;Games for Temporal Logics on Trees.;both
1489;Christos A. Kapoutsis;A Logical Characterization of Small 2NFAs.;both
1490;Mohamed Faouzi Atig;Verifying Parallel Programs with Dynamic Communication Structures.;both
1491;Bruce W. Watson;On the Semantics of Atomic Subgroups in Practical Regular Expressions.;both
1492;Bruce W. Watson;Analyzing Matching Time Behavior of Backtracking Regular Expression Matchers by Using Ambiguity of NFA.;both
1493;Bruce W. Watson;Hardware Implementations of Finite Automata and Regular Expressions - Extended Abstract.;both
1494;Bruce W. Watson;Automata Applications in Chip-Design Software.;both
1495;Bruce W. Watson;FIRE Station: An Environment for Manipulating Finite Automata and Regular Expression Views.;both
1496;Bruce W. Watson;Combining Regular Expressions with (Near-)Optimal Brzozowski Automata.;both
1497;Bruce W. Watson;Preliminary Experiments in Hardcoding Finite Automata.;both
1498;Bruce W. Watson;The Effect of Rewriting Regular Expressions on Their Accepting Automata.;both
1499;Bruce W. Watson;Directly Constructing Minimal DFAs: Combining Two Algorithms by Brzozowski.;both
1500;Bruce W. Watson;A Taxonomy of Algorithms for Constructing Minimal Acyclic Deterministic Finite Automata.;left_only
1501;Bruce W. Watson;A Fast New Semi-incremental Algorithm for the Construction of Minimal Acyclic DFAs.;left_only
1502;Bruce W. Watson;Practical Optimizations for Automata.;left_only
1503;Bruce W. Watson;FIRE Lite: FAs and REs in C++.;left_only
1504;Jozef Jirásek;The Exact Complexity of Star-Complement-Star.;both
1505;Jozef Jirásek;On the Boundary of Regular Languages.;both
1506;Jozef Jirásek;State Complexity of Concatenation and Complementation of Regular Languages.;both
1507;B. Sundar Rajan;A Package for the Implementation of Block Codes as Finite Automata.;both
1508;Eric Balkanski;Partial Word DFAs.;both
1509;François Cantin;Computing Convex Hulls by Automata Iteration.;both
1510;Eugene Eberbach;Dynamical Implementation of Nondeterministic Automata and Concurrent Systems.;left_only
1511;Ingmar Meinecke;Regular Expressions on Average and in the Long Run.;both
1512;Ingmar Meinecke;Branching Automata with Costs - A Way of Reflecting Parallelism in Costs.;both
1513;Nelma Moreira;Partial Derivatives of Regular Expressions over Alphabet-Invariant and User-Defined Labels.;both
1514;Nelma Moreira;Regular Expressions and Transducers over Alphabet-Invariant and User-Defined Labels.;both
1515;Nelma Moreira;Implementation of Code Properties via Transducers.;both
1516;Nelma Moreira;Deciding Synchronous Kleene Algebra with Derivatives.;both
1517;Nelma Moreira;Partial Derivative and Position Bisimilarity Automata.;both
1518;Nelma Moreira;Incomplete Transition Complexity of Basic Operations on Finite Languages.;both
1519;Nelma Moreira;Incremental DFA Minimisation.;both
1520;Nelma Moreira;Partial Derivative Automata Formalized in Coq.;both
1521;Nelma Moreira;FAdo and GUItar.;both
1522;Nelma Moreira;Antimirov and Mosses's Rewrite System Revisited.;left_only
1523;Nelma Moreira;Acyclic Automata with Easy-to-Find Short Regular Expressions.;both
1524;Jonathan May;Backward and Forward Bisimulation Minimisation of Tree Automata.;both
1525;Jonathan May;Tiburon: A Weighted Tree Automata Toolkit.;both
1526;Su-Hyeon Kim;Efficient Enumeration of Regular Expressions for Faster Regular Expression Synthesis.;both
1527;Simão Melo de Sousa;Partial Derivative Automata Formalized in Coq.;both
1528;Riccardo Catalano;Analysis of Reactive Systems with n Timers.;left_only
1529;Aneta Binder;Implementation of Catalytic P Systems.;both
1530;Franck Guingne;Reducing Acyclic Cover Transducers.;both
1531;Franck Guingne;A Class of Rational ;left_only
1532;Franck Guingne;WFSC - A New Weighted Finite State Compiler.;both
1533;Franck Guingne;Running Time Complexity of Printing an Acyclic Automaton.;both
1534;Franck Guingne;Finite State Lazy Operations in NLP.;both
1535;Olivier Carton;On the Complexity of Hopcroft's State Minimization Algorithm.;left_only
1536;Louis-Marie Dando;From Hadamard Expressions to Weighted Rotating Automata and Back.;both
1537;Claudia Cauli;Equivalence of Probabilistic \\mu -Calculus and p-Automata.;right_only
1538;Uwe Meyer 0003;Syntax Checking Either Way.;right_only
1539;Jesús Vilares;Robust Spelling Correction.;right_only
1540;Jesús Vilares;Robust Spelling Correction.;right_only
1541;Jesús Vilares;Robust Parsing Using Dynamic Programming.;right_only
1542;Jesús Vilares;Robust Parsing Using Dynamic Programming.;right_only
1543;Jesús Vilares;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;right_only
1544;Jesús Vilares;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;right_only
1545;Cheng Li (disambiguation);Testability of Oracle Automata.;right_only
1546;Cheng Li (disambiguation);New Complexity Results for Some Linear Counting Problems Using Minimal Solutions to Linear Diophantine Equations.;right_only
1547;Jozef Jirásek 0002;Kuratowski Algebras Generated by Prefix-Free Languages.;right_only
1548;Ping Liu;Compressing Regular Expressions\' DFA Table by Matrix Decomposition.;right_only
1549;Olivier Carton;On the Complexity of Hopcroft\'s State Minimization Algorithm.;right_only
1550;Martin Berglund;Ordered Context-Free Grammars.;right_only
1551;André Kempe;None;right_only
1552;Mihaela Gheorghiu Bobaru;Simulation of Gate Circuits in the Algebra of Transients.;right_only
1553;Mihaela Gheorghiu Bobaru;Feedback-Free Circuits in the Algebra of Transients.;right_only
1554;Avraham Trakhtman;Reducing the Time Complexity of Testing for Local Threshold Testability.;right_only
1555;Avraham Trakhtman;Reducing the Time Complexity of Testing for Local Threshold Testability.;right_only
1556;Avraham Trakhtman;A Polynomial Time Algorithm for Left [Right] Local Testability.;right_only
1557;Avraham Trakhtman;A Polynomial Time Algorithm for Left [Right] Local Testability.;right_only
1558;Avraham Trakhtman;A Package TESTAS for Checking Some Kinds of Testability.;right_only
1559;Avraham Trakhtman;A Package TESTAS for Checking Some Kinds of Testability.;right_only
1560;Lydia Rodriguez de la Nava;Symbolic Weighted Language Models, Quantitative Parsing and Automated Music Transcription.;right_only
1561;Ramaswamy Ramanujam;Dolev-Yao Theory with Associative Blindpair Operators.;right_only
1562;Ramaswamy Ramanujam;Dolev-Yao Theory with Associative Blindpair Operators.;right_only
1563;Ramaswamy Ramanujam;An Automaton Model of User-Controlled Navigation on the Web.;right_only
1564;Ramaswamy Ramanujam;An Automaton Model of User-Controlled Navigation on the Web.;right_only
1565;Jason R. Smith 0002;An Incremental Algorithm for Constructing Minimal Deterministic Finite Cover Automata.;right_only
1566;Gérard Duchamp;Brzozowski\'s Derivatives Extended to Multiplicities.;right_only
1567;Dominique Lavenier;None;right_only
1568;Andreas Malcher;On the Power of Pushing or Stationary Moves for Input-Driven Pushdown Automata.;right_only
1569;Martin Kutrib;Syntax Checking Either Way.;right_only
1570;Martin Kutrib;On the Power of Pushing or Stationary Moves for Input-Driven Pushdown Automata.;right_only
1571;Pavel Martyugin;Synchronization of Automata with One Undefined or Ambiguous Transition.;right_only
1572;Pavel Martyugin;Synchronization of Automata with One Undefined or Ambiguous Transition.;right_only
1573;Pavel Martyugin;Complexity of Problems Concerning Reset Words for Cyclic and Eulerian Automata.;right_only
1574;Pavel Martyugin;Complexity of Problems Concerning Reset Words for Cyclic and Eulerian Automata.;right_only
1575;Michael Riley;Algorithms for Weighted Finite Automata with Failure Transitions.;right_only
1576;Michael Riley;Algorithms for Weighted Finite Automata with Failure Transitions.;right_only
1577;Michael Riley;On the Disambiguation of Weighted Automata.;right_only
1578;Michael Riley;On the Disambiguation of Weighted Automata.;right_only
1579;Michael Riley;A Pushdown Transducer Extension for the OpenFst Library.;right_only
1580;Michael Riley;A Pushdown Transducer Extension for the OpenFst Library.;right_only
1581;Michael Riley;Filters for Efficient Composition of Weighted Finite-State Transducers.;right_only
1582;Michael Riley;Filters for Efficient Composition of Weighted Finite-State Transducers.;right_only
1583;Michael Riley;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.;right_only
1584;Michael Riley;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.;right_only
1585;Martin Zimmermann 0002;Time-Optimal Winning Strategies for Poset Games.;right_only
1586;Brink van der Merwe;Ordered Context-Free Grammars.;right_only
1587;Özdeniz Dolu;Real-Time, Constant-Space, Constant-Randomness Verifiers.;right_only
1588;José N. Oliveira;Typed Linear Algebra for Weigthed (Probabilistic) Automata.;right_only
1589;Nicholas Tran;Variations of the Separating Words Problem.;right_only
1590;Laura K. Hutchinson;A Toolkit for Parikh Matrices.;right_only
1591;Paolo Massazza;None;right_only
1592;Christel Baier;None;right_only
1593;Manuel Baclet;Around Hopcroft\'s Algorithm.;right_only
1594;Sarah O\'Connor;Inside Vaucanson.;right_only
1595;Mathieu Giraud;None;right_only
1596;Richard Mörbitz;Hybrid Tree Automata and the Yield Theorem for Constituent Tree Automata.;right_only
1597;Oliver A. S. Lyon;Nondeterministic State Complexity of Site-Directed Deletion.;right_only
1598;Rogério Reis;Manipulation of Regular Expressions Using Derivatives: An Overview.;right_only
1599;Rogério Reis;Antimirov and Mosses\'s Rewrite System Revisited.;right_only
1600;Nevzat Ersoy;Real-Time, Constant-Space, Constant-Randomness Verifiers.;right_only
1601;Géraud Sénizergues;LALBLC A Program Testing the Equivalence of dpda\'s.;right_only
1602;Mohammad Sohel Rahman;On Palindromic Sequence Automata and Applications.;right_only
1603;Mohammad Sohel Rahman;The Constrained Longest Common Subsequence Problem for Degenerate Strings.;right_only
1604;João Pires 0002;Partial Derivatives of Regular Expressions over Alphabet-Invariant and User-Defined Labels.;right_only
1605;Markus Holzer;On 25 Years of CIAA Through the Lens of Data Science.;right_only
1606;Markus Holzer;Brzozowski\'s Minimization Algorithm - More Robust than Expected - (Extended Abstract).;right_only
1607;Claire Pagetti;Around Hopcroft\'s Algorithm.;right_only
1608;A. C. Cem Say;Energy Complexity of Regular Language Recognition.;right_only
1609;A. C. Cem Say;Real-Time, Constant-Space, Constant-Randomness Verifiers.;right_only
1610;Gaëlle Skapin;Term Validation of Distributed Hard Real-Time Applications.;right_only
1611;Sheng Yu;None;right_only
1612;Giusi Castiglione;Nondeterministic Moore Automata and Brzozowski\'s Algorithm.;right_only
1613;Giusi Castiglione;On Extremal Cases of Hopcroft\'s Algorithm.;right_only
1614;Robert Mercas;A Toolkit for Parikh Matrices.;right_only
1615;Florent Nicart;None;right_only
1616;Alexandre Ja. Dikovsky;Categorial Grammars with Iterated Types form a Strict Hierarchy of k-Valued Languages.;right_only
1617;Yo-Sub Han;How to Settle the ReDoS Problem: Back to the Classical Automata Theory.;right_only
1618;Meriç Üngör;Energy Complexity of Regular Language Recognition.;right_only
1619;Frank Drewes;Hybrid Tree Automata and the Yield Theorem for Constituent Tree Automata.;right_only
1620;Jonathan Lee 0005;Enumerating Regular Expressions and Their Languages.;right_only
1621;Yanbing Liu;Compressing Regular Expressions\' DFA Table by Matrix Decomposition.;right_only
1622;Öykü Yilmaz;Energy Complexity of Regular Language Recognition.;right_only
1623;Johanna Björklund;Z-Automata for Compact and Direct Representation of Unranked Tree Languages.;right_only
1624;Johanna Björklund;Z-Automata for Compact and Direct Representation of Unranked Tree Languages.;right_only
1625;Johanna Björklund;A Comparison of Two N-Best Extraction Methods for Weighted Tree Automata.;right_only
1626;Johanna Björklund;A Comparison of Two N-Best Extraction Methods for Weighted Tree Automata.;right_only
1627;Johanna Björklund;On the Regularity and Learnability of Ordered DAG Languages.;right_only
1628;Johanna Björklund;On the Regularity and Learnability of Ordered DAG Languages.;right_only
1629;Johanna Björklund;Deterministic Stack Transducers.;right_only
1630;Johanna Björklund;Deterministic Stack Transducers.;right_only
1631;Johanna Björklund;Backward and Forward Bisimulation Minimisation of Tree Automata.;right_only
1632;Johanna Björklund;Backward and Forward Bisimulation Minimisation of Tree Automata.;right_only
1633;Johanna Björklund;Bisimulation Minimization of Tree Automata.;right_only
1634;Johanna Björklund;Bisimulation Minimization of Tree Automata.;right_only
1635;Johanna Björklund;Wind in the Willows - Generating Music by Means of Tree Transducers.;right_only
1636;Johanna Björklund;Wind in the Willows - Generating Music by Means of Tree Transducers.;right_only
1637;M. Utkan Gezer;Real-Time, Constant-Space, Constant-Randomness Verifiers.;right_only
1638;Antonio Cano Gómez;Finite Automata and Unions of Regular Patterns with Bounded Constant Segments.;right_only
1639;Antonio Cano Gómez;Is Learning RFSAs Better Than Learning DFAs?.;right_only
1640;André Almeida (disambiguation);FAdo and GUItar.;right_only
1641;Jean-Marc Champarnaud;None;right_only
1642;Jean-Marc Champarnaud;Brzozowski\'s Derivatives Extended to Multiplicities.;right_only
1643;Jean-Marc Champarnaud;Implicit Structures to Implement NFA\'s from Regular Expressions.;right_only
1644;Jianlong Tan;Compressing Regular Expressions\' DFA Table by Matrix Decomposition.;right_only
1645;Michael Thomas 0004;Enhancements of Partitioning Techniques for Image Compression Using Weighted Finite Automata.;right_only
1646;Nelma Moreira;Manipulation of Regular Expressions Using Derivatives: An Overview.;right_only
1647;Nelma Moreira;Antimirov and Mosses\'s Rewrite System Revisited.;right_only
1648;Firat Kiyak;Energy Complexity of Regular Language Recognition.;right_only
1649;Daniel Reidenbach;A Toolkit for Parikh Matrices.;right_only
1650;Philippe Veber;None;right_only
1651;Viktor Olejar;The Cut Operation in Subclasses of Convex Languages (Extended Abstract).;right_only
1652;Alexander Okhotin;Homomorphisms on Graph-Walking Automata.;right_only
1653;Zeshan Peng;Time and Space Efficient Algorithms for Constrained Sequence Alignment.;right_only
1654;Juan Otero Pombo;Robust Spelling Correction.;right_only
1655;Juan Otero Pombo;Robust Spelling Correction.;right_only
1656;Juan Otero Pombo;Regional Finite-State Error Repair.;right_only
1657;Juan Otero Pombo;Regional Finite-State Error Repair.;right_only
1658;Joachim Klein;None;right_only
1659;Patrick Henry;LALBLC A Program Testing the Equivalence of dpda\'s.;right_only
1660;Kai Salomaa;Nondeterministic State Complexity of Site-Directed Deletion.;right_only
1661;Nir Piterman;Equivalence of Probabilistic \\mu -Calculus and p-Automata.;right_only
1662;Kenji Hashimoto;An Ambiguity Hierarchy of Weighted Context-Free Grammars.;right_only
1663;Jeffrey O. Shallit;State Complexity and Jacobsthal\'s Function.;right_only
1664;Sicheol Sung;How to Settle the ReDoS Problem: Back to the Classical Automata Theory.;right_only
1665;Diptarama;Enumeration of Cryptarithms Using Deterministic Finite Automata.;right_only
1666;Yusuke Inoue (disambiguation);An Ambiguity Hierarchy of Weighted Context-Free Grammars.;right_only
1667;Andreas Reuß;None;right_only
1668;Alfonso Rodríguez-Patón;Hopcroft\'s Minimization Technique: Queues or Stacks?.;right_only
1669;Bai Li (disambiguation);State Complexity of Overlap Assembly.;right_only
1670;Antonio Restivo;Nondeterministic Moore Automata and Brzozowski\'s Algorithm.;right_only
1671;Antonio Restivo;On Extremal Cases of Hopcroft\'s Algorithm.;right_only
1672;Li Guo;Compressing Regular Expressions\' DFA Table by Matrix Decomposition.;right_only
1673;Heiko Vogler;Hybrid Tree Automata and the Yield Theorem for Constituent Tree Automata.;right_only
1674;Jakub Ruszil;Some Results Concerning Careful Synchronization of Partial Automata and Subset Synchronization of DFA\'s.;right_only
1675;Jason Eisner;None;right_only
1676;Matthias Wendlandt;On the Power of Pushing or Stationary Moves for Input-Driven Pushdown Automata.;right_only
1677;Helmut Seidl;None;right_only
1678;Loek Cleophas;Forest FIRE: A Taxonomy-based Toolkit of Tree Automata and Regular Tree Algorithms.;right_only
1679;Loek Cleophas;FIRE Station: An Environment for Manipulating Finite Automata and Regular Expression Views.;right_only
1680;Loek Cleophas;The Effect of Rewriting Regular Expressions on Their Accepting Automata.;right_only
1681;Jorge Graña Gil;Regional Finite-State Error Repair.;right_only
1682;Jorge Graña Gil;Regional Finite-State Error Repair.;right_only
1683;Jorge Graña Gil;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;right_only
1684;Jorge Graña Gil;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;right_only
1685;Jorge Graña Gil;Compilation Methods of Minimal Acyclic Finite-State Automata for Large Dictionaries.;right_only
1686;Jorge Graña Gil;Compilation Methods of Minimal Acyclic Finite-State Automata for Large Dictionaries.;right_only
1687;Stefan Hoffmann;Constrained Synchronization for Monotonic and Solvable Automata and Automata with Simple Idempotents.;right_only
1688;Michal Hospodár;The Cut Operation in Subclasses of Convex Languages (Extended Abstract).;right_only
1689;Martin Lange;A Similarity Measure for Formal Languages Based on Convergent Geometric Series.;right_only
1690;Hing-Fung Ting;Time and Space Efficient Algorithms for Constrained Sequence Alignment.;right_only
1691;Olga Martynova;Homomorphisms on Graph-Walking Automata.;right_only
1692;Mihaela Paun;Hopcroft\'s Minimization Technique: Queues or Stacks?.;right_only
1693;Maurice Herwig;A Similarity Measure for Formal Languages Based on Convergent Geometric Series.;right_only
1694;Florent Jacquemard;Symbolic Weighted Language Models, Quantitative Parsing and Automated Music Transcription.;right_only
1695;Hyunjoon Cheon;How to Settle the ReDoS Problem: Back to the Classical Automata Theory.;right_only
1696;Maxime Crochemore;On the Implementation of Compact DAWG\'s.;right_only
1697;Hiroyuki Seki;An Ambiguity Hierarchy of Weighted Context-Free Grammars.;right_only
1698;Andrei Paun;Hopcroft\'s Minimization Technique: Queues or Stacks?.;right_only
1699;Andrei Paun;None;right_only
1700;Christian Rauch;On 25 Years of CIAA Through the Lens of Data Science.;right_only
1701;Nicolae Santean;None;right_only
1702;Jan Holub;On the Implementation of Compact DAWG\'s.;right_only
1703;Marinella Sciortino;Nondeterministic Moore Automata and Brzozowski\'s Algorithm.;right_only
1704;Marinella Sciortino;On Extremal Cases of Hopcroft\'s Algorithm.;right_only
1705;A. S. M. Shohidull Islam;On Palindromic Sequence Automata and Applications.;right_only
1706;J. Andrés Montoya;Looking for Pairs that Hard to Separate: A Quantum Approach.;right_only
1707;Franck Guingne;None;right_only
1708;María Jesús Aranzabe;Using Finite State Technology in Natural Language Processing of Basque.;right_only
1709;Jean Berstel;On the Complexity of Hopcroft\'s State Minimization Algorithm.;right_only
1710;Florian Bruse;A Similarity Measure for Formal Languages Based on Convergent Geometric Series.;right_only
1711;Marco Almeida;Antimirov and Mosses\'s Rewrite System Revisited.;right_only
1712;Kim G. Larsen;Timed and Untimed Energy Games.;right_only
1713;Sebastian Jakobi;Brzozowski\'s Minimization Algorithm - More Robust than Expected - (Extended Abstract).;right_only
1714;Miri Kopel Ben-Nissan;Accelerating Boyer Moore Searches on Binary Texts.;right_only
