;Author;Title;Exist
755;Alexander Lauser;Regular Ideal Languages and Their Boolean Combinations.;both
756;Alexander Lauser;Partially Ordered Two-Way Büchi Automata.;both
757;Dale Gerdemann;An Extendible Regular Expression Compiler for Finite-State Approaches in Natural Language Processing.;left_only
758;Johan Schalkwyk;Filters for Efficient Composition of Weighted Finite-State Transducers.;both
759;Johan Schalkwyk;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.;both
760;Beatrice Palano;On the Power of One-Way Automata with Quantum and Classical States.;both
761;Beatrice Palano;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;both
762;Jean-François Raskin;Fixpoint Guided Abstraction Refinement for Alternating Automata.;both
763;Justin DeBenedetto;Algorithms and Training for Weighted Multiset Automata and Regular Expressions.;both
764;Olivier Gauwin;Early Nested Word Automata for XPath Query Answering on XML Streams.;both
765;Olivier Gauwin;Streamable Fragments of Forward XPath.;both
766;David Liu;Universal Witnesses for State Complexity of Basic Operations Combined with Reversal.;both
767;Guy Perrier;Lexical Disambiguation with Polarities and Automata.;both
768;Christof Baeijs;WFSC - A New Weighted Finite State Compiler.;both
769;Jan Janousek;Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.;both
770;Jurek Czyzowicz;Efficient Computation of Throughput Values of Context-Free Languages.;both
771;Jurek Czyzowicz;Reducing Simple Grammars: Exponential Against Highly-Polynomial Time in Practice.;both
772;Jurek Czyzowicz;Prime Normal Form and Equivalence of Simple Grammars.;both
773;Jurek Czyzowicz;Prime Decompositions of Regular Prefix Codes.;both
774;Martin Kutrib;Boolean Kernels of Context-Free Languages.;both
775;Martin Kutrib;Input-Driven Multi-counter Automata.;both
776;Martin Kutrib;Boosting Pushdown and Queue Machines by Preprocessing.;both
777;Martin Kutrib;Parametrizing String Assembling Systems.;both
778;Martin Kutrib;Transducing Reversibly with Finite State Machines.;both
779;Martin Kutrib;The Degree of Irreversibility in Deterministic Finite Automata.;both
780;Martin Kutrib;Deterministic Stack Transducers.;both
781;Martin Kutrib;Expressive Capacity of Concatenation Freeness.;both
782;Martin Kutrib;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;both
783;Martin Kutrib;On the Descriptional Complexity of the Window Size for Deterministic Restarting Automata.;both
784;Martin Kutrib;Gaining Power by Input Operations: Finite Automata and Beyond.;both
785;Martin Kutrib;Nondeterministic State Complexity of Star-Free Languages.;both
786;Martin Kutrib;Two-Party Watson-Crick Computations.;both
787;Martin Kutrib;Cellular Automata with Sparse Communication.;both
788;Martin Kutrib;Nondeterministic Finite Automata-Recent Results on the Descriptional and Computational Complexity.;both
789;Martin Kutrib;Regulated Nondeterminism in Pushdown Automata.;both
790;Martin Kutrib;Hybrid Extended Finite Automata.;both
791;Martin Kutrib;Some Non-semi-decidability Problems for Linear and Deterministic Context-Free Languages.;both
792;Martin Kutrib;State Complexity of Basic Operations on Nondeterministic Finite Automata.;both
793;Martin Kutrib;Improving Raster Image Run-Length Encoding Using Data Order.;both
794;Paolo Massazza;On the Conjecture ℒ;left_only
795;André Almeida;FAdo and GUItar.;left_only
796;Vesna Pajic;Information Extraction from Semi-structured Resources: A Two-Phase Finite State Transducers Approach.;both
797;Houda Abbad;Computing Weights.;both
798;Abiel Roche-Lima;Pairwise Rational Kernels Obtained by Automaton Operations.;both
799;Sebastian John;Minimal Unambiguous eNFA.;both
800;Pierre Réty;Weak Inclusion for Recursive XML Types.;both
801;Pierre Réty;Weak Inclusion for XML Types.;both
802;Francine Blanchet-Sadri;Minimal Partial Languages and Automata.;both
803;Francine Blanchet-Sadri;Partial Word DFAs.;both
804;John-Paul Harper;The MERLin Environment Applied to *-NFAs.;both
805;Catalin Ionut Tîrnauca;Types of Trusted Information That Make DFA Identification with Correction Queries Feasible.;both
806;Catalin Ionut Tîrnauca;Syntax-Directed Translations and Quasi-alphabetic Tree Bimorphisms.;both
807;Pawel Gawrychowski;Chrobak Normal Form Revisited, with Applications.;both
808;Markus Teichmann;Regular Approximation of Weighted Linear Nondeleting Context-Free Tree Languages.;both
809;Andreas Reuß;Crossing the Syntactic Barrier: Hom-Disequalities for H;left_only
810;Jan Lahoda;Pattern Matching in DCA Coded Text.;both
811;Madlen Kimmritz;Persistent Computations of Turing Machines.;both
812;Georgi Shopov;Algorithms for Probabilistic and Stochastic Subsequential Failure Transducers.;both
813;Jean-Michel Couvreur;A BDD-Like Implementation of an Automata Package.;both
814;Manuel Delgado;Approximation to the Smallest Regular Expression for a Given Regular Language.;both
815;Aidan Shackleton;Minimal Partial Languages and Automata.;both
816;Clément Miklarz;On the Hierarchy of Block Deterministic Languages.;both
817;Kim Guldstrand Larsen;Timed and Untimed Energy Games.;left_only
818;Fang Yu;Relational String Verification Using Multi-track Automata.;both
819;Fang Yu;TCTL Inevitability Analysis of Dense-Time Systems.;both
820;Nicholas Q. Trân;How to Synchronize the Heads of a Multitape Automaton.;both
821;Alessandra Gabriele;On Lazy Representations and Sturmian Graphs.;both
822;Alessandra Gabriele;On the Suffix Automaton with Mismatches.;both
823;Zoltán Fülöp;Composition Closure of Linear Weighted Extended Top-Down Tree Transducers.;both
824;Nicolas Maquet;Fixpoint Guided Abstraction Refinement for Alternating Automata.;both
825;Madhav V. Marathe;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;both
826;Pierre-Alain Reynier;Trimming Visibly Pushdown Automata.;both
827;Dieter Hofbauer;Finding Finite Automata That Certify Termination of String Rewriting.;both
828;Nina Yevtushenko;Describing Homing and Distinguishing Sequences for Nondeterministic Finite State Machines via Synchronizing Automata.;both
829;Nina Yevtushenko;On the Length of Homing Sequences for Nondeterministic Finite State Machines.;both
830;Nina Yevtushenko;Preset and Adaptive Homing Experiments for Nondeterministic Finite State Machines.;both
831;Nina Yevtushenko;Progressive Solutions to FSM Equations.;both
832;Haruo Hosoya;Compact Representation for Answer Sets of n-ary Regular Queries.;both
833;Haruo Hosoya;Multi-Return Macro Tree Transducers.;both
834;Haruo Hosoya;Non-backtracking Top-Down Algorithm for Checking Tree Automata Containment.;both
835;Haruo Hosoya;Boolean Operations for Attribute-Element Constraints.;both
836;Alessandro Cimatti;From Sequential Extended Regular Expressions to NFA with Symbolic Labels.;both
837;Alessandro Cimatti;Symbolic Implementation of Alternating Automata.;both
838;David Pereira;Partial Derivative Automata Formalized in Coq.;both
839;Filippo Mignosi;On Lazy Representations and Sturmian Graphs.;both
840;Filippo Mignosi;On the Suffix Automaton with Mismatches.;both
841;Jacques Chabin;Weak Inclusion for Recursive XML Types.;both
842;Jacques Chabin;Weak Inclusion for XML Types.;both
843;Eugene Weinstein;Factor Automata of Automata and Applications.;both
844;Mihaela Gheorghiu;Simulation of Gate Circuits in the Algebra of Transients.;left_only
845;Mihaela Gheorghiu;Feedback-Free Circuits in the Algebra of Transients.;left_only
846;Andreas Maletti;Ambiguity Hierarchies for Weighted Tree Automata.;both
847;Andreas Maletti;Composition Closure of Linear Weighted Extended Top-Down Tree Transducers.;both
848;Andreas Maletti;The Power of Regularity-Preserving Multi Bottom-up Tree Transducers.;both
849;Andreas Maletti;Hyper-optimization for Deterministic Tree Automata.;both
850;Andreas Maletti;Hyper-minimization for Deterministic Tree Automata.;both
851;Andreas Maletti;Computing All ℓ-Cover Automata Fast.;both
852;Andreas Maletti;Better Hyper-minimization - Not as Fast, But Fewer Errors.;both
853;Andreas Maletti;Simulations of Weighted Tree Automata.;both
854;Andreas Maletti;An nlogn Algorithm for Hyper-minimizing States in a (Minimized) Deterministic Automaton.;both
855;Andreas Maletti;Tree-Series-to-Tree-Series Transformations.;both
856;Andreas Maletti;Backward and Forward Bisimulation Minimisation of Tree Automata.;both
857;Andreas Maletti;Does o-Substitution Preserve Recognizability?;both
858;Andreas Maletti;Myhill-Nerode Theorem for Sequential Transducers over Unique GCD-Monoids.;both
859;Michael Gerbush;Approximating Minimum Reset Sequences.;both
860;Lisa Kaati;Composed Bisimulation for Tree Automata.;both
861;Lisa Kaati;Bisimulation Minimization of Tree Automata.;both
862;Lisa Kaati;Minimization of Non-deterministic Automata with Large Alphabets.;both
863;Marius Dumitran;Bounded Prefix-Suffix Duplication.;both
864;Marie-Catherine Vilarem;FA Minimisation Heuristics for a Class of Finite Languages.;left_only
865;Takaaki Nishimoto;Compressed Automata for Dictionary Matching.;both
866;Pierre-Cyrille Héam;On the Uniform Random Generation of Non Deterministic Automata Up to Isomorphism.;both
867;Pierre-Cyrille Héam;Random Generation and Enumeration of Accessible Deterministic Real-Time Pushdown Automata.;both
868;Pierre-Cyrille Héam;Enhancing Approximations for Regular Reachability Analysis.;both
869;Pierre-Cyrille Héam;On Positive TAGED with a Bounded Number of Constraints.;both
870;Pierre-Cyrille Héam;Loops and Overloops for Tree Walking Automata.;both
871;Pierre-Cyrille Héam;Random Generation of Deterministic Tree (Walking) Automata.;both
872;Pierre-Cyrille Héam;TAGED Approximations for Temporal Properties Model-Checking.;both
873;Pierre-Cyrille Héam;Automata for Pro-V Topologies.;both
874;Helmut Jürgensen;Automata for Codes.;both
875;Helmut Jürgensen;Finite Automata Encoding Geometric Figures.;left_only
876;Donald R. Franceschetti;In Vitro Implementation of Finite-State Machines.;left_only
877;Jason R. Smith;An Incremental Algorithm for Constructing Minimal Deterministic Finite Cover Automata.;left_only
878;Michael Gössel;A Structural Method for Output Compaction of Sequential Automata Implemented as Circuits.;left_only
879;Attila Egri-Nagy;On Straight Words and Minimal Permutators in Finite Transformation Semigroups.;both
880;Attila Egri-Nagy;Algebraic Hierarchical Decomposition of Finite State Automata: Comparison of Implementations for Krohn-Rhodes Theory.;both
881;Patrick Watrin;A Finite-State Super-Chunker.;both
882;Jean Vuillemin;Compact Normal Form for Regular Languages as Xor Automata.;both
883;K. Sasidharan;A Package for the Implementation of Block Codes as Finite Automata.;both
884;Markus Lohrey;Tree Automata and XPath on Compressed Trees.;both
885;Javier Miguel Sastre-Martínez;Efficient Parsing Using Filtered-Popping Recursive Transition Networks.;both
886;Maria Pittou;Weighted Variable Automata over Infinite Alphabets.;both
887;Lynette van Zijl;Magic Numbers for Symmetric Difference NFAs.;both
888;Lynette van Zijl;Succinct Descriptions of Regular Languages with Binary +-NFAs.;both
889;Lynette van Zijl;Random Number Generation with +-NFAs.;both
890;Lynette van Zijl;Supernondeterministic Finite Automata.;both
891;Lynette van Zijl;The MERLin Environment Applied to *-NFAs.;both
892;Morten Biehl;Algorithms for Guided Tree Automata.;left_only
893;Suna Bensch;Deterministic Stack Transducers.;both
894;Xiang Fu;Conversation Protocols: A Formalism for Specification and Verification of Reactive Electronic Services.;both
895;Hing Leung;Structurally Unambiguous Finite Automata.;both
896;Ernest Ketcha Ngassam;Preliminary Experiments in Hardcoding Finite Automata.;both
897;Sandra Huerter;Implementing Reversed Alternating Finite Automaton (r-AFA) Operations.;left_only
898;Robert Giegerich;Analyzing Ambiguity of Context-Free Grammars.;both
899;Pavlos Antoniou;Finding Common Motifs with Gaps Using Finite Automata.;both
900;Claire Pagetti;Around Hopcroft's Algorithm.;left_only
901;Cinzia Di Giusto;Guessing the Buffer Bound for k-Synchronizability.;both
902;Johannes Waldmann;Finding Finite Automata That Certify Termination of String Rewriting.;both
903;Barbara Klunder;Finite Automata Accepting Star-Connected Languages.;both
904;César Bravo;Building Context-Sensitive Parsers from CF Grammars with Regular Control Language.;both
905;César Bravo;Adaptive Automata - A Revisited Proposal.;both
906;Cheng Li;Testability of Oracle Automata.;left_only
907;Cheng Li;New Complexity Results for Some Linear Counting Problems Using Minimal Solutions to Linear Diophantine Equations.;left_only
908;Manfred Droste;Weighted Nested Word Automata and Logics over Strong Bimonoids.;both
909;Manfred Droste;Regular Expressions on Average and in the Long Run.;both
910;Manfred Droste;Weighted Automata and Weighted Logics with Discounting.;both
911;Norbert Hundeshagen;Transductions Computed by PC-Systems of Monotone Deterministic Restarting Automata.;both
912;Brian Fristensky;Pairwise Rational Kernels Obtained by Automaton Operations.;both
913;Mihalis Yannakakis;Automata, Probability, and Recursion.;both
914;Julie Carson-Berndsen;Computational Linguistic Motivations for a Finite-State Machine Hierarchy.;both
915;Denis Debarbieux;Early Nested Word Automata for XPath Query Answering on XML Streams.;both
916;Bas Ploeger;Five Determinisation Algorithms.;both
917;António Machiavelo;Counting Equivalent Linear Finite Transducers Using a Canonical Form.;both
918;Helmut Lescow;Minimal Separating Sets for Muller Automata.;left_only
919;R. Ramanujam;Dolev-Yao Theory with Associative Blindpair Operators.;left_only
