;Author;Title
16120;Jean-Philippe Dubernard;Testing Whether a Binary and Prolongeable Regular Language LIs Geometrical or Not on the Minimal Deterministic Automaton of Pref(L).
16122;Jean-Philippe Dubernard;Scheduling Hard Sporadic Tasks by Means of Finite Automata and Generating Functions.
16243;Kevin Knight;Tiburon: A Weighted Tree Automata Toolkit.
16294;Johanna Björklund;Z-Automata for Compact and Direct Representation of Unranked Tree Languages.
16296;Johanna Björklund;A Comparison of Two N-Best Extraction Methods for Weighted Tree Automata.
16298;Johanna Björklund;On the Regularity and Learnability of Ordered DAG Languages.
16300;Johanna Björklund;Deterministic Stack Transducers.
16310;Johanna Björklund;Backward and Forward Bisimulation Minimisation of Tree Automata.
16311;Johanna Björklund;Bisimulation Minimization of Tree Automata.
16312;Johanna Björklund;Wind in the Willows - Generating Music by Means of Tree Transducers.
16340;David Pereira;Partial Derivative Automata Formalized in Coq.
16393;S. S. Ravi;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.
16581;Antonis Achilleos;On the Complexity of Determinizing Monitors.
16589;Cinzia Di Giusto;Guessing the Buffer Bound for k-Synchronizability.
16618;Stavros Konstantinidis;Partitioning a Symmetric Rational Relation into Two Asymmetric Rational Relations.
16619;Stavros Konstantinidis;Partial Derivatives of Regular Expressions over Alphabet-Invariant and User-Defined Labels.
16620;Stavros Konstantinidis;Regular Expressions and Transducers over Alphabet-Invariant and User-Defined Labels.
16623;Stavros Konstantinidis;Implementation of Code Properties via Transducers.
16635;Stavros Konstantinidis;Substitutions, Trajectories and Noisy Channels.
16643;Jens Glöckler;Forgetting Automata and Unary Languages.
16644;Firat Kiyak;Energy Complexity of Regular Language Recognition.
16647;Bryan Krawetz;State Complexity and the Monoid of Transformations of a Finite Set.
16668;Bruce W. Watson;On the Semantics of Atomic Subgroups in Practical Regular Expressions.
16673;Bruce W. Watson;Analyzing Matching Time Behavior of Backtracking Regular Expression Matchers by Using Ambiguity of NFA.
16677;Bruce W. Watson;Hardware Implementations of Finite Automata and Regular Expressions - Extended Abstract.
16704;Bruce W. Watson;Automata Applications in Chip-Design Software.
16714;Bruce W. Watson;FIRE Station: An Environment for Manipulating Finite Automata and Regular Expression Views.
16715;Bruce W. Watson;Combining Regular Expressions with (Near-)Optimal Brzozowski Automata.
16718;Bruce W. Watson;Preliminary Experiments in Hardcoding Finite Automata.
16719;Bruce W. Watson;The Effect of Rewriting Regular Expressions on Their Accepting Automata.
16721;Bruce W. Watson;Directly Constructing Minimal DFAs: Combining Two Algorithms by Brzozowski.
16736;Sylvain Lombardy;The Validity of Weighted Automata.
16737;Sylvain Lombardy;Two Routes to Automata Minimization and the Ways to Reach It Efficiently.
16738;Sylvain Lombardy;From Hadamard Expressions to Weighted Rotating Automata and Back.
16741;Sylvain Lombardy;A Type System for Weighted Automata and Rational Expressions.
16744;Sylvain Lombardy;Implementation Concepts in Vaucanson 2.
16746;Sylvain Lombardy;Factor and Subsequence Kernels and Signatures of Rational Languages.
16747;Sylvain Lombardy;The Removal of Weighted ε-Transitions.
16757;Sylvain Lombardy;Inside Vaucanson.
16760;Sylvain Lombardy;Introducing VAUCANSON.
16767;Roméo Courbis;TAGED Approximations for Temporal Properties Model-Checking.
16772;Sigrid Ewert;Introducing Code Adviser: A DFA-driven Electronic Programming Tutor.
16779;Sigrid Ewert;Computing Raster Images from Grid Picture Grammars.
16792;Martin Sulzmann;Derivative-Based Diagnosis of Regular Expression Ambiguity.
16844;Avraham Trakhtman;Reducing the Time Complexity of Testing for Local Threshold Testability.
16845;Avraham Trakhtman;A Polynomial Time Algorithm for Left [Right] Local Testability.
16846;Avraham Trakhtman;A Package TESTAS for Checking Some Kinds of Testability.
16855;Adrian D. Thurston;Parsing Computer Languages with an Automaton Compiled from a Single Regular Expression.
16857;Andrew Badr;Hyper-Minimization in O(n2).
16871;Andreas Krebs;Problems on Finite Automata and the Exponential Time Hypothesis.
16902;Daniel Reidenbach;A Toolkit for Parikh Matrices.
16913;Daniel Reidenbach;Automata with Modulo Counters and Nondeterministic Counter Bounds.
16919;Daniel Reidenbach;A Polynomial Time Match Test for Large Classes of Extended Regular Expressions.
16932;Mathieu Caralp;Trimming Visibly Pushdown Automata.
17024;Stephan Diehl;Visual Exploration of Generation Algorithms for Finite Automata on the Web.
17028;Shufen Lee;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.
17044;Hong-Yi Wang;On-the-Fly Branching Bisimulation Minimization for Compositional Analysis.
17075;John Lawrence;State Complexity and the Monoid of Transformations of a Finite Set.
17151;Mohamed Faouzi Atig;Verifying Parallel Programs with Dynamic Communication Structures.
17157;S. P. Suresh;Dolev-Yao Theory with Associative Blindpair Operators.
17173;Yuri Velinov;On the Software Design of Cellular Automata Simulators for Ecological Modeling.
17216;Hillel Kugler;Synthesizing State-Based Object Systems from LSC Specifications.
17224;Albert Nymeyer;Formally Synthesising a Protocol Converter: A Case Study.
17239;Philippe Veber;None
17253;Daniel Goc;Automatic Theorem-Proving in Combinatorics on Words.
17348;Brian Roark;A General Weighted Grammar Library.
17370;Nathalie Friburger;Finite-State Transducer Cascade to Extract Proper Names in Texts.
17391;David Chiang;Algorithms and Training for Weighted Multiset Automata and Regular Expressions.
17449;Robert Ferens;Complexity of Bifix-Free Regular Languages.
17452;Viktor Olejar;The Cut Operation in Subclasses of Convex Languages (Extended Abstract).
17502;Tomohiro I;Compressed Automata for Dictionary Matching.
17552;Tomasz Jurdzinski;Restricting the Use of Auxiliary Symbols for Restarting Automata.
17565;Slawomir Bakalarski;Symbolic Dynamics, Flower Automata and Infinite Traces.
17566;Arnaud Bailly;Component Composition Preserving Behavioural Contracts Based on Communication Traces.
17604;Nina Yevtushenko;Describing Homing and Distinguishing Sequences for Nondeterministic Finite State Machines via Synchronizing Automata.
17615;Nina Yevtushenko;On the Length of Homing Sequences for Nondeterministic Finite State Machines.
17619;Nina Yevtushenko;Preset and Adaptive Homing Experiments for Nondeterministic Finite State Machines.
17625;Nina Yevtushenko;Progressive Solutions to FSM Equations.
17668;Kamran Sedig;Crystal Lattice Automata.
17670;Clément Miklarz;On the Hierarchy of Block Deterministic Languages.
17673;Alexander Okhotin;Homomorphisms on Graph-Walking Automata.
17688;Alexander Okhotin;Graph-Walking Automata: From Whence They Come, and Whither They are Bound.
17759;Alexander Okhotin;Efficient Automaton-Based Recognition for Linear Conjunctive Languages.
17760;Alexander Okhotin;Whale Calf, a Parser Generator for Conjunctive Grammars.
17770;Heikki Hyyrö;Tighter Packed Bit-Parallel NFA for Approximate String Matching.
17792;Zhe Dang;Security of Numerical Sensors in Automata.
17813;Zhe Dang;Testability of Oracle Automata.
17818;Zhe Dang;New Complexity Results for Some Linear Counting Problems Using Minimal Solutions to Linear Diophantine Equations.
17826;Zhe Dang;Past Pushdown Timed Automata.
17853;Véronique Cortier;Electronic Voting: How Logic Can Help.
17922;Frédéric Tantini;Learning Stochastic Finite Automata for Musical Style Recognition.
17932;Attila Egri-Nagy;On Straight Words and Minimal Permutators in Finite Transformation Semigroups.
17935;Attila Egri-Nagy;Algebraic Hierarchical Decomposition of Finite State Automata: Comparison of Implementations for Krohn-Rhodes Theory.
17952;Tomás Flouri;Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.
17971;Eugene Weinstein;Factor Automata of Automata and Applications.
17978;Akim Demaille;Derived-Term Automata of Multitape Rational Expressions.
17979;Akim Demaille;A Type System for Weighted Automata and Rational Expressions.
17980;Akim Demaille;Implementation Concepts in Vaucanson 2.
18034;Akio Fujiyoshi;A Simple Extension to Finite Tree Automata for Defining Sets of Labeled, Connected Graphs.
18039;Akio Fujiyoshi;A Practical Algorithm for the Uniform Membership Problem of Labeled Multidigraphs of Tree-Width 2 for Spanning Tree Automata.
18043;Akio Fujiyoshi;Recognition of Labeled Multidigraphs by Spanning Tree Automata.
18051;Akio Fujiyoshi;Recognition of a Spanning Tree of Directed Acyclic Graphs by Tree Automata.
18054;Akio Fujiyoshi;Combination of Context-Free Grammars and Tree Automata for Unranked and Ranked Trees.
18056;Akio Fujiyoshi;Deterministic Recognition of Trees Accepted by a Linear Pushdown Tree Automaton.
18081;Zeshan Peng;Time and Space Efficient Algorithms for Constrained Sequence Alignment.
18090;Yih-Kuen Tsay;State of Büchi Complementation.
18095;Yih-Kuen Tsay;Automated Compositional Reasoning of Intuitionistically Closed Regular Properties.
18116;Javier Esparza;Back to the Future: A Fresh Look at Linear Temporal Logic.
18161;Javier Esparza;FPsolve: A Generic Solver for Fixpoint Equations over Semirings.
18264;Jan Supol;Significant Subpatterns Matching.
18274;Juan Otero Pombo;Robust Spelling Correction.
18277;Juan Otero Pombo;Regional Finite-State Error Repair.
18287;Wolfgang Thomas;Compositional Failure Detection in Structured Transition Systems.
18308;Wolfgang Thomas;Observations on Determinization of Büchi Automata.
18312;Wolfgang Thomas;Symbolic Synthesis of Finite-State Controllers for Request-Response Specifications.
18407;Jonathan May;Backward and Forward Bisimulation Minimisation of Tree Automata.
18409;Jonathan May;Tiburon: A Weighted Tree Automata Toolkit.
18420;Miroslav Balík;DAWG versus Suffix Array.
18425;Kristína Cevorová;On the Square of Regular Languages.
18456;Joachim Klein;None
18457;Joachim Klein;Experiments with Deterministic omega-Automata for Formulas of Linear Temporal Logic.
18458;Michiel Frishert;FIRE Station: An Environment for Manipulating Finite Automata and Regular Expression Views.
18459;Michiel Frishert;Combining Regular Expressions with (Near-)Optimal Brzozowski Automata.
18460;Michiel Frishert;The Effect of Rewriting Regular Expressions on Their Accepting Automata.
18470;Ernest Ketcha Ngassam;Preliminary Experiments in Hardcoding Finite Automata.
18484;Esko Ukkonen;Size Reduction of Multitape Automata.
18489;Esko Ukkonen;Size Reduction of Multitape Automata.
18497;Esko Ukkonen;Bideterministic Automata and Minimal Representations of Regular Languages.
18556;Yu-Ru Cheng;On-the-Fly Branching Bisimulation Minimization for Compositional Analysis.
18557;Patrick Henry;LALBLC A Program Testing the Equivalence of dpda\'s.
18558;Tamara Shcherbak;The Interval Rank of Monotonic Automata.
18562;Kai Salomaa;Nondeterministic State Complexity of Site-Directed Deletion.
18565;Kai Salomaa;Degrees of Restriction for Two-Dimensional Automata.
18572;Kai Salomaa;Decision Problems for Restricted Variants of Two-Dimensional Automata.
18598;Kai Salomaa;State Complexity of Prefix Distance.
18615;Kai Salomaa;Approximate Matching between a Context-Free Grammar and a Finite-State Automaton.
18625;Kai Salomaa;In Memoriam Sheng Yu.
18642;Kai Salomaa;A Cellular Automaton Model for Car Traffic with a Slow-to-Stop Rule.
18648;Kai Salomaa;Language Decompositions, Primality, and Trajectory-Based Operations.
18652;Kai Salomaa;Deterministic Caterpillar Expressions.
18665;Kai Salomaa;Regex and Extended Regex.
18716;Artur Jez;Hyper-minimization for Deterministic Tree Automata.
18718;Artur Jez;Computing All ℓ-Cover Automata Fast.
18794;Stefano Tonetta;From Sequential Extended Regular Expressions to NFA with Symbolic Labels.
18813;Stefan Gerdjikov;Generalised Twinning Property.
18815;Stefan Gerdjikov;A Simple Method for Building Bimachines from Functional Finite-State Transducers.
18838;Nir Piterman;Equivalence of Probabilistic \\mu -Calculus and p-Automata.
18908;Tomás Polcar;Two-Dimensional Pattern Matching by Two-Dimensional Online Tessellation Automata.
18909;Tomás Polcar;The Longest Common Subsequence Problem A Finite Automata Approach.
18991;Costas S. Iliopoulos;Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.
19028;Costas S. Iliopoulos;The Constrained Longest Common Subsequence Problem for Degenerate Strings.
19037;Costas S. Iliopoulos;Finding Common Motifs with Gaps Using Finite Automata.
19073;Aloïs Dreyfus;Enhancing Approximations for Regular Reachability Analysis.
19090;Timothy Ng;Prefix Distance Between Regular Languages.
19093;Timothy Ng;State Complexity of Prefix Distance.
19094;Kenji Hashimoto;An Ambiguity Hierarchy of Weighted Context-Free Grammars.
19205;Dominique Geniet;Term Validation of Distributed Hard Real-Time Applications.
19206;Dominique Geniet;Scheduling Hard Sporadic Tasks by Means of Finite Automata and Generating Functions.
19212;Michael Gerbush;Approximating Minimum Reset Sequences.
19247;Adrian Francalanza;On the Complexity of Determinizing Monitors.
19281;Jeffrey O. Shallit;Say No to Case Analysis: Automating the Drudgery of Case-Based Proofs.
19312;Jeffrey O. Shallit;Automatic Theorem-Proving in Combinatorics on Words.
19320;Jeffrey O. Shallit;On Lazy Representations and Sturmian Graphs.
19328;Jeffrey O. Shallit;Efficient Enumeration of Regular Languages.
19334;Jeffrey O. Shallit;Enumerating Regular Expressions and Their Languages.
19335;Jeffrey O. Shallit;State Complexity and the Monoid of Transformations of a Finite Set.
19341;Jeffrey O. Shallit;State Complexity and Jacobsthal\'s Function.
19361;Grzegorz Madejski;The Membership Problem for Linear and Regular Permutation Languages.
19413;Pierre-Yves Schobbens;Distributed Event Clock Automata - Extended Abstract.
19496;Torsten Weller;Visual Exploration of Generation Algorithms for Finite Automata on the Web.
19513;Mark G. Eramian;Does Hausdorff Dimension Measure Texture Complexity?.
19514;Mark G. Eramian;Bag Automata and Stochastic Retrieval of Biomolecules in Solution.
19518;Louis Latour;Computing Affine Hulls over Q and Z from Sets Represented by Number Decision Diagrams.
19520;Louis Latour;Counting the Solutions of Presburger Equations without Enumerating Them.
19521;Sicheol Sung;How to Settle the ReDoS Problem: Back to the Classical Automata Theory.
19522;Juraj Sebej;Partitioning a Symmetric Rational Relation into Two Asymmetric Rational Relations.
19526;Juraj Sebej;Kuratowski Algebras Generated by Prefix-Free Languages.
19530;Juraj Sebej;Kleene Closure on Regular and Prefix-Free Languages.
19555;Fevzi Belli;Using Regular Grammars for Event-Based Testing.
19652;Manuel Vazquez de Parga;Learning Regular Languages Using Nondeterministic Finite Automata.
19653;Manuel Vazquez de Parga;A Family of Algorithms for Non Deterministic Regular Languages Inference.
19662;Galina Jirásková;The Exact Complexity of Star-Complement-Star.
19666;Galina Jirásková;Nondeterministic Complexity of Operations on Free and Convex Languages.
19672;Galina Jirásková;Nondeterministic Complexity of Operations on Closed and Ideal Languages.
19678;Galina Jirásková;On the Square of Regular Languages.
19679;Galina Jirásková;Kleene Closure on Regular and Prefix-Free Languages.
19685;Galina Jirásková;On the Boundary of Regular Languages.
19691;Galina Jirásková;On the State and Computational Complexity of the Reverse of Acyclic Minimal DFAs.
19711;Galina Jirásková;State Complexity of Concatenation and Complementation of Regular Languages.
19735;Diptarama;Enumeration of Cryptarithms Using Deterministic Finite Automata.
19746;Yusuke Inoue (disambiguation);An Ambiguity Hierarchy of Weighted Context-Free Grammars.
19759;Damir Korencic;Enumerated Automata Implementation of String Dictionaries.
19763;Andreas Reuß;None
19782;Patrick Watrin;A Finite-State Super-Chunker.
19802;Alfonso Rodríguez-Patón;Hopcroft\'s Minimization Technique: Queues or Stacks?.
19829;Bai Li (disambiguation);State Complexity of Overlap Assembly.
19837;Evgeny Tipikin;Experimental Study of the Shortest Reset Word of Random Automata.
19943;Timothy Sherwood;Automata-Theoretic Analysis of Bit-Split Languages for Packet Scanning.
20001;Antonio Restivo;Nondeterministic Moore Automata and Brzozowski\'s Algorithm.
20007;Antonio Restivo;On Extremal Cases of Hopcroft\'s Algorithm.
20081;Lisa Kaati;Composed Bisimulation for Tree Automata.
20082;Lisa Kaati;Bisimulation Minimization of Tree Automata.
20083;Lisa Kaati;Minimization of Non-deterministic Automata with Large Alphabets.
20084;Dawid Weiss;Smaller Representation of Finite State Automata.
20097;Tomás Vávra;Analytic Functions Computable by Finite State Transducers.
20231;Li Guo;SDFA: Series DFA for Memory-Efficient Regular Expression Matching.
20255;Li Guo;Compressing Regular Expressions\' DFA Table by Matrix Decomposition.
20281;Nathan Preston;AVA: An Applet for Visualizing FRACTRAN and Other Automata.
20307;Jan Janousek;Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.
20364;Chrystopher L. Nehaniv;On Straight Words and Minimal Permutators in Finite Transformation Semigroups.
20425;Chrystopher L. Nehaniv;Algebraic Hierarchical Decomposition of Finite State Automata: Comparison of Implementations for Krohn-Rhodes Theory.
20441;Heiko Vogler;Hybrid Tree Automata and the Yield Theorem for Constituent Tree Automata.
20479;David Rappaport;State Complexity of Prefix Distance.
20513;Jakub Ruszil;Some Results Concerning Careful Synchronization of Partial Automata and Subset Synchronization of DFA\'s.
20514;Javier Gil;Bounded Prefix-Suffix Duplication.
20516;Yuki Nozaki;Enumeration of Cryptarithms Using Deterministic Finite Automata.
20517;Franziska Biegler;On Comparing Deterministic Finite Automata and the Shuffle of Words.
20585;Julie Carson-Berndsen;Computational Linguistic Motivations for a Finite-State Machine Hierarchy.
20603;Pascal Caron;On the Hierarchy of Block Deterministic Languages.
20605;Pascal Caron;Multi-Tilde-Bar Derivatives.
20610;Pascal Caron;Small Extended Expressions for Acyclic Automata.
20612;Pascal Caron;Star Normal Form, Rational Expressions, and Glushkov WFAs Properties.
20613;Pascal Caron;Glushkov Construction for Multiplicities.
20671;Pedro J. Moreno;Factor Automata of Automata and Applications.
20793;Jason Eisner;None
20816;Juan Otero Pombo;Robust Spelling Correction.
20819;Juan Otero Pombo;Regional Finite-State Error Repair.
20820;Markus Teichmann;Regular Approximation of Weighted Linear Nondeleting Context-Free Tree Languages.
20823;Nico Wallmeier;Observations on Determinization of Büchi Automata.
20824;Nico Wallmeier;Symbolic Synthesis of Finite-State Controllers for Request-Response Specifications.
20830;Shmuel Tomi Klein;Approximate Hashing for Bioinformatics.
20842;Shmuel Tomi Klein;New Approaches for Context Sensitive Flash Codes.
20881;Shmuel Tomi Klein;Accelerating Boyer Moore Searches on Binary Texts.
20923;Maria Paola Bianchi;On the Power of One-Way Automata with Quantum and Classical States.
20943;Frantisek Mráz;Two-Dimensional Pattern Matching Against Basic Picture Languages.
20955;Frantisek Mráz;Lambda-Confluence Is Undecidable for Clearing Restarting Automata.
20956;Frantisek Mráz;Comparing Two-Dimensional One-Marker Automata to Sgraffito Automata.
20959;Frantisek Mráz;Restarting Tiling Automata.
20968;Frantisek Mráz;A Measure for the Degree of Nondeterminism of Context-Free Languages.
20971;Frantisek Mráz;Correctness Preservation and Complexity of Simple RL-Automata.
20994;Vladimir A. Zakharov;On the Equivalence Problem for Programs with Mode Switching.
20995;Vladimir A. Zakharov;On the Equivalence-Checking Problem for a Model of Programs Related with Multi-tape Automata.
21025;Ivone Amorim;Counting Equivalent Linear Finite Transducers Using a Canonical Form.
21038;Natasa Jonoska;Using Automata to Describe Self-Assembled Nanostructures.
21043;Natasa Jonoska;On Complexity of Two Dimensional Languages Generated by Transducers.
21044;Natasa Jonoska;Finite State Automata Representing Two-Dimensional Subshifts.
21178;Pawel Gawrychowski;Chrobak Normal Form Revisited, with Applications.
21224;Richard A. Kemmerer;Past Pushdown Timed Automata.
21335;Andreas Kerren;Visual Exploration of Generation Algorithms for Finite Automata on the Web.
21338;Joshua Young;Regular Expressions and Transducers over Alphabet-Invariant and User-Defined Labels.
21340;Houda Abbad;Computing Weights.
21341;Tadeusz Dobosz;Finite-State Molecular Computing.
21355;Adam Rogalewicz;Automata-Based Termination Proofs.
21360;Yuki Ubukata;Towards the Algorithmic Molecular Self-assembly of Fractals by Cotranscriptional Folding.
21366;Lila Kari;State Complexity of Overlap Assembly.
21386;Lila Kari;State Complexity of Catenation Combined with Union and Intersection.
21409;Lila Kari;Substitutions, Trajectories and Noisy Channels.
21439;Antonio Di Stasio;Solving Parity Games: Explicit vs Symbolic.
21441;Antonio Di Stasio;Solving Parity Games Using an Automata-Based Algorithm.
21444;Matthias Wendlandt;On the Power of Pushing or Stationary Moves for Input-Driven Pushdown Automata.
21450;Matthias Wendlandt;Input-Driven Multi-counter Automata.
21451;Matthias Wendlandt;Boosting Pushdown and Queue Machines by Preprocessing.
21452;Matthias Wendlandt;Parametrizing String Assembling Systems.
21456;Matthias Wendlandt;Transducing Reversibly with Finite State Machines.
21469;Matthias Wendlandt;Expressive Capacity of Concatenation Freeness.
21479;Matthias Wendlandt;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.
21633;Gonzalo Navarro;Implementation and Application of Automata in String Processing.
21753;Evgeny Skvortsov;Experimental Study of the Shortest Reset Word of Random Automata.
21792;Helmut Seidl;None
21810;Helmut Seidl;Program Analysis through Finite Tree Automata.
21875;Djelloul Ziadi;The Bottom-Up Position Tree Automaton and Its Compact Version.
21888;Djelloul Ziadi;Computing the Follow Automaton of an Expression.
21889;Djelloul Ziadi;From Regular Weighted Expressions to Finite Automata.
21892;Djelloul Ziadi;New Finite Automaton Constructions Based on Canonical Derivatives.
21900;Thomas R. Fischer;Security of Numerical Sensors in Automata.
21949;Zeki Bayram;XSLT Version 2.0 Is Turing-Complete: A Purely Transformation Based Proof.
22032;Rudolf Freund;Implementation of Catalytic P Systems.
22066;Thomas Paranthoën;Brute Force Determinization of NFAs by Means of State Covers.
22070;Christof Baeijs;WFSC - A New Weighted Finite State Compiler.
22096;Hsueh-I Lu;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.
22115;Jean Vuillemin;Compact Normal Form for Regular Languages as Xor Automata.
22171;Dominik Schmitz;Implementation of a Strategy Improvement Algorithm for Finite-State Parity Games.
22175;Andreas Maletti;Ambiguity Hierarchies for Weighted Tree Automata.
22178;Andreas Maletti;Composition Closure of Linear Weighted Extended Top-Down Tree Transducers.
22187;Andreas Maletti;The Power of Regularity-Preserving Multi Bottom-up Tree Transducers.
22192;Andreas Maletti;Hyper-optimization for Deterministic Tree Automata.
22199;Andreas Maletti;Hyper-minimization for Deterministic Tree Automata.
22207;Andreas Maletti;Computing All ℓ-Cover Automata Fast.
22215;Andreas Maletti;Better Hyper-minimization - Not as Fast, But Fewer Errors.
22216;Andreas Maletti;Simulations of Weighted Tree Automata.
22222;Andreas Maletti;An nlogn Algorithm for Hyper-minimizing States in a (Minimized) Deterministic Automaton.
22226;Andreas Maletti;Tree-Series-to-Tree-Series Transformations.
22230;Andreas Maletti;Backward and Forward Bisimulation Minimisation of Tree Automata.
22233;Andreas Maletti;Does o-Substitution Preserve Recognizability?
22236;Andreas Maletti;Myhill-Nerode Theorem for Sequential Transducers over Unique GCD-Monoids.
22237;Tsai-Cheng Wang;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.
22244;Víctor J. Díaz;Tabulation of Bidirectional Push Down Automata.
22249;Dane Henshall;Automatic Theorem-Proving in Combinatorics on Words.
22307;Loek Cleophas;Forest FIRE: A Taxonomy-based Toolkit of Tree Automata and Regular Tree Algorithms.
22312;Loek Cleophas;FIRE Station: An Environment for Manipulating Finite Automata and Regular Expression Views.
22314;Loek Cleophas;The Effect of Rewriting Regular Expressions on Their Accepting Automata.
22318;Klaus Sutner;Invertible Transducers, Iteration and Coordinates.
22323;Klaus Sutner;The Ehrenfeucht-Mycielski Sequence.
22324;Klaus Sutner;Reduced Power Automata.
22325;Klaus Sutner;automata, a Hybrid System for Computational Automata Theory.
22331;Jan Antos;Finite Automata for Generalized Approach to Backward Pattern Matching.
22337;Jorge Graña Gil;Regional Finite-State Error Repair.
22343;Jorge Graña Gil;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.
22346;Jorge Graña Gil;Compilation Methods of Minimal Acyclic Finite-State Automata for Large Dictionaries.
22371;Friedrich Otto;Weighted Restarting Automata as Language Acceptors.
22381;Friedrich Otto;Restarting Automata for Picture Languages: A Survey on Recent Developments.
22384;Friedrich Otto;Lambda-Confluence Is Undecidable for Clearing Restarting Automata.
22385;Friedrich Otto;Comparing Two-Dimensional One-Marker Automata to Sgraffito Automata.
22392;Friedrich Otto;On the Descriptional Complexity of the Window Size for Deterministic Restarting Automata.
22403;Friedrich Otto;Transductions Computed by PC-Systems of Monotone Deterministic Restarting Automata.
22418;Friedrich Otto;A Measure for the Degree of Nondeterminism of Context-Free Languages.
22422;Friedrich Otto;Correctness Preservation and Complexity of Simple RL-Automata.
22426;Friedrich Otto;Restricting the Use of Auxiliary Symbols for Restarting Automata.
22474;Steffen Kopecki;Complexity Results and the Growths of Hairpin Completions of Regular Languages (Extended Abstract).
22479;Stefan Hoffmann;Constrained Synchronization for Monotonic and Solvable Automata and Automata with Simple Idempotents.
22491;Stefan Hoffmann;Regularity Conditions for Iterated Shuffle on Commutative Regular Languages.
22492;Stefan Hoffmann;The Commutative Closure of Shuffle Languages over Group Languages is Regular.
22493;Stefan Hoffmann;State Complexity of Permutation and Related Decision Problems on Alphabetical Pattern Constraints.
22499;Stefan Hoffmann;Subword Metrics for Infinite Words.
22559;Ahmed Bouajjani;Antichain-Based Universality and Inclusion Testing over Nondeterministic Finite Tree Automata.
22560;Ahmed Bouajjani;Composed Bisimulation for Tree Automata.
22652;Zoltán Ésik;Ternary Equational Languages.
22674;Zoltán Ésik;Simulations of Weighted Tree Automata.
22682;Zoltán Ésik;Games for Temporal Logics on Trees.
22722;Franz Jahn;Regular Ideal Languages and Their Boolean Combinations.
22724;Michal Hospodár;The Cut Operation in Subclasses of Convex Languages (Extended Abstract).
22728;Michal Hospodár;Descriptional Complexity of Power and Positive Closure on Convex Languages.
22731;Michal Hospodár;The Ranges of Accepting State Complexities of Languages Resulting From Some Operations.
22733;Michal Hospodár;Nondeterministic Complexity of Operations on Free and Convex Languages.
22735;Michal Hospodár;Nondeterministic Complexity of Operations on Closed and Ideal Languages.
22757;Denis Maurel;Compiling Linguistic Constraints into Finite State Automata.
22760;Denis Maurel;Incremental and Semi-incremental Construction of Pseudo-Minimal Automata.
22767;Denis Maurel;Finite-State Transducer Cascade to Extract Proper Names in Texts.
22769;Denis Maurel;Direct Construction of Minimal Acyclic Subsequential Transducers.
22776;Christoph Schulte Althoff;Observations on Determinization of Büchi Automata.
22805;Margareta Ackerman;Efficient Enumeration of Regular Languages.
22819;Suna Bensch;Deterministic Stack Transducers.
22836;Jacques Farré;Reducing Acyclic Cover Transducers.
22837;Jacques Farré;Shift-Resolve Parsing: Simple, Unbounded Lookahead, Linear Time.
22841;Jacques Farré;Bounded-Graph Construction for Noncanonical Discriminating-Reverse Parsers.
22843;Jacques Farré;A Basis for Looping Extensions to Discriminating-Reverse Parsing.
22845;Martin Lange;A Similarity Measure for Formal Languages Based on Convergent Geometric Series.
22915;Taylor J. Smith;Degrees of Restriction for Two-Dimensional Automata.
22917;Taylor J. Smith;Decision Problems for Restricted Variants of Two-Dimensional Automata.
22972;Jorge Calvo-Zaragoza;Computing the Expected Edit Distance from a String to a PFA.
22980;Lamana Mulaffer;A Logical Characterization of Small 2NFAs.
22992;Priti Shankar;Compressing XML Documents Using Recursive Finite State Automata.
22997;Priti Shankar;A Package for the Implementation of Block Codes as Finite Automata.
23000;Egor Dolzhenko;On Complexity of Two Dimensional Languages Generated by Transducers.
23043;Chih-Hong Cheng;On the Hardness of Priority Synthesis.
23113;Hing-Fung Ting;Time and Space Efficient Algorithms for Constrained Sequence Alignment.
23135;Olga Martynova;Homomorphisms on Graph-Walking Automata.
23160;Volker Diekert;Complexity Results and the Growths of Hairpin Completions of Regular Languages (Extended Abstract).
23206;Joshua Amavi;Weak Inclusion for Recursive XML Types.
23207;Joshua Amavi;Weak Inclusion for XML Types.
23220;Richard Edwin Stearns;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.
23275;Mihaela Paun;Hopcroft\'s Minimization Technique: Queues or Stacks?.
23321;Mikel L. Forcada;An Implementation of Deterministic Tree Automata Minimization.
23346;Jorge Graña Gil;Regional Finite-State Error Repair.
23352;Jorge Graña Gil;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.
23355;Jorge Graña Gil;Compilation Methods of Minimal Acyclic Finite-State Automata for Large Dictionaries.
23359;Anguraj Baskar;Dolev-Yao Theory with Associative Blindpair Operators.
