;Author;Title
4965;Angelo Morzenti;BSP: A Parsing Tool for Ambiguous Regular Expressions.
5050;Rob J. van Glabbeek;Five Determinisation Algorithms.
5094;Andrzej Kisielewicz;Experiments with Synchronizing Automata.
5099;Andrzej Kisielewicz;Generating Small Automata and the Černý Conjecture.
5191;Hideo Bannai;Compressed Automata for Dictionary Matching.
5268;Kaizhong Zhang;An Automata Approach to Match Gapped Sequence Tags Against Protein Database.
5335;Todd Wareham;The Parameterized Complexity of Intersection and Composition Operations on Sets of Finite-State Automata.
5342;Pavel Martyugin;Synchronization of Automata with One Undefined or Ambiguous Transition.
5343;Pavel Martyugin;Complexity of Problems Concerning Reset Words for Cyclic and Eulerian Automata.
5356;Michael Riley;Algorithms for Weighted Finite Automata with Failure Transitions.
5364;Michael Riley;On the Disambiguation of Weighted Automata.
5372;Michael Riley;A Pushdown Transducer Extension for the OpenFst Library.
5377;Michael Riley;Filters for Efficient Composition of Weighted Finite-State Transducers.
5383;Michael Riley;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.
5441;Pedro García;Learning Regular Languages Using Nondeterministic Finite Automata.
5445;Pedro García;A Family of Algorithms for Non Deterministic Regular Languages Inference.
5447;Pedro García;Finite Automata and Unions of Regular Patterns with Bounded Constant Segments.
5448;Pedro García;Is Learning RFSAs Better Than Learning DFAs?.
5465;Matthieu Picantin;A New Hierarchy for Automaton Semigroups.
5469;Matthieu Picantin;Implementing Computations in Automaton (Semi)groups.
5470;Krzysztof Chmiel;COMPAS - A Computing Package for Synchronization.
5514;Martin Zimmermann 0002;Time-Optimal Winning Strategies for Poset Games.
5524;Adam Roman;COMPAS - A Computing Package for Synchronization.
5538;Massimiliano Goldwurm;Average Value and Variance of Pattern Statistics in Rational Models.
5555;Yuta Takahashi;Streaming Ranked-Tree-to-String Transducers.
5592;Peter Thiemann;Derivatives for Enhanced Regular Expressions.
5705;Pierre Peterlongo;Approximate Hashing for Bioinformatics.
5720;Pierre Peterlongo;Finding Common Motifs with Gaps Using Finite Automata.
5727;Ulrik Terp Rasmussen;Two-Pass Greedy Regular Expression Parsing.
5730;Simone Semprini;Symbolic Implementation of Alternating Automata.
5744;Borivoj Melichar;Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.
5747;Borivoj Melichar;Finite Automata for Generalized Approach to Backward Pattern Matching.
5748;Borivoj Melichar;A Note on a Tree-Based 2D Indexing.
5751;Borivoj Melichar;Pattern Matching in DCA Coded Text.
5752;Borivoj Melichar;Approximate Periods with Levenshtein Distance.
5757;Borivoj Melichar;Borders and Finite Automata.
5758;Borivoj Melichar;Finding Common Motifs with Gaps Using Finite Automata.
5761;Borivoj Melichar;On Two-Dimensional Pattern Matching by Finite Automata.
5763;Borivoj Melichar;Two-Dimensional Pattern Matching by Two-Dimensional Online Tessellation Automata.
5765;Borivoj Melichar;The Longest Common Subsequence Problem A Finite Automata Approach.
5766;Borivoj Melichar;Deterministic Parsing of Cyclic Strings.
5767;Borivoj Melichar;On the Size of Deterministic Finite Automata.
5803;Sergio Mover;From Sequential Extended Regular Expressions to NFA with Symbolic Labels.
5805;Takuya Nishiyama;A Translation from the HTML DTD into a Regular Hedge Grammar.
5850;Iñaki Alegria;Using Finite State Technology in Natural Language Processing of Basque.
5951;Shunsuke Inenaga;Compressed Automata for Dictionary Matching.
5992;Shunsuke Inenaga;Ternary Directed Acyclic Word Graphs.
6006;Nicholas Q. Trân;How to Synchronize the Heads of a Multitape Automaton.
6017;Su-Hyeon Kim;Efficient Enumeration of Regular Expressions for Faster Regular Expression Synthesis.
6098;Michael Domaratzki;Pairwise Rational Kernels Obtained by Automaton Operations.
6126;George Rahonis;Weighted Variable Automata over Infinite Alphabets.
6131;George Rahonis;Weighted Automata and Weighted Logics with Discounting.
6140;Maria Pittou;Weighted Variable Automata over Infinite Alphabets.
6142;Yuan Gao;In Memoriam Sheng Yu.
6145;Yuan Gao;State Complexity of Catenation Combined with Union and Intersection.
6153;Étienne Lozes;Guessing the Buffer Bound for k-Synchronizability.
6189;Michael Wehar;Two-Dimensional Pattern Matching Against Basic Picture Languages.
6201;Rafael C. Carrasco;An Implementation of Deterministic Tree Automata Minimization.
6262;Ming Li;Information Distance and Its Applications.
6341;Sylvie Davies;State Complexity of Reversals of Deterministic Finite Automata with Output.
6467;Nadia Nedjah;Minimal Adaptive Pattern-Matching Automata for Efficient Term Rewriting.
6526;Tevfik Bultan;Relational String Verification Using Multi-track Automata.
6563;Tevfik Bultan;Conversation Protocols: A Formalism for Specification and Verification of Reactive Electronic Services.
6570;Tevfik Bultan;Automata-Based Representations for Arithmetic Constraints in Automated Verification.
6575;Tevfik Bultan;Past Pushdown Timed Automata.
6587;Stefano Scafiti;Efficient String Matching Based on a Two-Step Simulation of the Suffix Automaton.
6608;Pierluigi San Pietro;Deterministic Counter Machines and Parallel Matching Computations.
6611;Pierluigi San Pietro;Strict Local Testability with Consensus Equals Regularity.
6893;Thomas A. Henzinger;Automata for Specifying Component Interfaces.
7000;Brink van der Merwe;Ordered Context-Free Grammars.
7001;Brink van der Merwe;Memoized Regular Expressions.
7011;Brink van der Merwe;On the Semantics of Atomic Subgroups in Practical Regular Expressions.
7012;Brink van der Merwe;Analyzing Matching Time Behavior of Backtracking Regular Expression Matchers by Using Ambiguity of NFA.
