Author;Title;Co-Authors;Pagination;Published;Venue
William J. Hutton III;Security of Numerical Sensors in Automata.;Zhe Dang, Dmitry Dementyev, Thomas R. Fischer;76-88;2015;CIAA 2015
Henning Fernau;Jumping Finite Automata: Characterizations and Complexity.;Meenakshi Paramasivan, Markus L. Schmid;89-101;2015;CIAA 2015
Meenakshi Paramasivan;Jumping Finite Automata: Characterizations and Complexity.;Henning Fernau, Markus L. Schmid;89-101;2015;CIAA 2015
Markus L. Schmid;Jumping Finite Automata: Characterizations and Complexity.;Henning Fernau, Meenakshi Paramasivan;89-101;2015;CIAA 2015
Emanuele Giaquinta;Run-Length Encoded Nondeterministic KMP and Suffix Automata.;nan;102-113;2015;CIAA 2015
Hermann Gruber;More on Deterministic and Nondeterministic Finite Cover Automata - Extended Abstract.;Markus Holzer, Sebastian Jakobi;114-126;2015;CIAA 2015
Markus Holzer;More on Deterministic and Nondeterministic Finite Cover Automata - Extended Abstract.;Hermann Gruber, Sebastian Jakobi;114-126;2015;CIAA 2015
Sebastian Jakobi;More on Deterministic and Nondeterministic Finite Cover Automata - Extended Abstract.;Hermann Gruber, Markus Holzer;114-126;2015;CIAA 2015
Vladimir V. Gusev;On the Number of Synchronizing Colorings of Digraphs.;Marek Szykula;127-139;2015;CIAA 2015
Marek Szykula;On the Number of Synchronizing Colorings of Digraphs.;Vladimir V. Gusev;127-139;2015;CIAA 2015
Pierre-Cyrille Héam;On the Uniform Random Generation of Non Deterministic Automata Up to Isomorphism.;Jean-Luc Joly;140-152;2015;CIAA 2015
Jean-Luc Joly;On the Uniform Random Generation of Non Deterministic Automata Up to Isomorphism.;Pierre-Cyrille Héam;140-152;2015;CIAA 2015
Pierre-Cyrille Héam;Random Generation and Enumeration of Accessible Deterministic Real-Time Pushdown Automata.;Jean-Luc Joly;153-164;2015;CIAA 2015
Jean-Luc Joly;Random Generation and Enumeration of Accessible Deterministic Real-Time Pushdown Automata.;Pierre-Cyrille Héam;153-164;2015;CIAA 2015
Stefan Hoffmann;Subword Metrics for Infinite Words.;Ludwig Staiger;165-175;2015;CIAA 2015
Ludwig Staiger;Subword Metrics for Infinite Words.;Stefan Hoffmann;165-175;2015;CIAA 2015
Mans Hulden;From Two-Way to One-Way Finite Automata - Three Regular Expression-Based Methods.;nan;176-187;2015;CIAA 2015
Natalia Kushik;Describing Homing and Distinguishing Sequences for Nondeterministic Finite State Machines via Synchronizing Automata.;Nina Yevtushenko;188-198;2015;CIAA 2015
Nina Yevtushenko;Describing Homing and Distinguishing Sequences for Nondeterministic Finite State Machines via Synchronizing Automata.;Natalia Kushik;188-198;2015;CIAA 2015
Martin Kutrib;Expressive Capacity of Concatenation Freeness.;Matthias Wendlandt;199-210;2015;CIAA 2015
Matthias Wendlandt;Expressive Capacity of Concatenation Freeness.;Martin Kutrib;199-210;2015;CIAA 2015
Grzegorz Madejski;The Membership Problem for Linear and Regular Permutation Languages.;nan;211-223;2015;CIAA 2015
Masaki Nakanishi;Classical and Quantum Counter Automata on Promise Problems.;Abuzer Yakaryilmaz;224-237;2015;CIAA 2015
Abuzer Yakaryilmaz;Classical and Quantum Counter Automata on Promise Problems.;Masaki Nakanishi;224-237;2015;CIAA 2015
Timothy Ng;State Complexity of Prefix Distance.;David Rappaport, Kai Salomaa;238-249;2015;CIAA 2015
David Rappaport;State Complexity of Prefix Distance.;Timothy Ng, Kai Salomaa;238-249;2015;CIAA 2015
Kai Salomaa;State Complexity of Prefix Distance.;Timothy Ng, David Rappaport;238-249;2015;CIAA 2015
Daniel Prusa;(Un)decidability of the Emptiness Problem for Multi-dimensional Context-Free Grammars.;nan;250-262;2015;CIAA 2015
Mehryar Mohri;On the Disambiguation of Weighted Automata.;Michael D. Riley;263-278;2015;CIAA 2015
Michael D. Riley;On the Disambiguation of Weighted Automata.;Mehryar Mohri;263-278;2015;CIAA 2015
Marek Szykula;Checking Whether an Automaton Is Monotonic Is NP-complete.;nan;279-291;2015;CIAA 2015
Martin Berglund;On the Semantics of Regular Expression Parsing in the Wild.;Brink van der Merwe;292-304;2015;CIAA 2015
Brink van der Merwe;On the Semantics of Regular Expression Parsing in the Wild.;Martin Berglund;292-304;2015;CIAA 2015
Abejide Ade-Ibijola;Introducing Code Adviser: A DFA-driven Electronic Programming Tutor.;Sigrid Ewert, Ian Douglas Sanders;307-312;2015;CIAA 2015
Sigrid Ewert;Introducing Code Adviser: A DFA-driven Electronic Programming Tutor.;Abejide Ade-Ibijola, Ian Douglas Sanders;307-312;2015;CIAA 2015
Ian Douglas Sanders;Introducing Code Adviser: A DFA-driven Electronic Programming Tutor.;Abejide Ade-Ibijola, Sigrid Ewert;307-312;2015;CIAA 2015
Angelo Borsotti;BSP: A Parsing Tool for Ambiguous Regular Expressions.;Luca Breveglieri, Stefano Crespi-Reghizzi, Angelo Morzenti;313-316;2015;CIAA 2015
Luca Breveglieri;BSP: A Parsing Tool for Ambiguous Regular Expressions.;Angelo Borsotti, Stefano Crespi-Reghizzi, Angelo Morzenti;313-316;2015;CIAA 2015
Stefano Crespi-Reghizzi;BSP: A Parsing Tool for Ambiguous Regular Expressions.;Angelo Borsotti, Luca Breveglieri, Angelo Morzenti;313-316;2015;CIAA 2015
Angelo Morzenti;BSP: A Parsing Tool for Ambiguous Regular Expressions.;Angelo Borsotti, Luca Breveglieri, Stefano Crespi-Reghizzi;313-316;2015;CIAA 2015
Jérôme Amilhastre;FA Minimisation Heuristics for a Class of Finite Languages.;Philippe Janssen, Marie-Catherine Vilarem;1-12;1999;WIA 1999
Philippe Janssen;FA Minimisation Heuristics for a Class of Finite Languages.;Jérôme Amilhastre, Marie-Catherine Vilarem;1-12;1999;WIA 1999
Marie-Catherine Vilarem;FA Minimisation Heuristics for a Class of Finite Languages.;Jérôme Amilhastre, Philippe Janssen;1-12;1999;WIA 1999
Philippe Andary;SEA: A Symbolic Environment for Automata Theory.;Pascal Caron, Jean-Marc Champarnaud, Gérard Duchamp, Marianne Flouret, Éric Laugerotte;13-26;1999;WIA 1999
Pascal Caron;SEA: A Symbolic Environment for Automata Theory.;Philippe Andary, Jean-Marc Champarnaud, Gérard Duchamp, Marianne Flouret, Éric Laugerotte;13-26;1999;WIA 1999
Jean-Marc Champarnaud;SEA: A Symbolic Environment for Automata Theory.;Philippe Andary, Pascal Caron, Gérard Duchamp, Marianne Flouret, Éric Laugerotte;13-26;1999;WIA 1999
Gérard Duchamp;SEA: A Symbolic Environment for Automata Theory.;Philippe Andary, Pascal Caron, Jean-Marc Champarnaud, Marianne Flouret, Éric Laugerotte;13-26;1999;WIA 1999
Marianne Flouret;SEA: A Symbolic Environment for Automata Theory.;Philippe Andary, Pascal Caron, Jean-Marc Champarnaud, Gérard Duchamp, Éric Laugerotte;13-26;1999;WIA 1999
Éric Laugerotte;SEA: A Symbolic Environment for Automata Theory.;Philippe Andary, Pascal Caron, Jean-Marc Champarnaud, Gérard Duchamp, Marianne Flouret;13-26;1999;WIA 1999
Anne Bergeron;Analysis of Reactive Systems with n Timers.;Riccardo Catalano;27-38;1999;WIA 1999
Riccardo Catalano;Analysis of Reactive Systems with n Timers.;Anne Bergeron;27-38;1999;WIA 1999
Beatrix Braune;Animation of the Generation and Computation of Finite Automata for Learning Software.;Stephan Diehl, Andreas Kerren, Reinhard Wilhelm;39-47;1999;WIA 1999
Stephan Diehl;Animation of the Generation and Computation of Finite Automata for Learning Software.;Beatrix Braune, Andreas Kerren, Reinhard Wilhelm;39-47;1999;WIA 1999
Andreas Kerren;Animation of the Generation and Computation of Finite Automata for Learning Software.;Beatrix Braune, Stephan Diehl, Reinhard Wilhelm;39-47;1999;WIA 1999
Reinhard Wilhelm;Animation of the Generation and Computation of Finite Automata for Learning Software.;Beatrix Braune, Stephan Diehl, Andreas Kerren;39-47;1999;WIA 1999
Cristian Calude;Metric Lexical Analysis.;Kai Salomaa, Sheng Yu;48-59;1999;WIA 1999
Kai Salomaa;Metric Lexical Analysis.;Cristian Calude, Sheng Yu;48-59;1999;WIA 1999
Sheng Yu;Metric Lexical Analysis.;Cristian Calude, Kai Salomaa;48-59;1999;WIA 1999
Cezar Câmpeanu;State Complexity of Basic Operations on Finite Languages.;Karel Culík II, Kai Salomaa, Sheng Yu;60-70;1999;WIA 1999
Karel Culík II;State Complexity of Basic Operations on Finite Languages.;Cezar Câmpeanu, Kai Salomaa, Sheng Yu;60-70;1999;WIA 1999
Kai Salomaa;State Complexity of Basic Operations on Finite Languages.;Cezar Câmpeanu, Karel Culík II, Sheng Yu;60-70;1999;WIA 1999
Sheng Yu;State Complexity of Basic Operations on Finite Languages.;Cezar Câmpeanu, Karel Culík II, Kai Salomaa;60-70;1999;WIA 1999
Jan Daciuk;Treatment of Unknown Words.;nan;71-80;1999;WIA 1999
Mark G. Eramian;Computing Entropy Maps of Finite-Automaton-Encoded Binary Images.;nan;81-90;1999;WIA 1999
Dora Giammarresi;Thompson Digraphs: A Characterization.;Jean-Luc Ponty, Derick Wood;91-100;1999;WIA 1999
Jean-Luc Ponty;Thompson Digraphs: A Characterization.;Dora Giammarresi, Derick Wood;91-100;1999;WIA 1999
Derick Wood;Thompson Digraphs: A Characterization.;Dora Giammarresi, Jean-Luc Ponty;91-100;1999;WIA 1999
Helmut Jürgensen;Finite Automata Encoding Geometric Figures.;Ludwig Staiger;101-108;1999;WIA 1999
Ludwig Staiger;Finite Automata Encoding Geometric Figures.;Helmut Jürgensen;101-108;1999;WIA 1999
George Anton Kiraz;Compressed Storage of Sparse Finite-State Transducers.;nan;109-121;1999;WIA 1999
Gertjan van Noord;An Extendible Regular Expression Compiler for Finite-State Approaches in Natural Language Processing.;Dale Gerdemann;122-139;1999;WIA 1999
Dale Gerdemann;An Extendible Regular Expression Compiler for Finite-State Approaches in Natural Language Processing.;Gertjan van Noord;122-139;1999;WIA 1999
Gheorghe Paun;Multiset Processing by Means of Systems of Finite State Transducers.;Gabriel Thierrin;140-157;1999;WIA 1999
Gabriel Thierrin;Multiset Processing by Means of Systems of Finite State Transducers.;Gheorghe Paun;140-157;1999;WIA 1999
Markus Seuring;A Structural Method for Output Compaction of Sequential Automata Implemented as Circuits.;Michael Gössel;158-163;1999;WIA 1999
Michael Gössel;A Structural Method for Output Compaction of Sequential Automata Implemented as Circuits.;Markus Seuring;158-163;1999;WIA 1999
A. N. Trahtman;An Algorithm to Verify Local Threshold Testability of Deterministic Finite Automata.;nan;164-173;1999;WIA 1999
Bruce W. Watson;A Taxonomy of Algorithms for Constructing Minimal Acyclic Deterministic Finite Automata.;nan;174-182;1999;WIA 1999
Sebastian Maneth;Static Garbage Collection.;nan;3-9;2019;CIAA 2019
Alexander Okhotin;Graph-Walking Automata: From Whence They Come, and Whither They are Bound.;nan;10-29;2019;CIAA 2019
Robert Bakaric;Enumerated Automata Implementation of String Dictionaries.;Damir Korencic, Strahil Ristov;33-44;2019;CIAA 2019
Damir Korencic;Enumerated Automata Implementation of String Dictionaries.;Robert Bakaric, Strahil Ristov;33-44;2019;CIAA 2019
Strahil Ristov;Enumerated Automata Implementation of String Dictionaries.;Robert Bakaric, Damir Korencic;33-44;2019;CIAA 2019
Gilad Baruch;New Approaches for Context Sensitive Flash Codes.;Shmuel T. Klein, Dana Shapira;45-57;2019;CIAA 2019
Shmuel T. Klein;New Approaches for Context Sensitive Flash Codes.;Gilad Baruch, Dana Shapira;45-57;2019;CIAA 2019
Dana Shapira;New Approaches for Context Sensitive Flash Codes.;Gilad Baruch, Shmuel T. Klein;45-57;2019;CIAA 2019
Anguraj Baskar;Dolev-Yao Theory with Associative Blindpair Operators.;R. Ramanujam, S. P. Suresh;58-69;2019;CIAA 2019
R. Ramanujam;Dolev-Yao Theory with Associative Blindpair Operators.;Anguraj Baskar, S. P. Suresh;58-69;2019;CIAA 2019
