Author;Title;Co-Authors;Pagination;Published;Venue
César Bravo;Building Context-Sensitive Parsers from CF Grammars with Regular Control Language.;João José Neto;306-308;2003;CIAA 2003
João José Neto;Building Context-Sensitive Parsers from CF Grammars with Regular Control Language.;César Bravo;306-308;2003;CIAA 2003
Olgierd Unold;Finite-State Molecular Computing.;Maciej Troc, Tadeusz Dobosz, Alicja Trusewicz;309-310;2003;CIAA 2003
Maciej Troc;Finite-State Molecular Computing.;Olgierd Unold, Tadeusz Dobosz, Alicja Trusewicz;309-310;2003;CIAA 2003
Tadeusz Dobosz;Finite-State Molecular Computing.;Olgierd Unold, Maciej Troc, Alicja Trusewicz;309-310;2003;CIAA 2003
Alicja Trusewicz;Finite-State Molecular Computing.;Olgierd Unold, Maciej Troc, Tadeusz Dobosz;309-310;2003;CIAA 2003
Benedikt Bollig;Automata and Logics for Concurrent Systems: Five Models in Five Pages.;nan;3-12;2015;CIAA 2015
Bruce W. Watson;Hardware Implementations of Finite Automata and Regular Expressions - Extended Abstract.;nan;13-17;2015;CIAA 2015
Abhijin Adiga;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;Chris J. Kuhlman, Madhav V. Marathe, S. S. Ravi, Daniel J. Rosenkrantz, Richard Edwin Stearns;21-34;2015;CIAA 2015
Chris J. Kuhlman;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;Abhijin Adiga, Madhav V. Marathe, S. S. Ravi, Daniel J. Rosenkrantz, Richard Edwin Stearns;21-34;2015;CIAA 2015
Madhav V. Marathe;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;Abhijin Adiga, Chris J. Kuhlman, S. S. Ravi, Daniel J. Rosenkrantz, Richard Edwin Stearns;21-34;2015;CIAA 2015
S. S. Ravi;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;Abhijin Adiga, Chris J. Kuhlman, Madhav V. Marathe, Daniel J. Rosenkrantz, Richard Edwin Stearns;21-34;2015;CIAA 2015
Daniel J. Rosenkrantz;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;Abhijin Adiga, Chris J. Kuhlman, Madhav V. Marathe, S. S. Ravi, Richard Edwin Stearns;21-34;2015;CIAA 2015
Richard Edwin Stearns;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;Abhijin Adiga, Chris J. Kuhlman, Madhav V. Marathe, S. S. Ravi, Daniel J. Rosenkrantz;21-34;2015;CIAA 2015
Angelo Borsotti;From Ambiguous Regular Expressions to Deterministic Parsing Automata.;Luca Breveglieri, Stefano Crespi-Reghizzi, Angelo Morzenti;35-48;2015;CIAA 2015
Luca Breveglieri;From Ambiguous Regular Expressions to Deterministic Parsing Automata.;Angelo Borsotti, Stefano Crespi-Reghizzi, Angelo Morzenti;35-48;2015;CIAA 2015
Stefano Crespi-Reghizzi;From Ambiguous Regular Expressions to Deterministic Parsing Automata.;Angelo Borsotti, Luca Breveglieri, Angelo Morzenti;35-48;2015;CIAA 2015
Angelo Morzenti;From Ambiguous Regular Expressions to Deterministic Parsing Automata.;Angelo Borsotti, Luca Breveglieri, Stefano Crespi-Reghizzi;35-48;2015;CIAA 2015
Sabine Broda;Deciding Synchronous Kleene Algebra with Derivatives.;Sílvia Cavadas, Miguel Ferreira, Nelma Moreira;49-62;2015;CIAA 2015
Sílvia Cavadas;Deciding Synchronous Kleene Algebra with Derivatives.;Sabine Broda, Miguel Ferreira, Nelma Moreira;49-62;2015;CIAA 2015
Miguel Ferreira;Deciding Synchronous Kleene Algebra with Derivatives.;Sabine Broda, Sílvia Cavadas, Nelma Moreira;49-62;2015;CIAA 2015
Nelma Moreira;Deciding Synchronous Kleene Algebra with Derivatives.;Sabine Broda, Sílvia Cavadas, Miguel Ferreira;49-62;2015;CIAA 2015
Pascal Caron;On the Hierarchy of Block Deterministic Languages.;Ludovic Mignot, Clément Miklarz;63-75;2015;CIAA 2015
Ludovic Mignot;On the Hierarchy of Block Deterministic Languages.;Pascal Caron, Clément Miklarz;63-75;2015;CIAA 2015
Clément Miklarz;On the Hierarchy of Block Deterministic Languages.;Pascal Caron, Ludovic Mignot;63-75;2015;CIAA 2015
Zhe Dang;Security of Numerical Sensors in Automata.;Dmitry Dementyev, Thomas R. Fischer, William J. Hutton III;76-88;2015;CIAA 2015
Dmitry Dementyev;Security of Numerical Sensors in Automata.;Zhe Dang, Thomas R. Fischer, William J. Hutton III;76-88;2015;CIAA 2015
Thomas R. Fischer;Security of Numerical Sensors in Automata.;Zhe Dang, Dmitry Dementyev, William J. Hutton III;76-88;2015;CIAA 2015
