Author;Title;Co-Authors;Pagination;Published in
Andreas Maletti;Hierarchies of Tree Series Transformations Revisited.;nan;215-225;2006
Frank Drewes;Bag Context Tree Grammars.;Christine du Toit, Sigrid Ewert, Brink van der Merwe, Andries P. J. van der Walt;226-237;2006
Christine du Toit;Bag Context Tree Grammars.;Frank Drewes, Sigrid Ewert, Brink van der Merwe, Andries P. J. van der Walt;226-237;2006
Sigrid Ewert;Bag Context Tree Grammars.;Frank Drewes, Christine du Toit, Brink van der Merwe, Andries P. J. van der Walt;226-237;2006
Brink van der Merwe;Bag Context Tree Grammars.;Frank Drewes, Christine du Toit, Sigrid Ewert, Andries P. J. van der Walt;226-237;2006
Andries P. J. van der Walt;Bag Context Tree Grammars.;Frank Drewes, Christine du Toit, Sigrid Ewert, Brink van der Merwe;226-237;2006
Masami Ito;Closure of Language Classes Under Bounded Duplication.;Peter Leupold, Kayoko Shikishima-Tsuji;238-247;2006
Peter Leupold;Closure of Language Classes Under Bounded Duplication.;Masami Ito, Kayoko Shikishima-Tsuji;238-247;2006
Kayoko Shikishima-Tsuji;Closure of Language Classes Under Bounded Duplication.;Masami Ito, Peter Leupold;238-247;2006
Tomasz Jurdzinski;The Boolean Closure of Growing Context-Sensitive Languages.;nan;248-259;2006
Flavio D'Alessandro;Well Quasi Orders and the Shuffle Closure of Finite Sets.;Gwénaël Richomme, Stefano Varricchio;260-269;2006
Gwénaël Richomme;Well Quasi Orders and the Shuffle Closure of Finite Sets.;Flavio D'Alessandro, Stefano Varricchio;260-269;2006
Stefano Varricchio;Well Quasi Orders and the Shuffle Closure of Finite Sets.;Flavio D'Alessandro, Gwénaël Richomme;260-269;2006
Olivier Carton;The Growth Ratio of Synchronous Rational Relations Is Unique.;nan;270-279;2006
Dalia Krieger;On Critical Exponents in Fixed Points of Non-erasing Morphisms.;nan;280-291;2006
Andrei Paun;P Systems with Proteins on Membranes and Membrane Division.;Bianca Popa;292-303;2006
Bianca Popa;P Systems with Proteins on Membranes and Membrane Division.;Andrei Paun;292-303;2006
Matteo Cavaliere;Computing by Only Observing.;Pierluigi Frisco, Hendrik Jan Hoogeboom;304-314;2006
Pierluigi Frisco;Computing by Only Observing.;Matteo Cavaliere, Hendrik Jan Hoogeboom;304-314;2006
Hendrik Jan Hoogeboom;Computing by Only Observing.;Matteo Cavaliere, Pierluigi Frisco;304-314;2006
Paola Bonizzoni;A Decision Procedure for Reflexive Regular Splicing Languages.;Giancarlo Mauri;315-326;2006
Giancarlo Mauri;A Decision Procedure for Reflexive Regular Splicing Languages.;Paola Bonizzoni;315-326;2006
Adrian-Horia Dediu;Contextual Hypergraph Grammars - A New Approach to the Generation of Hypergraph Languages.;Renate Klempien-Hinrichs, Hans-Jörg Kreowski, Benedek Nagy;327-338;2006
Renate Klempien-Hinrichs;Contextual Hypergraph Grammars - A New Approach to the Generation of Hypergraph Languages.;Adrian-Horia Dediu, Hans-Jörg Kreowski, Benedek Nagy;327-338;2006
Hans-Jörg Kreowski;Contextual Hypergraph Grammars - A New Approach to the Generation of Hypergraph Languages.;Adrian-Horia Dediu, Renate Klempien-Hinrichs, Benedek Nagy;327-338;2006
Benedek Nagy;Contextual Hypergraph Grammars - A New Approach to the Generation of Hypergraph Languages.;Adrian-Horia Dediu, Renate Klempien-Hinrichs, Hans-Jörg Kreowski;327-338;2006
Lakshmanan Kuppusamy;End-Marked Maximal Depth-First Contextual Grammars.;nan;339-350;2006
Jan Robert Menzel;Some Examples of Semi-rational DAG Languages.;Lutz Priese, Monika Schuth;351-362;2006
Lutz Priese;Some Examples of Semi-rational DAG Languages.;Jan Robert Menzel, Monika Schuth;351-362;2006
Monika Schuth;Some Examples of Semi-rational DAG Languages.;Jan Robert Menzel, Lutz Priese;351-362;2006
Hermann Gruber;Finding Lower Bounds for Nondeterministic State Complexity Is Hard.;Markus Holzer;363-374;2006
Markus Holzer;Finding Lower Bounds for Nondeterministic State Complexity Is Hard.;Hermann Gruber;363-374;2006
Paul Bell;Lowering Undecidability Bounds for Decision Questions in Matrices.;Igor Potapov;375-385;2006
Igor Potapov;Lowering Undecidability Bounds for Decision Questions in Matrices.;Paul Bell;375-385;2006
Jean-Pierre Borel;Complexity of Degenerated Three Dimensional Billiard Words.;nan;386-396;2006
Arseny M. Shur;Factorial Languages of Low Combinatorial Complexity.;nan;397-407;2006
Christian Glaßer;Perfect Correspondences Between Dot-Depth and Polynomial-Time Hierarchy.;Stephen D. Travers, Klaus W. Wagner;408-419;2006
Stephen D. Travers;Perfect Correspondences Between Dot-Depth and Polynomial-Time Hierarchy.;Christian Glaßer, Klaus W. Wagner;408-419;2006
Klaus W. Wagner;Perfect Correspondences Between Dot-Depth and Polynomial-Time Hierarchy.;Christian Glaßer, Stephen D. Travers;408-419;2006
Alexander Okhotin;Language Equations with Complementation.;Oksana Yakimova;420-432;2006
Oksana Yakimova;Language Equations with Complementation.;Alexander Okhotin;420-432;2006
Dimitry S. Ananichev;Synchronizing Automata with a Letter of Deficiency 2.;Mikhail V. Volkov, Yu. I. Zaks;433-442;2006
Mikhail V. Volkov;Synchronizing Automata with a Letter of Deficiency 2.;Dimitry S. Ananichev, Yu. I. Zaks;433-442;2006
Yu. I. Zaks;Synchronizing Automata with a Letter of Deficiency 2.;Dimitry S. Ananichev, Mikhail V. Volkov;433-442;2006
