Author;Title;Co-Authors;Pagination;Published in
Cristian Calude;Automata: From Uncertainty to Quantum.;Elena Calude;1-14;2001
Elena Calude;Automata: From Uncertainty to Quantum.;Cristian Calude;1-14;2001
Christian Choffrut;Elementary Theory of Ordinals with Addition and Left Translation by omega.;nan;15-20;2001
Zoltán Ésik;The Equational Theory of Fixed Points with Applications to Generalized Language Theory.;nan;21-36;2001
Thomas Eiter;Second-Order Logic over Strings: Regular and Non-regular Fragments.;Georg Gottlob, Thomas Schwentick;37-56;2001
Georg Gottlob;Second-Order Logic over Strings: Regular and Non-regular Fragments.;Thomas Eiter, Thomas Schwentick;37-56;2001
Thomas Schwentick;Second-Order Logic over Strings: Regular and Non-regular Fragments.;Thomas Eiter, Georg Gottlob;37-56;2001
Tero Harju;Decision Questions on Integer Matrices.;nan;57-68;2001
Masami Ito;Some Petri Net Languages and Codes.;Yoshiyuki Kunimoch;69-80;2001
Yoshiyuki Kunimoch;Some Petri Net Languages and Codes.;Masami Ito;69-80;2001
Helmut Prodinger;Words, Permutations, and Representations of Numbers.;nan;81-99;2001
Alexander A. Razborov;Proof Complexity of Pigeonhole Principles.;nan;100-116;2001
Antonio Restivo;Words and Patterns.;Sergio Salemi;117-129;2001
Sergio Salemi;Words and Patterns.;Antonio Restivo;117-129;2001
Wolfgang Thomas;A Short Introduction to Infinite Automata.;nan;130-144;2001
Thierry Cachat;The Power of One-Letter Rational Languages.;nan;145-154;2001
Ludwig Staiger;The Entropy of Lukasiewicz-Languages.;nan;155-165;2001
Dimitry S. Ananichev;Collapsing Words vs. Synchronizing Words.;Mikhail V. Volkov;166-174;2001
Mikhail V. Volkov;Collapsing Words vs. Synchronizing Words.;Dimitry S. Ananichev;166-174;2001
Karel Culík II;A Note on Synchronized Automata and Road Coloring Problem.;Juhani Karhumäki, Jarkko Kari;175-185;2001
Juhani Karhumäki;A Note on Synchronized Automata and Road Coloring Problem.;Karel Culík II, Jarkko Kari;175-185;2001
Jarkko Kari;A Note on Synchronized Automata and Road Coloring Problem.;Karel Culík II, Juhani Karhumäki;175-185;2001
Cezar Câmpeanu;Shuffle Quotient and Decompositions.;Kai Salomaa, Sándor Vágvölgyi;186-196;2001
Kai Salomaa;Shuffle Quotient and Decompositions.;Cezar Câmpeanu, Sándor Vágvölgyi;186-196;2001
Sándor Vágvölgyi;Shuffle Quotient and Decompositions.;Cezar Câmpeanu, Kai Salomaa;186-196;2001
Gundula Niemann;The Growing Context-Sensitive Languages Are the Acyclic Context-Sensitive Languages.;Jens R. Woinowski;197-205;2001
Jens R. Woinowski;The Growing Context-Sensitive Languages Are the Acyclic Context-Sensitive Languages.;Gundula Niemann;197-205;2001
Dietrich Kuske;Recognizable Sets of N-Free Pomsets Are Monadically Axiomatizable.;nan;206-216;2001
Zoltán Ésik;Automata on Series-Parallel Biposets.;Zoltán L. Németh;217-227;2001
Zoltán L. Németh;Automata on Series-Parallel Biposets.;Zoltán Ésik;217-227;2001
Joost Engelfriet;Hierarchies of String Languages Generated by Deterministic Tree Transducers.;Sebastian Maneth;228-238;2001
Sebastian Maneth;Hierarchies of String Languages Generated by Deterministic Tree Transducers.;Joost Engelfriet;228-238;2001
Thomas Schwentick;Partially-Ordered Two-Way Automata: A New Characterization of DA.;Denis Thérien, Heribert Vollmer;239-250;2001
Denis Thérien;Partially-Ordered Two-Way Automata: A New Characterization of DA.;Thomas Schwentick, Heribert Vollmer;239-250;2001
Heribert Vollmer;Partially-Ordered Two-Way Automata: A New Characterization of DA.;Thomas Schwentick, Denis Thérien;239-250;2001
Christian Glaßer;Level 5/2 of the Straubing-Thérien Hierarchy for Two-Letter Alphabets.;Heinz Schmitz;251-261;2001
Heinz Schmitz;Level 5/2 of the Straubing-Thérien Hierarchy for Two-Letter Alphabets.;Christian Glaßer;251-261;2001
Juraj Hromkovic;On the Power of Randomized Pushdown Automata.;Georg Schnitger;262-271;2001
Georg Schnitger;On the Power of Randomized Pushdown Automata.;Juraj Hromkovic;262-271;2001
Gerhard Lischke;The Root of a Language and Its Complexity.;nan;272-280;2001
Henning Fernau;Valuated and Valence Grammars: An Algebraic View.;Ralf Stiebe;281-292;2001
Ralf Stiebe;Valuated and Valence Grammars: An Algebraic View.;Henning Fernau;281-292;2001
Hendrik Jan Hoogeboom;Context-Free Valence Grammars - Revisited.;nan;293-303;2001
Vesa Halava;An Undecidability Result Concerning Periodic Morphisms.;Tero Harju;304-310;2001
Tero Harju;An Undecidability Result Concerning Periodic Morphisms.;Vesa Halava;304-310;2001
Manfred Kudlek;A Universal Turing Machine with 3 States and 9 Symbols.;Yurii Rogozhin;311-318;2001
Yurii Rogozhin;A Universal Turing Machine with 3 States and 9 Symbols.;Manfred Kudlek;311-318;2001
Michael Domaratzki;Minimal Covers of Formal Languages.;Jeffrey O. Shallit, Sheng Yu;319-329;2001
Jeffrey O. Shallit;Minimal Covers of Formal Languages.;Michael Domaratzki, Sheng Yu;319-329;2001
Sheng Yu;Minimal Covers of Formal Languages.;Michael Domaratzki, Jeffrey O. Shallit;319-329;2001
Gundula Niemann;Some Regular Languages That Are Church-Rosser Congruential.;Johannes Waldmann;330-339;2001
Johannes Waldmann;Some Regular Languages That Are Church-Rosser Congruential.;Gundula Niemann;330-339;2001
Martin Beaudry;On the Relationship between the McNaughton Families of Languages and the Chomsky Hierarchy.;Markus Holzer, Gundula Niemann, Friedrich Otto;340-348;2001
Markus Holzer;On the Relationship between the McNaughton Families of Languages and the Chomsky Hierarchy.;Martin Beaudry, Gundula Niemann, Friedrich Otto;340-348;2001
Gundula Niemann;On the Relationship between the McNaughton Families of Languages and the Chomsky Hierarchy.;Martin Beaudry, Markus Holzer, Friedrich Otto;340-348;2001
Friedrich Otto;On the Relationship between the McNaughton Families of Languages and the Chomsky Hierarchy.;Martin Beaudry, Markus Holzer, Gundula Niemann;340-348;2001
Filippo Mignosi;Forbidden Factors and Fragment Assembly.;Antonio Restivo, Marinella Sciortino;349-358;2001
Antonio Restivo;Forbidden Factors and Fragment Assembly.;Filippo Mignosi, Marinella Sciortino;349-358;2001
Marinella Sciortino;Forbidden Factors and Fragment Assembly.;Filippo Mignosi, Antonio Restivo;349-358;2001
Erzsébet Csuhaj-Varjú;Parallel Communicating Grammar Systems with Incomplete Information Communication.;György Vaszil;359-368;2001
György Vaszil;Parallel Communicating Grammar Systems with Incomplete Information Communication.;Erzsébet Csuhaj-Varjú;359-368;2001
Branislav Rovan;Eliminating Communication by Parallel Rewriting.;Marián Slast'an;369-278;2001
Marián Slast'an;Eliminating Communication by Parallel Rewriting.;Branislav Rovan;369-278;2001
Petr Sosík;String Rewriting Sequential P-Systems and Regulated Rewriting.;Rudolf Freund;379-388;2001
Rudolf Freund;String Rewriting Sequential P-Systems and Regulated Rewriting.;Petr Sosík;379-388;2001
Véronique Bruyère;Computer Aided Synthesis: A Game-Theoretic Approach.;nan;3-35;2017
Sergey Kitaev;A Comprehensive Introduction to the Theory of Word-Representable Graphs.;nan;36-67;2017
Eric Rowland;Binomial Coefficients, Valuations, and Words.;nan;68-74;2017
Michal Skrzypczak;Connecting Decidability and Complexity for MSO Logic.;nan;75-79;2017
Simon Beier;On Regular Expression Proof Complexity.;Markus Holzer;83-95;2017
Markus Holzer;On Regular Expression Proof Complexity.;Simon Beier;83-95;2017
Simon Beier;Operational State Complexity and Decidability of Jumping Finite Automata.;Markus Holzer, Martin Kutrib;96-108;2017
Markus Holzer;Operational State Complexity and Decidability of Jumping Finite Automata.;Simon Beier, Martin Kutrib;96-108;2017
Martin Kutrib;Operational State Complexity and Decidability of Jumping Finite Automata.;Simon Beier, Markus Holzer;96-108;2017
Vincent Hugot;Equivalence of Symbolic Tree Transducers.;Adrien Boiret, Joachim Niehren;109-121;2017
Adrien Boiret;Equivalence of Symbolic Tree Transducers.;Vincent Hugot, Joachim Niehren;109-121;2017
Joachim Niehren;Equivalence of Symbolic Tree Transducers.;Vincent Hugot, Adrien Boiret;109-121;2017
Michiel de Bondt;DFAs and PFAs with Long Shortest Synchronizing Word Length.;Henk Don, Hans Zantema;122-133;2017
Henk Don;DFAs and PFAs with Long Shortest Synchronizing Word Length.;Michiel de Bondt, Hans Zantema;122-133;2017
Hans Zantema;DFAs and PFAs with Long Shortest Synchronizing Word Length.;Michiel de Bondt, Henk Don;122-133;2017
Sabine Broda;On the Mother of All Automata: The Position Automaton.;Markus Holzer, Eva Maia, Nelma Moreira, Rogério Reis;134-146;2017
Markus Holzer;On the Mother of All Automata: The Position Automaton.;Sabine Broda, Eva Maia, Nelma Moreira, Rogério Reis;134-146;2017
Eva Maia;On the Mother of All Automata: The Position Automaton.;Sabine Broda, Markus Holzer, Nelma Moreira, Rogério Reis;134-146;2017
Nelma Moreira;On the Mother of All Automata: The Position Automaton.;Sabine Broda, Markus Holzer, Eva Maia, Rogério Reis;134-146;2017
Rogério Reis;On the Mother of All Automata: The Position Automaton.;Sabine Broda, Markus Holzer, Eva Maia, Nelma Moreira;134-146;2017
Olivier Carton;Two-Way Two-Tape Automata.;Léo Exibard, Olivier Serre;147-159;2017
Léo Exibard;Two-Way Two-Tape Automata.;Olivier Carton, Olivier Serre;147-159;2017
Olivier Serre;Two-Way Two-Tape Automata.;Olivier Carton, Léo Exibard;147-159;2017
Jörg Endrullis;Undecidability and Finite Automata.;Jeffrey O. Shallit, Tim Smith;160-172;2017
Jeffrey O. Shallit;Undecidability and Finite Automata.;Jörg Endrullis, Tim Smith;160-172;2017
Tim Smith;Undecidability and Finite Automata.;Jörg Endrullis, Jeffrey O. Shallit;160-172;2017
Zsolt Gazdag;On the Power of Permitting Semi-conditional Grammars.;Krisztián Tichler;173-184;2017
Krisztián Tichler;On the Power of Permitting Semi-conditional Grammars.;Zsolt Gazdag;173-184;2017
François Gonze;On the Interplay Between Babai and Černý's Conjectures.;Vladimir V. Gusev, Balázs Gerencsér, Raphaël M. Jungers, Mikhail V. Volkov;185-197;2017
Vladimir V. Gusev;On the Interplay Between Babai and Černý's Conjectures.;François Gonze, Balázs Gerencsér, Raphaël M. Jungers, Mikhail V. Volkov;185-197;2017
Balázs Gerencsér;On the Interplay Between Babai and Černý's Conjectures.;François Gonze, Vladimir V. Gusev, Raphaël M. Jungers, Mikhail V. Volkov;185-197;2017
Raphaël M. Jungers;On the Interplay Between Babai and Černý's Conjectures.;François Gonze, Vladimir V. Gusev, Balázs Gerencsér, Mikhail V. Volkov;185-197;2017
Mikhail V. Volkov;On the Interplay Between Babai and Černý's Conjectures.;François Gonze, Vladimir V. Gusev, Balázs Gerencsér, Raphaël M. Jungers;185-197;2017
Anaël Grandjean;Differences Between 2D Neighborhoods According to Real Time Computation.;nan;198-209;2017
Luisa Herrmann;A Medvedev Characterization of Recognizable Tree Series.;nan;210-221;2017
Michal Hospodár;On the Descriptive Complexity of $$\overline{\varSigma ^*\overline{L}}$$.;Galina Jirásková, Peter Mlynárcik;222-234;2017
Galina Jirásková;On the Descriptive Complexity of $$\overline{\varSigma ^*\overline{L}}$$.;Michal Hospodár, Peter Mlynárcik;222-234;2017
Peter Mlynárcik;On the Descriptive Complexity of $$\overline{\varSigma ^*\overline{L}}$$.;Michal Hospodár, Galina Jirásková;222-234;2017
Oscar H. Ibarra;Variations of Checking Stack Automata: Obtaining Unexpected Decidability Properties.;Ian McQuillan;235-246;2017
Ian McQuillan;Variations of Checking Stack Automata: Obtaining Unexpected Decidability Properties.;Oscar H. Ibarra;235-246;2017
Michal Kunc;The Generalized Rank of Trace Languages.;Jan Meitner;247-259;2017
Jan Meitner;The Generalized Rank of Trace Languages.;Michal Kunc;247-259;2017
Kamal Lodaya;Two-Variable First Order Logic with Counting Quantifiers: Complexity Results.;A. V. Sreejith;260-271;2017
A. V. Sreejith;Two-Variable First Order Logic with Counting Quantifiers: Complexity Results.;Kamal Lodaya;260-271;2017
Frantisek Mráz;Deleting Deterministic Restarting Automata with Two Windows.;Friedrich Otto;272-283;2017
Friedrich Otto;Deleting Deterministic Restarting Automata with Two Windows.;Frantisek Mráz;272-283;2017
Timothy Ng;Relative Prefix Distance Between Languages.;David Rappaport, Kai Salomaa;284-295;2017
David Rappaport;Relative Prefix Distance Between Languages.;Timothy Ng, Kai Salomaa;284-295;2017
Kai Salomaa;Relative Prefix Distance Between Languages.;Timothy Ng, David Rappaport;284-295;2017
Elena A. Petrova;On the Tree of Binary Cube-Free Words.;Arseny M. Shur;296-307;2017
Arseny M. Shur;On the Tree of Binary Cube-Free Words.;Elena A. Petrova;296-307;2017
Giovanni Pighizzini;Limited Automata and Unary Languages.;Luca Prigioniero;308-319;2017
Luca Prigioniero;Limited Automata and Unary Languages.;Giovanni Pighizzini;308-319;2017
Gwénaël Richomme;A Characterization of Infinite LSP Words.;nan;320-331;2017
Alexander A. Rubtsov;On Computational Complexity of Set Automata.;Mikhail N. Vyalyi;332-344;2017
Mikhail N. Vyalyi;On Computational Complexity of Set Automata.;Alexander A. Rubtsov;332-344;2017
Josef Rukavicka;On the Number of Rich Words.;nan;345-352;2017
Tomoyuki Yamakami;One-Way Bounded-Error Probabilistic Pushdown Automata and Kolmogorov Complexity - (Preliminary Report).;nan;353-364;2017
Hans Zantema;Classifying Non-periodic Sequences by Permutation Transducers.;Wieb Bosma;365-377;2017
Wieb Bosma;Classifying Non-periodic Sequences by Permutation Transducers.;Hans Zantema;365-377;2017
Jean-Paul Allouche;Morphic Sequences Versus Automatic Sequences.;nan;3-11;2021
Henning Fernau;Parsimonious Computational Completeness.;nan;12-26;2021
Benjamin Steinberg;Pointlike Sets and Separation: A Personal Perspective.;nan;27-40;2021
Elena Barcucci;A Strong Non-overlapping Dyck Code.;Antonio Bernini, Renzo Pinzani;43-53;2021
Antonio Bernini;A Strong Non-overlapping Dyck Code.;Elena Barcucci, Renzo Pinzani;43-53;2021
Renzo Pinzani;A Strong Non-overlapping Dyck Code.;Elena Barcucci, Antonio Bernini;43-53;2021
Raphaël Berthon;Active Learning of Sequential Transducers with Side Information About the Domain.;Adrien Boiret, Guillermo A. Pérez, Jean-François Raskin;54-65;2021
Adrien Boiret;Active Learning of Sequential Transducers with Side Information About the Domain.;Raphaël Berthon, Guillermo A. Pérez, Jean-François Raskin;54-65;2021
Guillermo A. Pérez;Active Learning of Sequential Transducers with Side Information About the Domain.;Raphaël Berthon, Adrien Boiret, Jean-François Raskin;54-65;2021
Jean-François Raskin;Active Learning of Sequential Transducers with Side Information About the Domain.;Raphaël Berthon, Adrien Boiret, Guillermo A. Pérez;54-65;2021
Malte Blattmann;Compositions of Constant Weighted Extended Tree Transducers.;Andreas Maletti;66-77;2021
Andreas Maletti;Compositions of Constant Weighted Extended Tree Transducers.;Malte Blattmann;66-77;2021
Stijn Cambie;Extremal Binary PFAs in a Černý Family.;Michiel de Bondt, Henk Don;78-89;2021
Michiel de Bondt;Extremal Binary PFAs in a Černý Family.;Stijn Cambie, Henk Don;78-89;2021
Henk Don;Extremal Binary PFAs in a Černý Family.;Stijn Cambie, Michiel de Bondt;78-89;2021
Laura Ciobanu;Variations on the Post Correspondence Problem for Free Groups.;Alan D. Logan;90-102;2021
Alan D. Logan;Variations on the Post Correspondence Problem for Free Groups.;Laura Ciobanu;90-102;2021
Stefano Crespi-Reghizzi;Reducing Local Alphabet Size in Recognizable Picture Languages.;Antonio Restivo, Pierluigi San Pietro;103-116;2021
Antonio Restivo;Reducing Local Alphabet Size in Recognizable Picture Languages.;Stefano Crespi-Reghizzi, Pierluigi San Pietro;103-116;2021
Pierluigi San Pietro;Reducing Local Alphabet Size in Recognizable Picture Languages.;Stefano Crespi-Reghizzi, Antonio Restivo;103-116;2021
Volker Diekert;Properties of Graphs Specified by a Regular Language.;Henning Fernau, Petra Wolf;117-129;2021
Henning Fernau;Properties of Graphs Specified by a Regular Language.;Volker Diekert, Petra Wolf;117-129;2021
Petra Wolf;Properties of Graphs Specified by a Regular Language.;Volker Diekert, Henning Fernau;117-129;2021
Luc Edixhoven;Balanced-By-Construction Regular and ømega-Regular Languages.;Sung-Shik Jongmans;130-142;2021
Sung-Shik Jongmans;Balanced-By-Construction Regular and ømega-Regular Languages.;Luc Edixhoven;130-142;2021
Yannik Eikmeier;Weighted Prefix Normal Words: Mind the Gap.;Pamela Fleischmann, Mitja Kulczynski, Dirk Nowotka;143-154;2021
Pamela Fleischmann;Weighted Prefix Normal Words: Mind the Gap.;Yannik Eikmeier, Mitja Kulczynski, Dirk Nowotka;143-154;2021
Mitja Kulczynski;Weighted Prefix Normal Words: Mind the Gap.;Yannik Eikmeier, Pamela Fleischmann, Dirk Nowotka;143-154;2021
Dirk Nowotka;Weighted Prefix Normal Words: Mind the Gap.;Yannik Eikmeier, Pamela Fleischmann, Mitja Kulczynski;143-154;2021
Fabian Frei;Two-Way Non-uniform Finite Automata.;Juraj Hromkovic, Richard Královic, Rastislav Královic;155-166;2021
Juraj Hromkovic;Two-Way Non-uniform Finite Automata.;Fabian Frei, Richard Královic, Rastislav Královic;155-166;2021
Richard Královic;Two-Way Non-uniform Finite Automata.;Fabian Frei, Juraj Hromkovic, Rastislav Královic;155-166;2021
Rastislav Královic;Two-Way Non-uniform Finite Automata.;Fabian Frei, Juraj Hromkovic, Richard Královic;155-166;2021
Vesa Halava;Integer Weighted Automata on Infinite Words.;Tero Harju, Reino Niskanen, Igor Potapov;167-179;2021
Tero Harju;Integer Weighted Automata on Infinite Words.;Vesa Halava, Reino Niskanen, Igor Potapov;167-179;2021
Reino Niskanen;Integer Weighted Automata on Infinite Words.;Vesa Halava, Tero Harju, Igor Potapov;167-179;2021
Igor Potapov;Integer Weighted Automata on Infinite Words.;Vesa Halava, Tero Harju, Reino Niskanen;167-179;2021
Viktor Henriksson;None;Manfred Kufleitner;180-191;2021
Manfred Kufleitner;None;Viktor Henriksson;180-191;2021
Stefan Hoffmann;State Complexity of Projection on Languages Recognized by Permutation Automata and Commuting Letters.;nan;192-203;2021
Stefan Hoffmann;Constrained Synchronization and Subset Synchronization Problems for Weakly Acyclic Automata.;nan;204-216;2021
Stepan Holub;Lyndon Words Formalized in Isabelle/HOL.;Stepán Starosta;217-228;2021
Stepán Starosta;Lyndon Words Formalized in Isabelle/HOL.;Stepan Holub;217-228;2021
Markus Holzer;The Range of State Complexities of Languages Resulting from the Cascade Product - The General Case (Extended Abstract).;Christian Rauch;229-241;2021
Christian Rauch;The Range of State Complexities of Languages Resulting from the Cascade Product - The General Case (Extended Abstract).;Markus Holzer;229-241;2021
Dietrich Kuske;Second-Order Finite Automata: Expressive Power and Simple Proofs Using Automatic Structures.;nan;242-254;2021
Martin Kutrib;Reversible Top-Down Syntax Analysis.;Uwe Meyer;255-266;2021
Uwe Meyer;Reversible Top-Down Syntax Analysis.;Martin Kutrib;255-266;2021
Sergey Luchinin;Symmetry Groups of Infinite Words.;Svetlana Puzynina;267-278;2021
Svetlana Puzynina;Symmetry Groups of Infinite Words.;Sergey Luchinin;267-278;2021
Vladislav Makarov;Bounded Languages Described by GF(2)-grammars.;nan;279-290;2021
Sebastian Maneth;Definability Results for Top-Down Tree Transducers.;Helmut Seidl, Martin Vu;291-303;2021
Helmut Seidl;Definability Results for Top-Down Tree Transducers.;Sebastian Maneth, Martin Vu;291-303;2021
Martin Vu;Definability Results for Top-Down Tree Transducers.;Sebastian Maneth, Helmut Seidl;291-303;2021
Mikhail Mrykhin;The Hardest LL(k) Language.;Alexander Okhotin;304-315;2021
Alexander Okhotin;The Hardest LL(k) Language.;Mikhail Mrykhin;304-315;2021
Julian Pape-Lange;Upper Bounds on Distinct Maximal (Sub-)Repetitions in Compressed Strings.;nan;316-327;2021
Elena A. Petrova;Branching Frequency and Markov Entropy of Repetition-Free Languages.;Arseny M. Shur;328-341;2021
Arseny M. Shur;Branching Frequency and Markov Entropy of Repetition-Free Languages.;Elena A. Petrova;328-341;2021
Alexander A. Rubtsov;A Linear-Time Simulation of Deterministic d-Limited Automata.;nan;342-354;2021
Ryoma Sin'ya;Carathéodory Extensions of Subclasses of Regular Languages.;nan;355-367;2021
Nobin Thomas;Parikh Word Representable Graphs and Morphisms.;Lisa Mathew, Somnath Bera, Atulya K. Nagar, K. G. Subramanian;368-379;2021
Lisa Mathew;Parikh Word Representable Graphs and Morphisms.;Nobin Thomas, Somnath Bera, Atulya K. Nagar, K. G. Subramanian;368-379;2021
Somnath Bera;Parikh Word Representable Graphs and Morphisms.;Nobin Thomas, Lisa Mathew, Atulya K. Nagar, K. G. Subramanian;368-379;2021
Atulya K. Nagar;Parikh Word Representable Graphs and Morphisms.;Nobin Thomas, Lisa Mathew, Somnath Bera, K. G. Subramanian;368-379;2021
K. G. Subramanian;Parikh Word Representable Graphs and Morphisms.;Nobin Thomas, Lisa Mathew, Somnath Bera, Atulya K. Nagar;368-379;2021
Amazigh Amrane;Equational Theories of Scattered and Countable Series-Parallel Posets.;Nicolas Bedon;1-13;2020
Nicolas Bedon;Equational Theories of Scattered and Countable Series-Parallel Posets.;Amazigh Amrane;1-13;2020
Laura Barker;Scattered Factor-Universality of Words.;Pamela Fleischmann, Katharina Harwardt, Florin Manea, Dirk Nowotka;14-28;2020
Pamela Fleischmann;Scattered Factor-Universality of Words.;Laura Barker, Katharina Harwardt, Florin Manea, Dirk Nowotka;14-28;2020
Katharina Harwardt;Scattered Factor-Universality of Words.;Laura Barker, Pamela Fleischmann, Florin Manea, Dirk Nowotka;14-28;2020
Florin Manea;Scattered Factor-Universality of Words.;Laura Barker, Pamela Fleischmann, Katharina Harwardt, Dirk Nowotka;14-28;2020
Dirk Nowotka;Scattered Factor-Universality of Words.;Laura Barker, Pamela Fleischmann, Katharina Harwardt, Florin Manea;14-28;2020
Collin Bleak;On Normalish Subgroups of the R. Thompson Groups.;nan;29-42;2020
Hyunjoon Cheon;Computing the Shortest String and the Edit-Distance for Parsing Expression Languages.;Yo-Sub Han;43-54;2020
Yo-Sub Han;Computing the Shortest String and the Edit-Distance for Parsing Expression Languages.;Hyunjoon Cheon;43-54;2020
Fabienne Chouraqui;An Approach to the Herzog-Schönheim Conjecture Using Automata.;nan;55-68;2020
Mateus de Oliveira Oliveira;On the Fine Grained Complexity of Finite Automata Non-emptiness of Intersection.;Michael Wehar;69-82;2020
Michael Wehar;On the Fine Grained Complexity of Finite Automata Non-emptiness of Intersection.;Mateus de Oliveira Oliveira;69-82;2020
Lukas Fleischer;The State Complexity of Lexicographically Smallest Words and Computing Successors.;Jeffrey O. Shallit;83-95;2020
Jeffrey O. Shallit;The State Complexity of Lexicographically Smallest Words and Computing Successors.;Lukas Fleischer;83-95;2020
Pamela Fleischmann;Reconstructing Words from Right-Bounded-Block Words.;Marie Lejeune, Florin Manea, Dirk Nowotka, Michel Rigo;96-109;2020
Marie Lejeune;Reconstructing Words from Right-Bounded-Block Words.;Pamela Fleischmann, Florin Manea, Dirk Nowotka, Michel Rigo;96-109;2020
Florin Manea;Reconstructing Words from Right-Bounded-Block Words.;Pamela Fleischmann, Marie Lejeune, Dirk Nowotka, Michel Rigo;96-109;2020
Dirk Nowotka;Reconstructing Words from Right-Bounded-Block Words.;Pamela Fleischmann, Marie Lejeune, Florin Manea, Michel Rigo;96-109;2020
Michel Rigo;Reconstructing Words from Right-Bounded-Block Words.;Pamela Fleischmann, Marie Lejeune, Florin Manea, Dirk Nowotka;96-109;2020
Pascal Caron;A Study of a Simple Class of Modifiers: Product Modifiers.;Edwin Hamel-De le Court, Jean-Gabriel Luque;110-121;2020
Edwin Hamel-De le Court;A Study of a Simple Class of Modifiers: Product Modifiers.;Pascal Caron, Jean-Gabriel Luque;110-121;2020
Jean-Gabriel Luque;A Study of a Simple Class of Modifiers: Product Modifiers.;Pascal Caron, Edwin Hamel-De le Court;110-121;2020
Michal Hospodár;Operations on Permutation Automata.;Peter Mlynárcik;122-136;2020
Peter Mlynárcik;Operations on Permutation Automata.;Michal Hospodár;122-136;2020
Oscar H. Ibarra;Space Complexity of Stack Automata Models.;Jozef Jirásek Jr., Ian McQuillan, Luca Prigioniero;137-149;2020
Jozef Jirásek Jr.;Space Complexity of Stack Automata Models.;Oscar H. Ibarra, Ian McQuillan, Luca Prigioniero;137-149;2020
Ian McQuillan;Space Complexity of Stack Automata Models.;Oscar H. Ibarra, Jozef Jirásek Jr., Luca Prigioniero;137-149;2020
Luca Prigioniero;Space Complexity of Stack Automata Models.;Oscar H. Ibarra, Jozef Jirásek Jr., Ian McQuillan;137-149;2020
Lila Kari;Descriptional Complexity of Semi-simple Splicing Systems.;Timothy Ng;150-163;2020
Timothy Ng;Descriptional Complexity of Semi-simple Splicing Systems.;Lila Kari;150-163;2020
Florent Koechlin;On the Degeneracy of Random Expressions Specified by Systems of Combinatorial Equations.;Cyril Nicaud, Pablo Rotondo;164-177;2020
Cyril Nicaud;On the Degeneracy of Random Expressions Specified by Systems of Combinatorial Equations.;Florent Koechlin, Pablo Rotondo;164-177;2020
Pablo Rotondo;On the Degeneracy of Random Expressions Specified by Systems of Combinatorial Equations.;Florent Koechlin, Cyril Nicaud;164-177;2020
Johan Kopra;Dynamics of Cellular Automata on Beta-Shifts and Direct Topological Factorizations.;nan;178-191;2020
Florian Lietard;Avoidability of Additive Cubes over Alphabets of Four Numbers.;Matthieu Rosenfeld;192-206;2020
Matthieu Rosenfeld;Avoidability of Additive Cubes over Alphabets of Four Numbers.;Florian Lietard;192-206;2020
Raphaela Löbel;Equivalence of Linear Tree Transducers with Output in the Free Group.;Michael Luttenberger, Helmut Seidl;207-221;2020
Michael Luttenberger;Equivalence of Linear Tree Transducers with Output in the Free Group.;Raphaela Löbel, Helmut Seidl;207-221;2020
Helmut Seidl;Equivalence of Linear Tree Transducers with Output in the Free Group.;Raphaela Löbel, Michael Luttenberger;207-221;2020
Raphaela Löbel;On the Balancedness of Tree-to-Word Transducers.;Michael Luttenberger, Helmut Seidl;222-236;2020
Michael Luttenberger;On the Balancedness of Tree-to-Word Transducers.;Raphaela Löbel, Helmut Seidl;222-236;2020
Helmut Seidl;On the Balancedness of Tree-to-Word Transducers.;Raphaela Löbel, Michael Luttenberger;222-236;2020
Andreas Maletti;On Tree Substitution Grammars.;Kevin Stier;237-250;2020
Kevin Stier;On Tree Substitution Grammars.;Andreas Maletti;237-250;2020
Augusto Modanese;Sublinear-Time Language Recognition and Decision by One-Dimensional Cellular Automata.;nan;251-265;2020
Daniel Prusa;Complexity of Searching for 2 by 2 Submatrices in Boolean Matrices.;Michael Wehar;266-279;2020
Michael Wehar;Complexity of Searching for 2 by 2 Submatrices in Boolean Matrices.;Daniel Prusa;266-279;2020
Eric Rowland;Avoiding 5/4-Powers on the Alphabet of Nonnegative Integers (Extended Abstract).;Manon Stipulanti;280-293;2020
Manon Stipulanti;Avoiding 5/4-Powers on the Alphabet of Nonnegative Integers (Extended Abstract).;Eric Rowland;280-293;2020
Josef Rukavicka;Transition Property for α-Power Free Languages with $\alpha \ge 2$ and $k\ge 3$ Letters.;nan;294-303;2020
Ryoma Sin'ya;Context-Freeness of Word-MIX Languages.;nan;304-318;2020
Andrea Frosini;The Characterization of Rational Numbers Belonging to a Minimal Path in the Stern-Brocot Tree According to a Second Order Balancedness.;Lama Tarsissi;319-331;2020
Lama Tarsissi;The Characterization of Rational Numbers Belonging to a Minimal Path in the Stern-Brocot Tree According to a Second Order Balancedness.;Andrea Frosini;319-331;2020
Hendrikus J. S. Basten;Context-Free Ambiguity Detection Using Multi-stack Pushdown Automata.;nan;1-12;2016
Nicolas Bedon;Complementation of Branching Automata for Scattered and Countable Series-Parallel Posets.;nan;13-25;2016
Dmitry Berdinsky;Cayley Automatic Groups and Numerical Characteristics of Turing Transducers.;nan;26-37;2016
