Venue;Year;Author;URL;CoAuthorList;Title;Pagination;NoAuthor;AuthorURLs;DOI
CIAA;2001;Kamran Sedig;https://dblp.org/pid/s/KamranSedig.html;Jim Morey, Kamran Sedig, Robert E. Mercer, M. Wayne Wilson;Crystal Lattice Automata.;214-220;4;https://dblp.org/pid/68/3528.html,https://dblp.org/pid/70/4605.html,https://dblp.org/pid/m/RobertEMercer.html,https://dblp.org/pid/s/KamranSedig.html;10.1007/3-540-36390-4_18
CIAA;2006;Ruhsan Onder;https://dblp.org/pid/95/298.html;Ruhsan Onder, Zeki Bayram;XSLT Version 2.0 Is Turing-Complete: A Purely Transformation Based Proof.;275-276;2;https://dblp.org/pid/49/2648.html,https://dblp.org/pid/95/298.html;10.1007/11812128_26
CIAA;2008;Harald Hempel;https://dblp.org/pid/h/HaraldHempel.html;Harald Hempel, Madlen Kimmritz;Persistent Computations of Turing Machines.;171-180;2;https://dblp.org/pid/72/4078.html,https://dblp.org/pid/h/HaraldHempel.html;10.1007/978-3-540-70844-5_18
CIAA;2003;Yann Régis-Gianas;https://dblp.org/pid/44/4388.html;Sylvain Lombardy, Raphael Poss, Yann Régis-Gianas, Jacques Sakarovitch;Introducing VAUCANSON.;96-107;4;https://dblp.org/pid/15/5377.html,https://dblp.org/pid/29/910.html,https://dblp.org/pid/44/4388.html,https://dblp.org/pid/54/1797.html;10.1007/3-540-45089-0_10
CIAA;2021;Teodora Nasz;https://dblp.org/pid/296/0452.html;Andreas Maletti, Teodora Nasz, Kevin Stier, Markus Ulbricht;Ambiguity Hierarchies for Weighted Tree Automata.;140-151;4;https://dblp.org/pid/265/9625.html,https://dblp.org/pid/296/0452.html,https://dblp.org/pid/48/3591.html,https://dblp.org/pid/82/11198-1.html;10.1007/978-3-030-79121-6_12
CIAA;2007;Marcella Anselmo;https://dblp.org/pid/91/3140.html;Marcella Anselmo, Dora Giammarresi, Maria Madonia;Tiling Automaton: A Computational Model for Recognizable Two-Dimensional Languages.;290-302;3;https://dblp.org/pid/13/1566.html,https://dblp.org/pid/74/2120.html,https://dblp.org/pid/91/3140.html;10.1007/978-3-540-76336-9_27
CIAA;2005;Marcella Anselmo;https://dblp.org/pid/91/3140.html;Marcella Anselmo, Maria Madonia;Simulating Two-Dimensional Recognizability by Pushdown and Queue Automata .;43-53;2;https://dblp.org/pid/74/2120.html,https://dblp.org/pid/91/3140.html;10.1007/11605157_4
CIAA;2002;Marcella Anselmo;https://dblp.org/pid/91/3140.html;Marcella Anselmo, Dora Giammarresi, Stefano Varricchio;Finite Automata and Non-self-Embedding Grammars.;47-56;3;https://dblp.org/pid/13/1566.html,https://dblp.org/pid/61/649.html,https://dblp.org/pid/91/3140.html;10.1007/3-540-44977-9_4
CIAA;2014;George Rahonis;https://dblp.org/pid/43/2367.html;Maria Pittou, George Rahonis;Weighted Variable Automata over Infinite Alphabets.;304-317;2;https://dblp.org/pid/147/8557.html,https://dblp.org/pid/43/2367.html;10.1007/978-3-319-08846-4_23
CIAA;2007;George Rahonis;https://dblp.org/pid/43/2367.html;Manfred Droste, George Rahonis;Weighted Automata and Weighted Logics with Discounting.;73-84;2;https://dblp.org/pid/43/2367.html,https://dblp.org/pid/d/ManfredDroste.html;10.1007/978-3-540-76336-9_9
CIAA;2017;Indhumathi Raman;https://dblp.org/pid/154/8959.html;Henning Fernau, Lakshmanan Kuppusamy, Indhumathi Raman;Computational Completeness of Path-Structured Graph-Controlled Insertion-Deletion Systems.;89-100;3;https://dblp.org/pid/154/8959.html,https://dblp.org/pid/82/730.html,https://dblp.org/pid/f/HenningFernau.html;10.1007/978-3-319-60134-2_8
Workshop on Implementing Automata;1998;Xavier Augros;https://dblp.org/pid/74/5910.html;Xavier Augros;Automata to Recognize Finite and Infinite Words with at Least Two Factorizations on a Given Finite Set.;220-225;1;https://dblp.org/pid/74/5910.html;10.1007/3-540-48057-9_20
CIAA;2010;Corinna Cortes;https://dblp.org/pid/77/5783.html;Cyril Allauzen, Corinna Cortes, Mehryar Mohri;Large-Scale Training of SVMs with Automata Kernels.;17-27;3;https://dblp.org/pid/03/5448.html,https://dblp.org/pid/77/5783.html,https://dblp.org/pid/85/2685.html;10.1007/978-3-642-18098-9_3
CIAA;2006;Corinna Cortes;https://dblp.org/pid/77/5783.html;Corinna Cortes, Mehryar Mohri, Ashish Rastogi;On the Computation of Some Standard Distances Between Probabilistic Automata.;137-149;3;https://dblp.org/pid/03/5448.html,https://dblp.org/pid/59/1067.html,https://dblp.org/pid/77/5783.html;10.1007/11812128_14
CIAA;2011;Rodrigo Castaño;https://dblp.org/pid/29/9960.html;José M. Castaño, Rodrigo Castaño;Variable and Clause Ordering in an FSA Approach to Propositional Satisfiability.;76-87;2;https://dblp.org/pid/29/9960.html,https://dblp.org/pid/32/1457.html;10.1007/978-3-642-22256-6_8
CIAA;2018;Djelloul Ziadi;https://dblp.org/pid/83/2086.html;Samira Attou, Ludovic Mignot, Djelloul Ziadi;The Bottom-Up Position Tree Automaton and Its Compact Version.;59-70;3;https://dblp.org/pid/06/761.html,https://dblp.org/pid/220/4362.html,https://dblp.org/pid/83/2086.html;10.1007/978-3-319-94812-6_6
CIAA;2004;Djelloul Ziadi;https://dblp.org/pid/83/2086.html;Jean-Marc Champarnaud, Florent Nicart, Djelloul Ziadi;Computing the Follow Automaton of an Expression.;90-101;3;https://dblp.org/pid/04/692.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/83/2086.html;10.1007/978-3-540-30500-2_9
CIAA;2003;Djelloul Ziadi;https://dblp.org/pid/83/2086.html;Jean-Marc Champarnaud, Éric Laugerotte, Faissal Ouardi, Djelloul Ziadi;From Regular Weighted Expressions to Finite Automata.;49-60;4;https://dblp.org/pid/30/6143.html,https://dblp.org/pid/48/3952.html,https://dblp.org/pid/68/4299.html,https://dblp.org/pid/83/2086.html;10.1007/3-540-45089-0_6
CIAA;2000;Djelloul Ziadi;https://dblp.org/pid/83/2086.html;Jean-Marc Champarnaud, Djelloul Ziadi;New Finite Automaton Constructions Based on Canonical Derivatives.;94-104;2;https://dblp.org/pid/30/6143.html,https://dblp.org/pid/83/2086.html;10.1007/3-540-44674-5_7
Workshop on Implementing Automata;1998;Djelloul Ziadi;https://dblp.org/pid/83/2086.html;Jean-Marc Champarnaud, Djelloul Ziadi, Jean-Luc Ponty;Determinization of Glushkov Automata.;57-68;3;https://dblp.org/pid/15/3639.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/83/2086.html;10.1007/3-540-48057-9_5
