Venue;Year;Author;URL;CoAuthorList;Title;Pagination;NoAuthor;AuthorURLs;DOI
CIAA;2001;Agata Savary;https://dblp.org/pid/32/6117.html;Agata Savary;Typographical Nearest-Neighbor Search in a Finite-State Lexicon and Its Application to Spelling Correction.;251-260;1;https://dblp.org/pid/32/6117.html;10.1007/3-540-36390-4_21
CIAA;2003;Hsueh-I Lu;https://dblp.org/pid/l/HsuehILu.html;Tsai-Hung Fan, Shufen Lee, Hsueh-I Lu, Tsung-Shan Tsou, Tsai-Cheng Wang, Adam Yao;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.;251-257;6;https://dblp.org/pid/02/3376.html,https://dblp.org/pid/11/6327.html,https://dblp.org/pid/44/90.html,https://dblp.org/pid/57/4224.html,https://dblp.org/pid/64/762.html,https://dblp.org/pid/l/HsuehILu.html;10.1007/3-540-45089-0_23
CIAA;2016;Jozef Jirásek Jr.;https://dblp.org/pid/182/6176.html;Jozef Jirásek Jr., Juraj Sebej;Kuratowski Algebras Generated by Prefix-Free Languages.;150-162;2;https://dblp.org/pid/182/6176.html,https://dblp.org/pid/60/9959.html;10.1007/978-3-319-40946-7_13
Workshop on Implementing Automata;1997;Stanley Edward Stevens Jr.;https://dblp.org/pid/56/545.html;Max H. Garzon, Y. Gao, John A. Rose, R. C. Murphy, Russell J. Deaton, Donald R. Franceschetti, Stanley Edward Stevens Jr.;In Vitro Implementation of Finite-State Machines.;56-74;7;https://dblp.org/pid/05/2645.html,https://dblp.org/pid/37/4530.html,https://dblp.org/pid/52/2077.html,https://dblp.org/pid/56/545.html,https://dblp.org/pid/56/6114.html,https://dblp.org/pid/68/5365.html,https://dblp.org/pid/91/5747.html;10.1007/BFb0031381
CIAA;2009;José Alves;https://dblp.org/pid/54/7174.html;André Almeida, Marco Almeida, José Alves, Nelma Moreira, Rogério Reis;FAdo and GUItar.;65-74;5;https://dblp.org/pid/00/7175.html,https://dblp.org/pid/30/5254.html,https://dblp.org/pid/53/3527.html,https://dblp.org/pid/54/7174.html,https://dblp.org/pid/n/NelmaMoreira.html;10.1007/978-3-642-02979-0_10
CIAA;2007;Wojciech Fraczak;https://dblp.org/pid/91/1979.html;Didier Caucal, Jurek Czyzowicz, Wojciech Fraczak, Wojciech Rytter;Efficient Computation of Throughput Values of Context-Free Languages.;203-213;4;https://dblp.org/pid/23/584.html,https://dblp.org/pid/66/871.html,https://dblp.org/pid/91/1979.html,https://dblp.org/pid/r/WojciechRytter.html;10.1007/978-3-540-76336-9_20
CIAA;2006;Wojciech Fraczak;https://dblp.org/pid/91/1979.html;Cédric Bastien, Jurek Czyzowicz, Wojciech Fraczak, Wojciech Rytter;Reducing Simple Grammars: Exponential Against Highly-Polynomial Time in Practice.;90-101;4;https://dblp.org/pid/23/584.html,https://dblp.org/pid/36/4618.html,https://dblp.org/pid/91/1979.html,https://dblp.org/pid/r/WojciechRytter.html;10.1007/11812128_10
CIAA;2005;Wojciech Fraczak;https://dblp.org/pid/91/1979.html;Cédric Bastien, Jurek Czyzowicz, Wojciech Fraczak, Wojciech Rytter;Prime Normal Form and Equivalence of Simple Grammars.;78-89;4;https://dblp.org/pid/23/584.html,https://dblp.org/pid/36/4618.html,https://dblp.org/pid/91/1979.html,https://dblp.org/pid/r/WojciechRytter.html;10.1007/11605157_7
CIAA;2004;Wojciech Fraczak;https://dblp.org/pid/91/1979.html;Wojciech Debski, Wojciech Fraczak;Concatenation State Machines and Simple Functions.;113-124;2;https://dblp.org/pid/55/591.html,https://dblp.org/pid/91/1979.html;10.1007/978-3-540-30500-2_11
CIAA;2002;Wojciech Fraczak;https://dblp.org/pid/91/1979.html;Jurek Czyzowicz, Wojciech Fraczak, Andrzej Pelc, Wojciech Rytter;Prime Decompositions of Regular Prefix Codes.;85-94;4;https://dblp.org/pid/23/584.html,https://dblp.org/pid/91/1979.html,https://dblp.org/pid/p/AndrzejPelc.html,https://dblp.org/pid/r/WojciechRytter.html;10.1007/3-540-44977-9_8
CIAA;2016;Emil Lerner;https://dblp.org/pid/161/6309.html;Emil Lerner;On Synchronizing Automata and Uniform Distribution.;202-212;1;https://dblp.org/pid/161/6309.html;10.1007/978-3-319-40946-7_17
CIAA;2015;Richard Edwin Stearns;https://dblp.org/pid/s/RichardEdwinStearns.html;Abhijin Adiga, Chris J. Kuhlman, Madhav V. Marathe, S. S. Ravi, Daniel J. Rosenkrantz, Richard Edwin Stearns;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;21-34;6;https://dblp.org/pid/09/7561.html,https://dblp.org/pid/52/991.html,https://dblp.org/pid/73/8044.html,https://dblp.org/pid/80/6105.html,https://dblp.org/pid/94/2464.html,https://dblp.org/pid/s/RichardEdwinStearns.html;10.1007/978-3-319-22360-5_3
CIAA;2004;Bryan Krawetz;https://dblp.org/pid/65/5953.html;Bryan Krawetz, John Lawrence, Jeffrey O. Shallit;State Complexity and the Monoid of Transformations of a Finite Set.;213-224;3;https://dblp.org/pid/65/5953.html,https://dblp.org/pid/77/5317.html,https://dblp.org/pid/s/JeffreyShallit.html;10.1007/978-3-540-30500-2_20
CIAA;2004;Mark Daley;https://dblp.org/pid/d/MarkDaley.html;Mark Daley, Ian McQuillan;Viral Gene Compression: Complexity and Verification.;102-112;2;https://dblp.org/pid/85/1477.html,https://dblp.org/pid/d/MarkDaley.html;10.1007/978-3-540-30500-2_10
CIAA;2003;Mark Daley;https://dblp.org/pid/d/MarkDaley.html;Mark Daley, Mark G. Eramian, Ian McQuillan;Bag Automata and Stochastic Retrieval of Biomolecules in Solution.;239-250;3;https://dblp.org/pid/78/3954.html,https://dblp.org/pid/85/1477.html,https://dblp.org/pid/d/MarkDaley.html;10.1007/3-540-45089-0_22
CIAA;2005;Miklós Krész;https://dblp.org/pid/77/1889.html;Miklós Krész;Simulation of Soliton Circuits.;347-348;1;https://dblp.org/pid/77/1889.html;10.1007/11605157_32
CIAA;2010;Ping Liu;https://dblp.org/pid/34/188-1.html;Yanbing Liu, Li Guo, Ping Liu, Jianlong Tan;Compressing Regular Expressions' DFA Table by Matrix Decomposition.;282-289;4;https://dblp.org/pid/02/929-1.html,https://dblp.org/pid/19/336.html,https://dblp.org/pid/34/188-1.html,https://dblp.org/pid/84/4048.html;10.1007/978-3-642-18098-9_30
CIAA;2009;Ping Liu;https://dblp.org/pid/34/188-1.html;Yanbing Liu, Yifu Yang, Ping Liu, Jianlong Tan;A Table Compression Method for Extended Aho-Corasick Automaton.;84-93;4;https://dblp.org/pid/05/7175.html,https://dblp.org/pid/19/336.html,https://dblp.org/pid/34/188-1.html,https://dblp.org/pid/84/4048.html;10.1007/978-3-642-02979-0_12
CIAA;2019;Akio Fujiyoshi;https://dblp.org/pid/17/927.html;Akio Fujiyoshi, Daniel Prusa;A Simple Extension to Finite Tree Automata for Defining Sets of Labeled, Connected Graphs.;121-132;2;https://dblp.org/pid/17/927.html,https://dblp.org/pid/50/6664.html;10.1007/978-3-030-23679-3_10
CIAA;2016;Akio Fujiyoshi;https://dblp.org/pid/17/927.html;Akio Fujiyoshi;A Practical Algorithm for the Uniform Membership Problem of Labeled Multidigraphs of Tree-Width 2 for Spanning Tree Automata.;101-112;1;https://dblp.org/pid/17/927.html;10.1007/978-3-319-40946-7_9
CIAA;2014;Akio Fujiyoshi;https://dblp.org/pid/17/927.html;Akio Fujiyoshi;Recognition of Labeled Multidigraphs by Spanning Tree Automata.;188-199;1;https://dblp.org/pid/17/927.html;10.1007/978-3-319-08846-4_14
CIAA;2009;Akio Fujiyoshi;https://dblp.org/pid/17/927.html;Akio Fujiyoshi;Recognition of a Spanning Tree of Directed Acyclic Graphs by Tree Automata.;105-114;1;https://dblp.org/pid/17/927.html;10.1007/978-3-642-02979-0_14
CIAA;2008;Akio Fujiyoshi;https://dblp.org/pid/17/927.html;Akio Fujiyoshi;Combination of Context-Free Grammars and Tree Automata for Unranked and Ranked Trees.;283-285;1;https://dblp.org/pid/17/927.html;10.1007/978-3-540-70844-5_29
CIAA;2005;Akio Fujiyoshi;https://dblp.org/pid/17/927.html;Akio Fujiyoshi, Ikuo Kawaharada;Deterministic Recognition of Trees Accepted by a Linear Pushdown Tree Automaton.;129-140;2;https://dblp.org/pid/17/927.html,https://dblp.org/pid/83/4294.html;10.1007/11605157_11
CIAA;2018;Ryo Yoshinaka;https://dblp.org/pid/62/4416.html;Yuki Nozaki, Diptarama Hendrian, Ryo Yoshinaka, Ayumi Shinohara;Enumeration of Cryptarithms Using Deterministic Finite Automata.;286-298;4;https://dblp.org/pid/176/8779.html,https://dblp.org/pid/223/4971.html,https://dblp.org/pid/62/4416.html,https://dblp.org/pid/s/AyumiShinohara.html;10.1007/978-3-319-94812-6_24
CIAA;2018;Ludovic Mignot;https://dblp.org/pid/06/761.html;Samira Attou, Ludovic Mignot, Djelloul Ziadi;The Bottom-Up Position Tree Automaton and Its Compact Version.;59-70;3;https://dblp.org/pid/06/761.html,https://dblp.org/pid/220/4362.html,https://dblp.org/pid/83/2086.html;10.1007/978-3-319-94812-6_6
CIAA;2015;Ludovic Mignot;https://dblp.org/pid/06/761.html;Pascal Caron, Ludovic Mignot, Clément Miklarz;On the Hierarchy of Block Deterministic Languages.;63-75;3;https://dblp.org/pid/06/761.html,https://dblp.org/pid/165/8665.html,https://dblp.org/pid/77/3565.html;10.1007/978-3-319-22360-5_6
CIAA;2012;Ludovic Mignot;https://dblp.org/pid/06/761.html;Pascal Caron, Jean-Marc Champarnaud, Ludovic Mignot;Multi-Tilde-Bar Derivatives.;321-328;3;https://dblp.org/pid/06/761.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/77/3565.html;10.1007/978-3-642-31606-7_28
CIAA;2009;Ludovic Mignot;https://dblp.org/pid/06/761.html;Pascal Caron, Jean-Marc Champarnaud, Ludovic Mignot;Small Extended Expressions for Acyclic Automata.;198-207;3;https://dblp.org/pid/06/761.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/77/3565.html;10.1007/978-3-642-02979-0_23
CIAA;2021;Kevin Stier;https://dblp.org/pid/265/9625.html;Andreas Maletti, Teodora Nasz, Kevin Stier, Markus Ulbricht;Ambiguity Hierarchies for Weighted Tree Automata.;140-151;4;https://dblp.org/pid/265/9625.html,https://dblp.org/pid/296/0452.html,https://dblp.org/pid/48/3591.html,https://dblp.org/pid/82/11198-1.html;10.1007/978-3-030-79121-6_12
CIAA;2013;Masayuki Takeda;https://dblp.org/pid/35/1544.html;Tomohiro I, Takaaki Nishimoto, Shunsuke Inenaga, Hideo Bannai, Masayuki Takeda;Compressed Automata for Dictionary Matching.;319-330;5;https://dblp.org/pid/132/1960.html,https://dblp.org/pid/35/1544.html,https://dblp.org/pid/44/2355.html,https://dblp.org/pid/88/1129.html,https://dblp.org/pid/95/2224.html;10.1007/978-3-642-39274-0_28
CIAA;2008;Masayuki Takeda;https://dblp.org/pid/35/1544.html;Tetsuya Matsumoto, Kazuhito Hagio, Masayuki Takeda;A Run-Time Efficient Implementation of Compressed Pattern Matching Automata.;201-211;3;https://dblp.org/pid/05/2921.html,https://dblp.org/pid/35/1544.html,https://dblp.org/pid/91/5828.html;10.1007/978-3-540-70844-5_21
CIAA;2003;Masayuki Takeda;https://dblp.org/pid/35/1544.html;Satoru Miyamoto, Shunsuke Inenaga, Masayuki Takeda, Ayumi Shinohara;Ternary Directed Acyclic Word Graphs.;120-130;4;https://dblp.org/pid/02/6397.html,https://dblp.org/pid/35/1544.html,https://dblp.org/pid/88/1129.html,https://dblp.org/pid/s/AyumiShinohara.html;10.1007/3-540-45089-0_12
CIAA;2018;Laurent Bartholdi;https://dblp.org/pid/64/3883.html;Laurent Bartholdi, Thibault Godin, Ines Klimann, Matthieu Picantin;A New Hierarchy for Automaton Semigroups.;71-83;4;https://dblp.org/pid/00/5897.html,https://dblp.org/pid/12/1449.html,https://dblp.org/pid/153/1880.html,https://dblp.org/pid/64/3883.html;10.1007/978-3-319-94812-6_7
CIAA;2011;Denis Béchet;https://dblp.org/pid/b/DenisBechet.html;Denis Béchet, Alexander Ja. Dikovsky, Annie Foret;Categorial Grammars with Iterated Types form a Strict Hierarchy of k-Valued Languages.;42-52;3;https://dblp.org/pid/60/452.html,https://dblp.org/pid/81/3428.html,https://dblp.org/pid/b/DenisBechet.html;10.1007/978-3-642-22256-6_5
CIAA;2004;Alexander Szabari;https://dblp.org/pid/01/880.html;Jozef Jirásek, Galina Jirásková, Alexander Szabari;State Complexity of Concatenation and Complementation of Regular Languages.;178-189;3;https://dblp.org/pid/01/880.html,https://dblp.org/pid/45/123.html,https://dblp.org/pid/j/GJiraskova.html;10.1007/978-3-540-30500-2_17
CIAA;2019;S. P. Suresh;https://dblp.org/pid/34/6797.html;Anguraj Baskar, R. Ramanujam, S. P. Suresh;Dolev-Yao Theory with Associative Blindpair Operators.;58-69;3;https://dblp.org/pid/34/6797.html,https://dblp.org/pid/36/5799.html,https://dblp.org/pid/80/2956.html;10.1007/978-3-030-23679-3_5
CIAA;2006;Marek A. Perkowski;https://dblp.org/pid/01/5162.html;Guowu Yang, Fei Xie, Xiaoyu Song, Marek A. Perkowski;Universality of Hybrid Quantum Gates and Synthesis Without Ancilla Qudits.;279-280;4;https://dblp.org/pid/01/5162.html,https://dblp.org/pid/38/4538.html,https://dblp.org/pid/51/1316.html,https://dblp.org/pid/58/3449.html;10.1007/11812128_28
CIAA;2021;Jacobie Mouton;https://dblp.org/pid/296/0334.html;Brink van der Merwe, Jacobie Mouton, Steyn van Litsenborgh, Martin Berglund;Memoized Regular Expressions.;39-52;4;https://dblp.org/pid/292/8936.html,https://dblp.org/pid/296/0334.html,https://dblp.org/pid/59/6051.html,https://dblp.org/pid/59/9687.html;10.1007/978-3-030-79121-6_4
CIAA;2007;Magnus Steinby;https://dblp.org/pid/s/MagnusSteinby.html;Magnus Steinby, Catalin Ionut Tîrnauca;Syntax-Directed Translations and Quasi-alphabetic Tree Bimorphisms.;265-276;2;https://dblp.org/pid/47/4049.html,https://dblp.org/pid/s/MagnusSteinby.html;10.1007/978-3-540-76336-9_25
CIAA;2001;Yuri Velinov;https://dblp.org/pid/76/5063.html;Yuri Velinov;On the Software Design of Cellular Automata Simulators for Ecological Modeling.;261-262;1;https://dblp.org/pid/76/5063.html;10.1007/3-540-36390-4_22
Workshop on Implementing Automata;1998;Yuri Velinov;https://dblp.org/pid/76/5063.html;Yuri Velinov;On the Syntax, Semantics, and Implementation of a Graph-Based Computational Environment.;199-212;1;https://dblp.org/pid/76/5063.html;10.1007/3-540-48057-9_18
Workshop on Implementing Automata;1997;Yuri Velinov;https://dblp.org/pid/76/5063.html;Yuri Velinov;Teaching Theory of Computation with Tape Machines.;213-227;1;https://dblp.org/pid/76/5063.html;10.1007/BFb0031394
CIAA;2021;Pierre Peterlongo;https://dblp.org/pid/99/1614.html;Guy Arbitman, Shmuel T. Klein, Pierre Peterlongo, Dana Shapira;Approximate Hashing for Bioinformatics.;178-189;4;https://dblp.org/pid/02/222.html,https://dblp.org/pid/292/6337.html,https://dblp.org/pid/99/1614.html,https://dblp.org/pid/k/ShmuelTomiKlein.html;10.1007/978-3-030-79121-6_15
CIAA;2006;Pierre Peterlongo;https://dblp.org/pid/99/1614.html;Pavlos Antoniou, Jan Holub, Costas S. Iliopoulos, Borivoj Melichar, Pierre Peterlongo;Finding Common Motifs with Gaps Using Finite Automata.;69-77;5;https://dblp.org/pid/22/6627.html,https://dblp.org/pid/78/5300.html,https://dblp.org/pid/99/1614.html,https://dblp.org/pid/h/JHolub.html,https://dblp.org/pid/i/CSIliopoulos.html;10.1007/11812128_8
CIAA;2021;Markus Ulbricht;https://dblp.org/pid/82/11198-1.html;Andreas Maletti, Teodora Nasz, Kevin Stier, Markus Ulbricht;Ambiguity Hierarchies for Weighted Tree Automata.;140-151;4;https://dblp.org/pid/265/9625.html,https://dblp.org/pid/296/0452.html,https://dblp.org/pid/48/3591.html,https://dblp.org/pid/82/11198-1.html;10.1007/978-3-030-79121-6_12
CIAA;2012;Zoran Sunic;https://dblp.org/pid/41/6022.html;Tullio Ceccherini-Silberstein, Michel Coornaert, Francesca Fiorenzi, Zoran Sunic;Cellular Automata on Regular Rooted Trees.;101-112;4;https://dblp.org/pid/41/6022.html,https://dblp.org/pid/43/5101.html,https://dblp.org/pid/47/5900.html,https://dblp.org/pid/96/395.html;10.1007/978-3-642-31606-7_9
CIAA;2015;Sabine Broda;https://dblp.org/pid/42/4087.html;Sabine Broda, Sílvia Cavadas, Miguel Ferreira, Nelma Moreira;Deciding Synchronous Kleene Algebra with Derivatives.;49-62;4;https://dblp.org/pid/165/8694.html,https://dblp.org/pid/19/7.html,https://dblp.org/pid/42/4087.html,https://dblp.org/pid/n/NelmaMoreira.html;10.1007/978-3-319-22360-5_5
CIAA;2016;Akim Demaille;https://dblp.org/pid/14/133.html;Akim Demaille;Derived-Term Automata of Multitape Rational Expressions.;51-63;1;https://dblp.org/pid/14/133.html;10.1007/978-3-319-40946-7_5
CIAA;2014;Akim Demaille;https://dblp.org/pid/14/133.html;Akim Demaille, Alexandre Duret-Lutz, Sylvain Lombardy, Luca Saiu, Jacques Sakarovitch;A Type System for Weighted Automata and Rational Expressions.;162-175;5;https://dblp.org/pid/14/133.html,https://dblp.org/pid/23/9.html,https://dblp.org/pid/29/910.html,https://dblp.org/pid/43/6032.html,https://dblp.org/pid/54/1797.html;10.1007/978-3-319-08846-4_12
CIAA;2013;Akim Demaille;https://dblp.org/pid/14/133.html;Akim Demaille, Alexandre Duret-Lutz, Sylvain Lombardy, Jacques Sakarovitch;Implementation Concepts in Vaucanson 2.;122-133;4;https://dblp.org/pid/14/133.html,https://dblp.org/pid/29/910.html,https://dblp.org/pid/43/6032.html,https://dblp.org/pid/54/1797.html;10.1007/978-3-642-39274-0_12
Workshop on Implementing Automata;1997;R. C. Murphy;https://dblp.org/pid/56/6114.html;Max H. Garzon, Y. Gao, John A. Rose, R. C. Murphy, Russell J. Deaton, Donald R. Franceschetti, Stanley Edward Stevens Jr.;In Vitro Implementation of Finite-State Machines.;56-74;7;https://dblp.org/pid/05/2645.html,https://dblp.org/pid/37/4530.html,https://dblp.org/pid/52/2077.html,https://dblp.org/pid/56/545.html,https://dblp.org/pid/56/6114.html,https://dblp.org/pid/68/5365.html,https://dblp.org/pid/91/5747.html;10.1007/BFb0031381
CIAA;2006;Simone Semprini;https://dblp.org/pid/75/286.html;Roderick Bloem, Alessandro Cimatti, Ingo Pill, Marco Roveri, Simone Semprini;Symbolic Implementation of Alternating Automata.;208-218;5;https://dblp.org/pid/13/5961.html,https://dblp.org/pid/49/690.html,https://dblp.org/pid/75/286.html,https://dblp.org/pid/80/1300.html,https://dblp.org/pid/83/563.html;10.1007/11812128_20
CIAA;2021;Dana Shapira;https://dblp.org/pid/02/222.html;Guy Arbitman, Shmuel T. Klein, Pierre Peterlongo, Dana Shapira;Approximate Hashing for Bioinformatics.;178-189;4;https://dblp.org/pid/02/222.html,https://dblp.org/pid/292/6337.html,https://dblp.org/pid/99/1614.html,https://dblp.org/pid/k/ShmuelTomiKlein.html;10.1007/978-3-030-79121-6_15
CIAA;2019;Dana Shapira;https://dblp.org/pid/02/222.html;Gilad Baruch, Shmuel T. Klein, Dana Shapira;New Approaches for Context Sensitive Flash Codes.;45-57;3;https://dblp.org/pid/02/222.html,https://dblp.org/pid/186/0436.html,https://dblp.org/pid/k/ShmuelTomiKlein.html;10.1007/978-3-030-23679-3_4
CIAA;2006;Hartmut Messerschmidt;https://dblp.org/pid/16/3031.html;Hartmut Messerschmidt, Frantisek Mráz, Friedrich Otto, Martin Plátek;Correctness Preservation and Complexity of Simple RL-Automata.;162-172;4;https://dblp.org/pid/03/67.html,https://dblp.org/pid/16/3031.html,https://dblp.org/pid/16/613.html,https://dblp.org/pid/38/5599.html;10.1007/11812128_16
CIAA;2007;Claus Brabrand;https://dblp.org/pid/61/6274.html;Claus Brabrand, Robert Giegerich, Anders Møller;Analyzing Ambiguity of Context-Free Grammars.;214-225;3;https://dblp.org/pid/55/6739.html,https://dblp.org/pid/61/6274.html,https://dblp.org/pid/g/RobertGiegerich.html;10.1007/978-3-540-76336-9_21
CIAA;2013;Mutlu Beyazit;https://dblp.org/pid/38/7215.html;Fevzi Belli, Mutlu Beyazit;Using Regular Grammars for Event-Based Testing.;48-59;2;https://dblp.org/pid/38/7215.html,https://dblp.org/pid/74/4321.html;10.1007/978-3-642-39274-0_6
CIAA;2004;Björn Borchardt;https://dblp.org/pid/92/2418.html;Björn Borchardt;Code Selection by Tree Series Transducers.;57-67;1;https://dblp.org/pid/92/2418.html;10.1007/978-3-540-30500-2_6
CIAA;2012;Andrzej Ehrenfeucht;https://dblp.org/pid/e/AEhrenfeucht.html;Andrzej Ehrenfeucht, Grzegorz Rozenberg;A Formal Framework for Processes Inspired by the Functioning of Living Cells.;25-27;2;https://dblp.org/pid/e/AEhrenfeucht.html,https://dblp.org/pid/r/GrzegorzRozenberg.html;10.1007/978-3-642-31606-7_3
CIAA;2006;Jens Glöckler;https://dblp.org/pid/07/5027.html;Jens Glöckler;Forgetting Automata and Unary Languages.;186-197;1;https://dblp.org/pid/07/5027.html;10.1007/11812128_18
CIAA;2000;Nicolae Santean;https://dblp.org/pid/s/NicolaeSantean.html;Andrei Paun, Nicolae Santean, Sheng Yu;An O(n;243-251;3;https://dblp.org/pid/93/263.html,https://dblp.org/pid/s/NicolaeSantean.html,https://dblp.org/pid/y/ShengYu.html;10.1007/3-540-44674-5_20
Workshop on Implementing Automata;1998;Nicolae Santean;https://dblp.org/pid/s/NicolaeSantean.html;Cezar Câmpeanu, Nicolae Santean, Sheng Yu;Minimal Cover-Automata for Finite Languages.;43-56;3;https://dblp.org/pid/41/4735.html,https://dblp.org/pid/s/NicolaeSantean.html,https://dblp.org/pid/y/ShengYu.html;10.1007/3-540-48057-9_4
CIAA;2019;Angelo Borsotti;https://dblp.org/pid/64/7671.html;Angelo Borsotti, Luca Breveglieri, Stefano Crespi-Reghizzi, Angelo Morzenti;A Benchmark Production Tool for Regular Expressions.;95-107;4;https://dblp.org/pid/06/4342.html,https://dblp.org/pid/64/7671.html,https://dblp.org/pid/c/SCrespiReghizzi.html,https://dblp.org/pid/m/AMorzenti.html;10.1007/978-3-030-23679-3_8
CIAA;2015;Angelo Borsotti;https://dblp.org/pid/64/7671.html;Angelo Borsotti, Luca Breveglieri, Stefano Crespi-Reghizzi, Angelo Morzenti;From Ambiguous Regular Expressions to Deterministic Parsing Automata.;35-48;4;https://dblp.org/pid/06/4342.html,https://dblp.org/pid/64/7671.html,https://dblp.org/pid/c/SCrespiReghizzi.html,https://dblp.org/pid/m/AMorzenti.html;10.1007/978-3-319-22360-5_4
CIAA;2015;Angelo Borsotti;https://dblp.org/pid/64/7671.html;Angelo Borsotti, Luca Breveglieri, Stefano Crespi-Reghizzi, Angelo Morzenti;BSP: A Parsing Tool for Ambiguous Regular Expressions.;313-316;4;https://dblp.org/pid/06/4342.html,https://dblp.org/pid/64/7671.html,https://dblp.org/pid/c/SCrespiReghizzi.html,https://dblp.org/pid/m/AMorzenti.html;10.1007/978-3-319-22360-5_26
CIAA;2003;Nathan Preston;https://dblp.org/pid/46/1053.html;Nathan Preston, Mukkai S. Krishnamoorthy;AVA: An Applet for Visualizing FRACTRAN and Other Automata.;297-298;2;https://dblp.org/pid/46/1053.html,https://dblp.org/pid/k/MSKrishnamoorthy.html;10.1007/3-540-45089-0_28
CIAA;2015;Zhe Dang;https://dblp.org/pid/51/5888.html;Zhe Dang, Dmitry Dementyev, Thomas R. Fischer, William J. Hutton III;Security of Numerical Sensors in Automata.;76-88;4;https://dblp.org/pid/164/1690.html,https://dblp.org/pid/165/8656.html,https://dblp.org/pid/22/1750.html,https://dblp.org/pid/51/5888.html;10.1007/978-3-319-22360-5_7
CIAA;2004;Zhe Dang;https://dblp.org/pid/51/5888.html;Gaoyan Xie, Cheng Li, Zhe Dang;Testability of Oracle Automata.;331-332;3;https://dblp.org/pid/16/6465.html,https://dblp.org/pid/38/1949.html,https://dblp.org/pid/51/5888.html;10.1007/978-3-540-30500-2_40
CIAA;2003;Zhe Dang;https://dblp.org/pid/51/5888.html;Gaoyan Xie, Cheng Li, Zhe Dang;New Complexity Results for Some Linear Counting Problems Using Minimal Solutions to Linear Diophantine Equations.;163-175;3;https://dblp.org/pid/16/6465.html,https://dblp.org/pid/38/1949.html,https://dblp.org/pid/51/5888.html;10.1007/3-540-45089-0_16
CIAA;2001;Zhe Dang;https://dblp.org/pid/51/5888.html;Zhe Dang, Tevfik Bultan, Oscar H. Ibarra, Richard A. Kemmerer;Past Pushdown Timed Automata.;74-86;4;https://dblp.org/pid/07/3368.html,https://dblp.org/pid/51/5888.html,https://dblp.org/pid/i/OscarHIbarra.html,https://dblp.org/pid/k/RAKemmerer.html;10.1007/3-540-36390-4_7
CIAA;2002;Miroslav Balík;https://dblp.org/pid/46/6328.html;Miroslav Balík;DAWG versus Suffix Array.;233-238;1;https://dblp.org/pid/46/6328.html;10.1007/3-540-44977-9_23
CIAA;2002;Zdenek Tronícek;https://dblp.org/pid/35/4166.html;Zdenek Tronícek;Common Subsequence Automaton.;270-275;1;https://dblp.org/pid/35/4166.html;10.1007/3-540-44977-9_28
Workshop on Implementing Automata;1998;Zdenek Tronícek;https://dblp.org/pid/35/4166.html;Zdenek Tronícek;Operations on DASG.;82-91;1;https://dblp.org/pid/35/4166.html;10.1007/3-540-48057-9_7
CIAA;2021;Guy Arbitman;https://dblp.org/pid/292/6337.html;Guy Arbitman, Shmuel T. Klein, Pierre Peterlongo, Dana Shapira;Approximate Hashing for Bioinformatics.;178-189;4;https://dblp.org/pid/02/222.html,https://dblp.org/pid/292/6337.html,https://dblp.org/pid/99/1614.html,https://dblp.org/pid/k/ShmuelTomiKlein.html;10.1007/978-3-030-79121-6_15
CIAA;2013;Dmitry Chistikov;https://dblp.org/pid/16/8319.html;Dmitry Chistikov, Rupak Majumdar;A Uniformization Theorem for Nested Word to Word Transductions.;97-108;2;https://dblp.org/pid/16/8319.html,https://dblp.org/pid/71/1981.html;10.1007/978-3-642-39274-0_10
CIAA;2010;Jean-Philippe Dubernard;https://dblp.org/pid/86/106.html;Jean-Marc Champarnaud, Jean-Philippe Dubernard, Hadrien Jeanne;Regular Geometrical Languages and Tiling the Plane.;69-78;3;https://dblp.org/pid/16/2622.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/86/106.html;10.1007/978-3-642-18098-9_8
CIAA;2008;Jean-Philippe Dubernard;https://dblp.org/pid/86/106.html;Jean-Marc Champarnaud, Jean-Philippe Dubernard, Hadrien Jeanne;Testing Whether a Binary and Prolongeable Regular Language LIs Geometrical or Not on the Minimal Deterministic Automaton of Pref(L).;68-77;3;https://dblp.org/pid/16/2622.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/86/106.html;10.1007/978-3-540-70844-5_8
CIAA;2001;Jean-Philippe Dubernard;https://dblp.org/pid/86/106.html;Jean-Philippe Dubernard, Dominique Geniet;Scheduling Hard Sporadic Tasks by Means of Finite Automata and Generating Functions.;87-100;2;https://dblp.org/pid/82/2372.html,https://dblp.org/pid/86/106.html;10.1007/3-540-36390-4_8
CIAA;2001;Nathalie Friburger;https://dblp.org/pid/02/1922.html;Nathalie Friburger, Denis Maurel;Finite-State Transducer Cascade to Extract Proper Names in Texts.;115-124;2;https://dblp.org/pid/02/1922.html,https://dblp.org/pid/60/3064.html;10.1007/3-540-36390-4_10
