;Name;URL
224;Benoît Razet;https://dblp.uni-trier.de/pid/40/6297.html
682;Bernard Boigelot;https://dblp.uni-trier.de/pid/37/1275.html
741;Bhaskar Chakraborty;https://dblp.uni-trier.de/pid/24/616.html
105;Bin Ma;https://dblp.uni-trier.de/pid/70/6176-2.html
66;Binxing Fang;https://dblp.uni-trier.de/pid/87/254.html
448;Birzhan Moldagaliyev;https://dblp.uni-trier.de/pid/203/8161.html
82;Björn Borchardt;https://dblp.uni-trier.de/pid/92/2418.html
761;Bo Cui;https://dblp.uni-trier.de/pid/58/4730-1.html
140;Borivoj Melichar;https://dblp.uni-trier.de/pid/78/5300.html
181;Bow-Yaw Wang;https://dblp.uni-trier.de/pid/36/6517.html
773;Brent Heeringa;https://dblp.uni-trier.de/pid/94/4355.html
487;Brian Fristensky;https://dblp.uni-trier.de/pid/52/7111.html
75;Brian Roark;https://dblp.uni-trier.de/pid/09/246.html
282;Brigitte Le Pévédic;https://dblp.uni-trier.de/pid/67/55.html
396;Brink van der Merwe;https://dblp.uni-trier.de/pid/59/6051.html
95;Bruce W. Watson;https://dblp.uni-trier.de/pid/w/BruceWWatson.html
836;Bruno Courcelle;https://dblp.uni-trier.de/pid/c/BCourcelle.html
443;Bruno Guillon;https://dblp.uni-trier.de/pid/07/10360.html
113;Bryan Krawetz;https://dblp.uni-trier.de/pid/65/5953.html
26;Bundit Pibaljommee;https://dblp.uni-trier.de/pid/118/1344.html
813;Béatrice Bouchou-Markhoff;https://dblp.uni-trier.de/pid/16/1677.html
376;Carlo Mereghetti;https://dblp.uni-trier.de/pid/96/438.html
512;Carsten Fritz;https://dblp.uni-trier.de/pid/23/6419.html
638;Casey Meijer;https://dblp.uni-trier.de/pid/162/0238.html
780;Catalin Ionut Tîrnauca;https://dblp.uni-trier.de/pid/47/4049.html
127;Cezar Câmpeanu;https://dblp.uni-trier.de/pid/41/4735.html
797;Charlotte L. Miller;https://dblp.uni-trier.de/pid/59/3392.html
145;Cheng Li;https://dblp.uni-trier.de/pid/16/6465.html
764;Chiara Epifanio;https://dblp.uni-trier.de/pid/59/3949.html
823;Chih-Hong Cheng;https://dblp.uni-trier.de/pid/64/3701.html
549;Chris J. Kuhlman;https://dblp.uni-trier.de/pid/09/7561.html
320;Christel Baier;https://dblp.uni-trier.de/pid/b/ChristelBaier.html
825;Christian Buckl;https://dblp.uni-trier.de/pid/70/6638.html
393;Christian Rauch;https://dblp.uni-trier.de/pid/51/7703.html
765;Christiane Frougny;https://dblp.uni-trier.de/pid/27/7026.html
516;Christof Baeijs;https://dblp.uni-trier.de/pid/45/4452.html
866;Christof Löding;https://dblp.uni-trier.de/pid/l/ChristofLoding.html
233;Christoph Koch;https://dblp.uni-trier.de/pid/k/ChristophKoch.html
325;Christoph Schulte Althoff;https://dblp.uni-trier.de/pid/01/4421.html
807;Christophe Daguin;https://dblp.uni-trier.de/pid/99/1040.html
635;Christos A. Kapoutsis;https://dblp.uni-trier.de/pid/71/6552.html
134;Chrystopher L. Nehaniv;https://dblp.uni-trier.de/pid/52/5687.html
700;Cinzia Di Giusto;https://dblp.uni-trier.de/pid/86/6994.html
720;Claire Pagetti;https://dblp.uni-trier.de/pid/83/6391.html
662;Claudia Cauli;https://dblp.uni-trier.de/pid/201/5360.html
862;Claus Brabrand;https://dblp.uni-trier.de/pid/61/6274.html
876;Clemens Marschner;https://dblp.uni-trier.de/pid/08/4932.html
560;Clément Miklarz;https://dblp.uni-trier.de/pid/165/8665.html
334;Colin de la Higuera;https://dblp.uni-trier.de/pid/h/CdlHiguera.html
