Name;Title;Co-Authors;Pagintation;Published in;LNCS-link;Abstract
Suna Bensch;On the Degree of Nondeterminism of Tree Adjoining Languages and Head Grammar Languages.;Maia Hoeberechts;[<span itemprop="pagination">65-76</span>];[<meta content="2017" itemprop="datePublished"/>]
Maia Hoeberechts;On the Degree of Nondeterminism of Tree Adjoining Languages and Head Grammar Languages.;Suna Bensch;[<span itemprop="pagination">65-76</span>];[<meta content="2017" itemprop="datePublished"/>]
Sabine Broda;On the Average Complexity of Strong Star Normal Form.;António Machiavelo, Nelma Moreira, Rogério Reis;[<span itemprop="pagination">77-88</span>];[<meta content="2017" itemprop="datePublished"/>]
António Machiavelo;On the Average Complexity of Strong Star Normal Form.;Sabine Broda, Nelma Moreira, Rogério Reis;[<span itemprop="pagination">77-88</span>];[<meta content="2017" itemprop="datePublished"/>]
Nelma Moreira;On the Average Complexity of Strong Star Normal Form.;Sabine Broda, António Machiavelo, Rogério Reis;[<span itemprop="pagination">77-88</span>];[<meta content="2017" itemprop="datePublished"/>]
Rogério Reis;On the Average Complexity of Strong Star Normal Form.;Sabine Broda, António Machiavelo, Nelma Moreira;[<span itemprop="pagination">77-88</span>];[<meta content="2017" itemprop="datePublished"/>]
Janusz A. Brzozowski;Most Complex Non-returning Regular Languages.;Sylvie Davies;[<span itemprop="pagination">89-101</span>];[<meta content="2017" itemprop="datePublished"/>]
Sylvie Davies;Most Complex Non-returning Regular Languages.;Janusz A. Brzozowski;[<span itemprop="pagination">89-101</span>];[<meta content="2017" itemprop="datePublished"/>]
Maksims Dimitrijevs;Uncountable Realtime Probabilistic Classes.;Abuzer Yakaryilmaz;[<span itemprop="pagination">102-113</span>];[<meta content="2017" itemprop="datePublished"/>]
Abuzer Yakaryilmaz;Uncountable Realtime Probabilistic Classes.;Maksims Dimitrijevs;[<span itemprop="pagination">102-113</span>];[<meta content="2017" itemprop="datePublished"/>]
Rachel Faran;A Parametrized Analysis of Algorithms on Hierarchical Graphs.;Orna Kupferman;[<span itemprop="pagination">114-127</span>];[<meta content="2017" itemprop="datePublished"/>]
Orna Kupferman;A Parametrized Analysis of Algorithms on Hierarchical Graphs.;Rachel Faran;[<span itemprop="pagination">114-127</span>];[<meta content="2017" itemprop="datePublished"/>]
Henning Fernau;Graph-Controlled Insertion-Deletion Systems Generating Language Classes Beyond Linearity.;Lakshmanan Kuppusamy, Indhumathi Raman;[<span itemprop="pagination">128-139</span>];[<meta content="2017" itemprop="datePublished"/>]
Lakshmanan Kuppusamy;Graph-Controlled Insertion-Deletion Systems Generating Language Classes Beyond Linearity.;Henning Fernau, Indhumathi Raman;[<span itemprop="pagination">128-139</span>];[<meta content="2017" itemprop="datePublished"/>]
Indhumathi Raman;Graph-Controlled Insertion-Deletion Systems Generating Language Classes Beyond Linearity.;Henning Fernau, Lakshmanan Kuppusamy;[<span itemprop="pagination">128-139</span>];[<meta content="2017" itemprop="datePublished"/>]
Rudolf Freund;Computational Completeness of Networks of Evolutionary Processors with Elementary Polarizations and a Small Number of Processors.;Vladimir Rogojin, Sergey Verlan;[<span itemprop="pagination">140-151</span>];[<meta content="2017" itemprop="datePublished"/>]
Vladimir Rogojin;Computational Completeness of Networks of Evolutionary Processors with Elementary Polarizations and a Small Number of Processors.;Rudolf Freund, Sergey Verlan;[<span itemprop="pagination">140-151</span>];[<meta content="2017" itemprop="datePublished"/>]
