Name;Title;Co-Authors;Pagintation;Published in;LNCS-link;Abstract
Michael Domaratzki;Minimal Covers of Formal Languages.;Jeffrey O. Shallit, Sheng Yu;[<span itemprop="pagination">319-329</span>];[<meta content="2001" itemprop="datePublished"/>]
Jeffrey O. Shallit;Minimal Covers of Formal Languages.;Michael Domaratzki, Sheng Yu;[<span itemprop="pagination">319-329</span>];[<meta content="2001" itemprop="datePublished"/>]
Sheng Yu;Minimal Covers of Formal Languages.;Michael Domaratzki, Jeffrey O. Shallit;[<span itemprop="pagination">319-329</span>];[<meta content="2001" itemprop="datePublished"/>]
Gundula Niemann;Some Regular Languages That Are Church-Rosser Congruential.;Johannes Waldmann;[<span itemprop="pagination">330-339</span>];[<meta content="2001" itemprop="datePublished"/>]
Johannes Waldmann;Some Regular Languages That Are Church-Rosser Congruential.;Gundula Niemann;[<span itemprop="pagination">330-339</span>];[<meta content="2001" itemprop="datePublished"/>]
Martin Beaudry;On the Relationship between the McNaughton Families of Languages and the Chomsky Hierarchy.;Markus Holzer, Gundula Niemann, Friedrich Otto;[<span itemprop="pagination">340-348</span>];[<meta content="2001" itemprop="datePublished"/>]
Markus Holzer;On the Relationship between the McNaughton Families of Languages and the Chomsky Hierarchy.;Martin Beaudry, Gundula Niemann, Friedrich Otto;[<span itemprop="pagination">340-348</span>];[<meta content="2001" itemprop="datePublished"/>]
Gundula Niemann;On the Relationship between the McNaughton Families of Languages and the Chomsky Hierarchy.;Martin Beaudry, Markus Holzer, Friedrich Otto;[<span itemprop="pagination">340-348</span>];[<meta content="2001" itemprop="datePublished"/>]
Friedrich Otto;On the Relationship between the McNaughton Families of Languages and the Chomsky Hierarchy.;Martin Beaudry, Markus Holzer, Gundula Niemann;[<span itemprop="pagination">340-348</span>];[<meta content="2001" itemprop="datePublished"/>]
Filippo Mignosi;Forbidden Factors and Fragment Assembly.;Antonio Restivo, Marinella Sciortino;[<span itemprop="pagination">349-358</span>];[<meta content="2001" itemprop="datePublished"/>]
Antonio Restivo;Forbidden Factors and Fragment Assembly.;Filippo Mignosi, Marinella Sciortino;[<span itemprop="pagination">349-358</span>];[<meta content="2001" itemprop="datePublished"/>]
Marinella Sciortino;Forbidden Factors and Fragment Assembly.;Filippo Mignosi, Antonio Restivo;[<span itemprop="pagination">349-358</span>];[<meta content="2001" itemprop="datePublished"/>]
Erzsébet Csuhaj-Varjú;Parallel Communicating Grammar Systems with Incomplete Information Communication.;György Vaszil;[<span itemprop="pagination">359-368</span>];[<meta content="2001" itemprop="datePublished"/>]
György Vaszil;Parallel Communicating Grammar Systems with Incomplete Information Communication.;Erzsébet Csuhaj-Varjú;[<span itemprop="pagination">359-368</span>];[<meta content="2001" itemprop="datePublished"/>]
Branislav Rovan;Eliminating Communication by Parallel Rewriting.;Marián Slast'an;[<span itemprop="pagination">369-278</span>];[<meta content="2001" itemprop="datePublished"/>]
Marián Slast'an;Eliminating Communication by Parallel Rewriting.;Branislav Rovan;[<span itemprop="pagination">369-278</span>];[<meta content="2001" itemprop="datePublished"/>]
Petr Sosík;String Rewriting Sequential P-Systems and Regulated Rewriting.;Rudolf Freund;[<span itemprop="pagination">379-388</span>];[<meta content="2001" itemprop="datePublished"/>]
Rudolf Freund;String Rewriting Sequential P-Systems and Regulated Rewriting.;Petr Sosík;[<span itemprop="pagination">379-388</span>];[<meta content="2001" itemprop="datePublished"/>]
Véronique Bruyère;Computer Aided Synthesis: A Game-Theoretic Approach.;;[<span itemprop="pagination">3-35</span>];[<meta content="2017" itemprop="datePublished"/>]
Sergey Kitaev;A Comprehensive Introduction to the Theory of Word-Representable Graphs.;;[<span itemprop="pagination">36-67</span>];[<meta content="2017" itemprop="datePublished"/>]
Eric Rowland;Binomial Coefficients, Valuations, and Words.;;[<span itemprop="pagination">68-74</span>];[<meta content="2017" itemprop="datePublished"/>]
