Name;URL
<title>K. Sasidharan</title>;'https://dblp.uni-trier.de/pid/137/8219.html'
<title>Dmitry Dementyev</title>;'https://dblp.uni-trier.de/pid/157/8638.html'
<title>Tsung-Shan Tsou</title>;'https://dblp.uni-trier.de/pid/90/4218.html'
<title>R. C. Murphy</title>;'https://dblp.uni-trier.de/pid/73/3270.html'
<title>Lucian Ilie</title>;'https://dblp.uni-trier.de/pid/63/3208.html'
<title>Benjamin J. Wyatt</title>;'https://dblp.uni-trier.de/pid/v/HeikoVogler.html'
<title>Alessandro Cimatti</title>;'https://dblp.uni-trier.de/pid/21/1027.html'
<title>Matteo Pradella</title>;'https://dblp.uni-trier.de/pid/47/1298.html'
<title>Helmut Jürgensen</title>;'https://dblp.uni-trier.de/pid/41/6022.html'
<title>Didier Caucal</title>;'https://dblp.uni-trier.de/pid/39/8612.html'
<title>Matthieu Constant</title>;'https://dblp.uni-trier.de/pid/02/2880.html'
<title>Hans-Jörg Kreowski</title>;'https://dblp.uni-trier.de/pid/02/6009.html'
<title>José Alves</title>;'https://dblp.uni-trier.de/pid/19/892.html'
<title>Georgi Shopov</title>;'https://dblp.uni-trier.de/pid/06/5386.html'
<title>Pascal Caron</title>;'https://dblp.uni-trier.de/pid/87/1132.html'
<title>Oliver Matz</title>;'https://dblp.uni-trier.de/pid/82/9959.html'
<title>Baozhen Shan</title>;'https://dblp.uni-trier.de/pid/84/2622.html'
<title>Krzysztof Chmiel</title>;'https://dblp.uni-trier.de/pid/54/7174.html'
<title>Madhav V. Marathe</title>;'https://dblp.uni-trier.de/pid/75/5525.html'
<title>Gaëlle Skapin</title>;'https://dblp.uni-trier.de/pid/21/4601.html'
<title>Corwin Sinnamon</title>;'https://dblp.uni-trier.de/pid/07/6238.html'
<title>Patrick Hütten</title>;'https://dblp.uni-trier.de/pid/89/7966.html'
<title>Mohamed Zergaoui</title>;'https://dblp.uni-trier.de/pid/176/5446.html'
<title>Kira Goldner</title>;'https://dblp.uni-trier.de/pid/94/5421.html'
<title>Dawid Weiss</title>;'https://dblp.uni-trier.de/pid/r/GrzegorzRozenberg.html'
<title>Cheng Li (disambiguation)</title>;'https://dblp.uni-trier.de/pid/38/7215.html'
<title>Maciej Troc</title>;'https://dblp.uni-trier.de/pid/81/6429.html'
<title>Laurent Bartholdi</title>;'https://dblp.uni-trier.de/pid/t/JMTalbot.html'
<title>Jason Eisner</title>;'https://dblp.uni-trier.de/pid/89/4269.html'
<title>Cyril Nicaud</title>;'https://dblp.uni-trier.de/pid/296/0452.html'
<title>Miguel A. Alonso 0001</title>;'https://dblp.uni-trier.de/pid/h/YoSubHan.html'
<title>Teodora Nasz</title>;'https://dblp.uni-trier.de/pid/c/BCourcelle.html'
