Key;Author-Key;Author;Author-URL;Title;Co-Authors;Co-Author-URLs;Pagination;Year;Venue
1236;614;Vikas Aggarwal;https://dblp.uni-trier.de/pid/13/471.html;A Package for the Implementation of Block Codes as Finite Automata.;Priti Shankar, K. Sasidharan, Vikas Aggarwal, B. Sundar Rajan;['https://dblp.uni-trier.de/pid/59/2499.html', 'https://dblp.uni-trier.de/pid/29/5029.html', 'https://dblp.uni-trier.de/pid/r/BSundarRajan.html'];279-292;2000;CIAA
1275;35;Oscar H. Ibarra;https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;Semilinearity of Families of Languages.;Oscar H. Ibarra, Ian McQuillan;['https://dblp.uni-trier.de/pid/85/1477.html'];211-222;2018;CIAA
1297;35;Oscar H. Ibarra;https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;On Bounded Semilinear Languages, Counter Machines, and Finite-Index ET0L.;Oscar H. Ibarra, Ian McQuillan;['https://dblp.uni-trier.de/pid/85/1477.html'];138-149;2016;CIAA
1319;35;Oscar H. Ibarra;https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;On the Ambiguity, Finite-Valuedness, and Lossiness Problems in Acceptors and Transducers.;Oscar H. Ibarra;[];211-225;2014;CIAA
1330;35;Oscar H. Ibarra;https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;Some Decision Problems Concerning NPDAs, Palindromes, and Dyck Languages.;Oscar H. Ibarra, Bala Ravikumar;['https://dblp.uni-trier.de/pid/24/3232.html'];193-207;2013;CIAA
1340;35;Oscar H. Ibarra;https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;How to Synchronize the Heads of a Multitape Automaton.;Oscar H. Ibarra, Nicholas Q. Trân;['https://dblp.uni-trier.de/pid/t/NicholasQTran.html'];192-204;2012;CIAA
1349;35;Oscar H. Ibarra;https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;On the Containment and Equivalence Problems for GSMs, Transducers, and Linear CFGs.;Oscar H. Ibarra;[];190-202;2011;CIAA
1360;35;Oscar H. Ibarra;https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;Relational String Verification Using Multi-track Automata.;Fang Yu, Tevfik Bultan, Oscar H. Ibarra;['https://dblp.uni-trier.de/pid/44/3505-1.html', 'https://dblp.uni-trier.de/pid/07/3368.html'];290-299;2010;CIAA
1423;35;Oscar H. Ibarra;https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;On Deterministic Catalytic Systems.;Oscar H. Ibarra, Hsu-Chun Yen;['https://dblp.uni-trier.de/pid/y/HsuChunYen.html'];163-175;2005;CIAA
1440;35;Oscar H. Ibarra;https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;Automata-Theoretic Techniques for Analyzing Infinite-State Systems.;Oscar H. Ibarra;[];1;2004;CIAA
1470;35;Oscar H. Ibarra;https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;Past Pushdown Timed Automata.;Zhe Dang, Tevfik Bultan, Oscar H. Ibarra, Richard A. Kemmerer;['https://dblp.uni-trier.de/pid/51/5888.html', 'https://dblp.uni-trier.de/pid/07/3368.html', 'https://dblp.uni-trier.de/pid/k/RAKemmerer.html'];74-86;2001;CIAA
1479;35;Oscar H. Ibarra;https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;Reachability and Safety in Queue Systems.;Oscar H. Ibarra;[];145-156;2000;CIAA
1480;35;Oscar H. Ibarra;https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;Generalizing the Discrete Timed Automaton.;Oscar H. Ibarra, Jianwen Su;['https://dblp.uni-trier.de/pid/s/JWSu.html'];157-169;2000;CIAA
1702;497;Jesús Vilares;https://dblp.uni-trier.de/pid/v/JesusVilares.html;Robust Spelling Correction.;Manuel Vilares Ferro, Juan Otero Pombo, Jesús Vilares Ferro;['https://dblp.uni-trier.de/pid/v/MVilaresF.html', 'https://dblp.uni-trier.de/pid/o/JOteroP.html'];319-328;2005;CIAA
1716;497;Jesús Vilares;https://dblp.uni-trier.de/pid/v/JesusVilares.html;Robust Parsing Using Dynamic Programming.;Manuel Vilares Ferro, Victor M. Darriba, Jesús Vilares Ferro, Leandro Rodríguez Liñares;['https://dblp.uni-trier.de/pid/v/MVilaresF.html', 'https://dblp.uni-trier.de/pid/75/5475.html', 'https://dblp.uni-trier.de/pid/19/892.html'];258-268;2003;CIAA
1725;497;Jesús Vilares;https://dblp.uni-trier.de/pid/v/JesusVilares.html;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;Jorge Graña, Gloria Andrade, Jesús Vilares;['https://dblp.uni-trier.de/pid/g/JorgeGranaGil.html', 'https://dblp.uni-trier.de/pid/68/2186.html'];128-137;2002;CIAA
1734;182;Marco Almeida;https://dblp.uni-trier.de/pid/53/3527.html;Incremental DFA Minimisation.;Marco Almeida, Nelma Moreira, Rogério Reis;['https://dblp.uni-trier.de/pid/n/NelmaMoreira.html', 'https://dblp.uni-trier.de/pid/30/5254.html'];39-48;2010;CIAA
